source,target,num_players,total_amount,total_normalized_amount,num_young_players,num_middle_aged_players,num_old_players,total_amount_for_young_players,total_amount_for_middle_aged_players,total_amount_for_old_players,total_normalized_amount_for_young_players,total_normalized_amount_for_middle_aged_players,total_normalized_amount_for_old_players
11,355,3,0,0,3,0,0,0,0.0,0.0,0,0,0
244,2670,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1091,433,1,0,0,0,0,1,0.0,0.0,0,0,0,0
2619,969,1,0.0108,0.07017543859649122807017543860,1,0,0,0.0108,0.0,0.0,0.07017543859649122807017543860,0,0
3772,9010,2,0,0,1,1,0,0,0,0.0,0,0,0
1084,281,3,0.0912,0.9789609274366680978960927437,1,0,2,0,0.0,0.0912,0,0,0.9789609274366680978960927437
144,43305,1,0,0,0,1,0,0.0,0,0.0,0,0,0
4537,5546,1,0,0,1,0,0,0,0.0,0.0,0,0,0
714,2296,1,0,0,1,0,0,0,0.0,0.0,0,0,0
506,244,4,0.0114,0.1315789473684210526315789474,1,2,1,0,0.0114,0,0,0.1315789473684210526315789474,0
2944,19789,3,0,0,1,2,0,0,0,0.0,0,0,0
714,6195,3,0.1573,2.101338383004334056287684454,2,1,0,0.1573,0,0.0,2.101338383004334056287684454,0,0
681,3302,3,0,0,1,1,1,0,0,0,0,0,0
5358,472,5,0,0,2,2,1,0,0,0,0,0,0
413,122,4,0,0,2,1,1,0,0,0,0,0,0
43560,28643,4,0,0,4,0,0,0,0.0,0.0,0,0,0
1134,3725,1,0.00912,0.03603603603603603603603603604,1,0,0,0.00912,0.0,0.0,0.03603603603603603603603603604,0,0
697,13726,1,0,0,0,1,0,0.0,0,0.0,0,0,0
11,22,3,0,0,3,0,0,0,0.0,0.0,0,0,0
964,12059,1,0,0,1,0,0,0,0.0,0.0,0,0,0
4033,862,4,0,0,4,0,0,0,0.0,0.0,0,0,0
6993,37825,1,0,0,1,0,0,0,0.0,0.0,0,0,0
128,21957,1,0,0,0,0,1,0.0,0.0,0,0,0,0
129,25,4,0.00462,0.05229202037351443123938879456,3,1,0,0.00462,0,0.0,0.05229202037351443123938879456,0,0
19309,1237,1,0.0098,0.06367771280051981806367771280,1,0,0,0.0098,0.0,0.0,0.06367771280051981806367771280,0,0
417,1181,1,0,0,1,0,0,0,0.0,0.0,0,0,0
982,720,7,0.0798,1.371962788984065579810260662,4,2,1,0.057,0.0228,0,0.8386294556507322464769273280,0.5333333333333333333333333333,0
20,1286,1,0,0,0,1,0,0.0,0,0.0,0,0,0
17522,420,2,0,0,2,0,0,0,0.0,0.0,0,0,0
660,1038,1,0.0912,1.052631578947368421052631579,1,0,0,0.0912,0.0,0.0,1.052631578947368421052631579,0,0
990,164,3,0.0257,0.4900839054157131960335621663,1,1,1,0.0257,0,0,0.4900839054157131960335621663,0,0
410,171,1,0,0,0,1,0,0.0,0,0.0,0,0,0
148,1003,6,0.04793,0.6044368986983588002263723826,4,2,0,0,0.04793,0.0,0,0.6044368986983588002263723826,0
2457,4750,8,0,0,4,2,2,0,0,0,0,0,0
2944,868,45,0,0,19,18,8,0,0,0,0,0,0
410,1387,9,0.06441,1.316206850593096094895375183,3,3,3,0.00741,0.0285,0.0285,0.1511966641914662706346033015,0.5952380952380952380952380952,0.5697720911635345861655337865
3820,1003,2,0,0,2,0,0,0,0.0,0.0,0,0,0
62,697,17,0.02371,0.4314125112778723549837380927,12,4,1,0.02166,0.00205,0,0.4233123058092458337256378872,0.008100205468626521258100205469,0
2300,121,1,0.00456,0.01801801801801801801801801802,0,1,0,0.0,0.00456,0.0,0,0.01801801801801801801801801802,0
447,14766,31,0,0,26,2,3,0,0,0,0,0,0
631,11,4,0.1927,2.606186518928901200369344414,1,1,2,0.0331,0,0.1596,0.7640812557710064635272391505,0,1.842105263157894736842105263
294,2457,9,0,0,5,3,1,0,0,0,0,0,0
4482,3687,2,0,0,1,1,0,0,0,0.0,0,0,0
2420,1075,6,0.00114,0.01709401709401709401709401709,1,4,1,0,0.00114,0,0,0.01709401709401709401709401709,0
9,1091,1,0,0,1,0,0,0,0.0,0.0,0,0,0
38290,862,2,0,0,2,0,0,0,0.0,0.0,0,0,0
127,475,1,0,0,0,1,0,0.0,0,0.0,0,0,0
10820,379,1,0,0,1,0,0,0,0.0,0.0,0,0,0
144,1242,6,0,0,5,1,0,0,0,0.0,0,0,0
820,1267,6,0,0,1,5,0,0,0,0.0,0,0,0
595,32780,1,0,0,1,0,0,0,0.0,0.0,0,0,0
6105,157,5,0.04332,0.4121452279347016189121452280,4,1,0,0.04332,0,0.0,0.4121452279347016189121452280,0,0
409,687,1,0,0,1,0,0,0,0.0,0.0,0,0,0
2557,4603,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1070,3302,1,0,0,0,1,0,0.0,0,0.0,0,0,0
862,24898,5,0.00011,0.001269621421975992613111726685,5,0,0,0.00011,0.0,0.0,0.001269621421975992613111726685,0,0
12001,447,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1378,935,5,0,0,4,1,0,0,0,0.0,0,0,0
6418,4603,6,0.00068,0.01569713758079409048938134811,1,1,4,0.00068,0,0,0.01569713758079409048938134811,0,0
1244,621,7,0,0,5,2,0,0,0,0.0,0,0,0
46,607,4,0.0000057,0.0001139544182327069172331067573,4,0,0,0.0000057,0.0,0.0,0.0001139544182327069172331067573,0,0
6894,3205,12,0,0,6,5,1,0,0,0,0,0,0
3327,2995,8,0,0,3,4,1,0,0,0,0,0,0
2425,12631,1,0,0,1,0,0,0,0.0,0.0,0,0,0
13299,62,4,0,0,4,0,0,0,0.0,0.0,0,0,0
1020,3205,2,0.00205,0.04281537176274018379281537176,1,1,0,0.00205,0,0.0,0.04281537176274018379281537176,0,0
130,5621,2,0,0,2,0,0,0,0.0,0.0,0,0,0
697,1897,7,0,0,3,4,0,0,0,0.0,0,0,0
367,993,3,0,0,1,2,0,0,0,0.0,0,0,0
114,27603,2,0,0,1,1,0,0,0,0.0,0,0,0
762,371,4,0.03836,0.7508032902769744875008032902,3,1,0,0.03836,0,0.0,0.7508032902769744875008032902,0,0
749,5,11,0.0935,1.233641754628339210910075096,9,2,0,0.0604,0.0331,0.0,0.5584071565051241966301893347,0.6752345981232150142798857609,0
533,44,1,0,0,1,0,0,0,0.0,0.0,0,0,0
29228,410,1,0,0,1,0,0,0,0.0,0.0,0,0,0
45132,868,1,0,0,1,0,0,0,0.0,0.0,0,0,0
6678,2441,8,0.00057,0.005319148936170212765957446809,8,0,0,0.00057,0.0,0.0,0.005319148936170212765957446809,0,0
1519,3008,2,0.041,0.4401030485186775440103048519,2,0,0,0.041,0.0,0.0,0.4401030485186775440103048519,0,0
3391,2669,2,0,0,2,0,0,0,0.0,0.0,0,0,0
410,14,3,0,0,3,0,0,0,0.0,0.0,0,0,0
441,44858,1,0,0,0,0,1,0.0,0.0,0,0,0,0
6023,2503,1,0,0,0,1,0,0.0,0,0.0,0,0,0
6621,338,2,0.03078,0.5151515151515151515151515151,2,0,0,0.03078,0.0,0.0,0.5151515151515151515151515151,0,0
14,4441,2,0,0,1,1,0,0,0,0.0,0,0,0
833,1506,6,0,0,0,6,0,0.0,0,0.0,0,0,0
1160,683,1,0,0,1,0,0,0,0.0,0.0,0,0,0
969,1160,1,0,0,1,0,0,0,0.0,0.0,0,0,0
3834,3609,2,0,0,1,1,0,0,0,0.0,0,0,0
6414,114,2,0.0388,0.4349054258660821224379110076,0,1,1,0.0,0.016,0.0228,0,0.1717475311292400171747531129,0.2631578947368421052631578947
3207,3205,1,0,0,0,1,0,0.0,0,0.0,0,0,0
475,1073,3,0,0,1,1,1,0,0,0,0,0,0
128,10408,1,0,0,1,0,0,0,0.0,0.0,0,0,0
416,24575,2,0,0,1,0,1,0,0.0,0,0,0,0
3057,3789,1,0,0,1,0,0,0,0.0,0.0,0,0,0
409,257,2,0,0,2,0,0,0,0.0,0.0,0,0,0
142,3234,1,0,0,1,0,0,0,0.0,0.0,0,0,0
862,4103,23,0.00046,0.009607351712614870509607351713,17,1,5,0.00046,0,0,0.009607351712614870509607351713,0,0
3714,1083,2,0.00342,0.02970297029702970297029702970,1,1,0,0,0.00342,0.0,0,0.02970297029702970297029702970,0
820,8707,2,0,0,2,0,0,0,0.0,0.0,0,0,0
518,589,2,0,0,2,0,0,0,0.0,0.0,0,0,0
11,1123,4,0.0217,0.2329325890940317732932589094,4,0,0,0.0217,0.0,0.0,0.2329325890940317732932589094,0,0
985,2288,3,0,0,3,0,0,0,0.0,0.0,0,0,0
2311,797,3,0,0,3,0,0,0,0.0,0.0,0,0,0
5544,13288,1,0,0,1,0,0,0,0.0,0.0,0,0,0
171,7077,3,0,0,1,2,0,0,0,0.0,0,0,0
10920,1075,1,0,0,1,0,0,0,0.0,0.0,0,0,0
10773,169,2,0.00171,0.01595744680851063829787234043,2,0,0,0.00171,0.0,0.0,0.01595744680851063829787234043,0,0
2745,2180,1,0,0,0,1,0,0.0,0,0.0,0,0,0
410,10761,1,0,0,0,0,1,0.0,0.0,0,0,0,0
1322,450,6,0,0,5,1,0,0,0,0.0,0,0,0
3489,641,1,0,0,1,0,0,0,0.0,0.0,0,0,0
202,610,9,0.1813,3.882563660965933171497363327,8,1,0,0.1385,0.0428,0.0,2.894567354410069828930419652,0.9879963065558633425669436750,0
8541,5546,10,0,0,8,2,0,0,0,0.0,0,0,0
2784,2282,1,0.0114,0.2380952380952380952380952381,0,1,0,0.0,0.0114,0.0,0,0.2380952380952380952380952381,0
46,6574,4,0.0638,0.4628509476384853965774924247,4,0,0,0.0638,0.0,0.0,0.4628509476384853965774924247,0,0
192,38,3,0,0,3,0,0,0,0.0,0.0,0,0,0
499,383,4,0.15846,2.841244562640443647308635866,3,1,0,0.1539,0.00456,0.0,2.823226544622425629290617848,0.01801801801801801801801801802,0
524,141,10,0.0558,0.9912954429083461341525857655,7,3,0,0,0.0558,0.0,0,0.9912954429083461341525857655,0
377,13299,6,0,0,4,2,0,0,0,0.0,0,0,0
276,1210,4,0.0171,0.3947368421052631578947368421,4,0,0,0.0171,0.0,0.0,0.3947368421052631578947368421,0,0
130,4083,24,0,0,21,2,1,0,0,0,0,0,0
10690,16247,2,0,0,1,1,0,0,0,0.0,0,0,0
4001,1119,2,0,0,2,0,0,0,0.0,0.0,0,0,0
122,163,1,0,0,0,1,0,0.0,0,0.0,0,0,0
148,358,10,0.12462,1.908435397178073282504175682,9,0,1,0.12348,0.0,0.00114,1.881768730511406615837509015,0,0.02666666666666666666666666667
683,35476,1,0,0,1,0,0,0,0.0,0.0,0,0,0
566,204,7,0,0,3,1,3,0,0,0,0,0,0
4271,410,5,0,0,3,2,0,0,0,0.0,0,0,0
1073,10473,1,0,0,1,0,0,0,0.0,0.0,0,0,0
339,3592,55,0.00513,0.1078463351501504661293377386,28,21,6,0,0.00513,0,0,0.1078463351501504661293377386,0
1408,862,8,0,0,5,2,1,0,0,0,0,0,0
1027,986,1,0,0,0,0,1,0.0,0.0,0,0,0,0
5546,964,1,0,0,0,1,0,0.0,0,0.0,0,0,0
8101,6087,2,0,0,2,0,0,0,0.0,0.0,0,0,0
