source,target,num_players,total_amount,total_normalized_amount,num_young_players,num_middle_aged_players,num_old_players,total_amount_for_young_players,total_amount_for_middle_aged_players,total_amount_for_old_players,total_normalized_amount_for_young_players,total_normalized_amount_for_middle_aged_players,total_normalized_amount_for_old_players
2619,969,1,0.0108,0.07017543859649122807017543860,1,0,0,0.0108,0.0,0.0,0.07017543859649122807017543860,0,0
3772,9010,2,0,0,1,1,0,0,0,0.0,0,0,0
4537,5546,1,0,0,1,0,0,0,0.0,0.0,0,0,0
12,1061,1,0,0,0,0,1,0.0,0.0,0,0,0,0
2282,1066,1,0,0,0,0,1,0.0,0.0,0,0,0,0
2425,720,3,0.00684,0.06382978723404255319148936170,3,0,0,0.00684,0.0,0.0,0.06382978723404255319148936170,0,0
964,12059,1,0,0,1,0,0,0,0.0,0.0,0,0,0
6993,37825,1,0,0,1,0,0,0,0.0,0.0,0,0,0
4033,862,3,0,0,3,0,0,0,0.0,0.0,0,0,0
128,21957,1,0,0,0,0,1,0.0,0.0,0,0,0,0
601,3793,1,0,0,0,1,0,0.0,0,0.0,0,0,0
410,171,1,0,0,0,1,0,0.0,0,0.0,0,0,0
18303,3690,1,0,0,1,0,0,0,0.0,0.0,0,0,0
537,839,1,0,0,1,0,0,0,0.0,0.0,0,0,0
62,697,4,0.00775,0.1243792752360683817232164846,2,1,1,0.0057,0.00205,0,0.1162790697674418604651162791,0.008100205468626521258100205469,0
2282,583,2,0.1026,1.360902255639097744360902256,2,0,0,0.1026,0.0,0.0,1.360902255639097744360902256,0,0
1004,2375,1,0,0,0,0,1,0.0,0.0,0,0,0,0
9,1091,1,0,0,1,0,0,0,0.0,0.0,0,0,0
38290,862,2,0,0,2,0,0,0,0.0,0.0,0,0,0
1083,3725,5,0.0057,0.1162790697674418604651162791,1,3,1,0,0.0057,0,0,0.1162790697674418604651162791,0
6105,157,2,0.0114,0.1315789473684210526315789474,1,1,0,0.0114,0,0.0,0.1315789473684210526315789474,0,0
595,32780,1,0,0,1,0,0,0,0.0,0.0,0,0,0
4554,862,3,0,0,2,1,0,0,0,0.0,0,0,0
12001,447,1,0,0,1,0,0,0,0.0,0.0,0,0,0
6418,4603,5,0.00068,0.01569713758079409048938134811,1,1,3,0.00068,0,0,0.01569713758079409048938134811,0,0
14171,25,1,0,0,0,1,0,0.0,0,0.0,0,0,0
703,631,2,0,0,2,0,0,0,0.0,0.0,0,0,0
130,5621,1,0,0,1,0,0,0,0.0,0.0,0,0,0
762,1123,1,0.0433,0.1710921447763553026710921448,0,1,0,0.0,0.0433,0.0,0,0.1710921447763553026710921448,0
533,44,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1519,3008,2,0.041,0.4401030485186775440103048519,2,0,0,0.041,0.0,0.0,0.4401030485186775440103048519,0,0
6621,338,1,0.0228,0.3333333333333333333333333333,1,0,0,0.0228,0.0,0.0,0.3333333333333333333333333333,0,0
1264,449,2,0.0171,0.40,1,1,0,0,0.0171,0.0,0,0.40,0
3207,3205,1,0,0,0,1,0,0.0,0,0.0,0,0,0
1091,1083,1,0,0,0,1,0,0.0,0,0.0,0,0,0
6676,2671,1,0,0,0,1,0,0.0,0,0.0,0,0,0
11,1123,1,0.0217,0.2329325890940317732932589094,1,0,0,0.0217,0.0,0.0,0.2329325890940317732932589094,0,0
1627,428,1,0,0,0,1,0,0.0,0,0.0,0,0,0
441,1075,1,0,0,1,0,0,0,0.0,0.0,0,0,0
524,221,1,0,0,1,0,0,0,0.0,0.0,0,0,0
4102,862,3,0,0,1,1,1,0,0,0,0,0,0
499,3898,1,0,0,0,0,1,0.0,0.0,0,0,0,0
192,38,1,0,0,1,0,0,0,0.0,0.0,0,0,0
506,5621,1,0,0,0,1,0,0.0,0,0.0,0,0,0
130,4083,3,0,0,2,1,0,0,0,0.0,0,0,0
1267,6894,1,0,0,0,1,0,0.0,0,0.0,0,0,0
148,358,3,0.06954,0.8008602150537634408602150538,2,0,1,0.0684,0.0,0.00114,0.7741935483870967741935483871,0,0.02666666666666666666666666667
4271,410,1,0,0,0,1,0,0.0,0,0.0,0,0,0
1408,862,4,0,0,3,1,0,0,0,0.0,0,0,0
398,336,2,0,0,0,1,1,0.0,0,0,0,0,0
5546,964,1,0,0,0,1,0,0.0,0,0.0,0,0,0
1110,1003,2,0,0,2,0,0,0,0.0,0.0,0,0,0
3592,6993,3,0,0,1,2,0,0,0,0.0,0,0,0
289,583,1,0,0,0,1,0,0.0,0,0.0,0,0,0
2922,1050,1,0,0,0,1,0,0.0,0,0.0,0,0,0
1049,585,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1531,150,2,0,0,1,1,0,0,0,0.0,0,0,0
317,1148,1,0.0285,0.3289473684210526315789473684,0,1,0,0.0,0.0285,0.0,0,0.3289473684210526315789473684,0
6640,468,1,0,0,1,0,0,0,0.0,0.0,0,0,0
46,4097,2,0,0,2,0,0,0,0.0,0.0,0,0,0
6087,12109,1,0,0,0,0,1,0.0,0.0,0,0,0,0
2722,4331,1,0,0,0,1,0,0.0,0,0.0,0,0,0
450,420,1,0,0,0,1,0,0.0,0,0.0,0,0,0
6890,39722,1,0,0,0,0,1,0.0,0.0,0,0,0,0
234,964,1,0,0,1,0,0,0,0.0,0.0,0,0,0
506,1025,3,0.0285,0.5952380952380952380952380952,1,1,1,0.0285,0,0,0.5952380952380952380952380952,0,0
409,749,1,0,0,0,0,1,0.0,0.0,0,0,0,0
33,583,1,0.4218,2.740740740740740740740740741,1,0,0,0.4218,0.0,0.0,2.740740740740740740740740741,0,0
1436,294,3,0,0,2,1,0,0,0,0.0,0,0,0
410,800,2,0,0,1,1,0,0,0,0.0,0,0,0
868,22815,1,0,0,0,1,0,0.0,0,0.0,0,0,0
370,410,1,0,0,1,0,0,0,0.0,0.0,0,0,0
3679,648,1,0,0,1,0,0,0,0.0,0.0,0,0,0
6992,46710,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1005,2441,1,0,0,0,1,0,0.0,0,0.0,0,0,0
252,866,2,0,0,2,0,0,0,0.0,0.0,0,0,0
29,124,2,0.1112,1.258630447085455574419920770,1,0,1,0.1112,0.0,0,1.258630447085455574419920770,0,0
6992,6422,1,0,0,1,0,0,0,0.0,0.0,0,0,0
2921,130,4,0,0,1,2,1,0,0,0,0,0,0
5192,122,1,0,0,0,1,0,0.0,0,0.0,0,0,0
714,5,2,0.0456,0.6837606837606837606837606838,2,0,0,0.0456,0.0,0.0,0.6837606837606837606837606838,0,0
697,4106,1,0,0,0,1,0,0.0,0,0.0,0,0,0
4554,130,2,0,0,2,0,0,0,0.0,0.0,0,0,0
801,419,1,0,0,1,0,0,0,0.0,0.0,0,0,0
3325,667,1,0,0,1,0,0,0,0.0,0.0,0,0,0
8827,2995,2,0,0,1,1,0,0,0,0.0,0,0,0
266,935,7,0,0,4,2,1,0,0,0,0,0,0
331,16795,2,0,0,1,1,0,0,0,0.0,0,0,0
273,2425,1,0,0,0,1,0,0.0,0,0.0,0,0,0
599,6087,1,0,0,0,1,0,0.0,0,0.0,0,0,0
2671,553,1,0,0,0,1,0,0.0,0,0.0,0,0,0
7077,171,2,0,0,2,0,0,0,0.0,0.0,0,0,0
235,1090,2,0.0257,0.5932594644506001846722068329,1,1,0,0.0257,0,0.0,0.5932594644506001846722068329,0,0
12574,419,1,0,0,0,1,0,0.0,0,0.0,0,0,0
12378,2944,5,0,0,2,3,0,0,0,0.0,0,0,0
3709,142,1,0.0171,0.3947368421052631578947368421,1,0,0,0.0171,0.0,0.0,0.3947368421052631578947368421,0,0
3386,605,3,0,0,3,0,0,0,0.0,0.0,0,0,0
918,16145,1,0,0,0,1,0,0.0,0,0.0,0,0,0
903,337,1,0.0257,0.5932594644506001846722068329,1,0,0,0.0257,0.0,0.0,0.5932594644506001846722068329,0,0
416,506,2,0.171,1.485148514851485148514851485,1,1,0,0,0.171,0.0,0,1.485148514851485148514851485,0
13,79,1,0,0,0,1,0,0.0,0,0.0,0,0,0
58,740,1,0,0,1,0,0,0,0.0,0.0,0,0,0
162,29,1,0,0,0,1,0,0.0,0,0.0,0,0,0
931,1150,1,0,0,1,0,0,0,0.0,0.0,0,0,0
605,47,1,0,0,0,0,1,0.0,0.0,0,0,0,0
845,20,1,0,0,0,0,1,0.0,0.0,0,0,0,0
114,294,1,0,0,1,0,0,0,0.0,0.0,0,0,0
419,157,1,0.0057,0.04761904761904761904761904762,0,1,0,0.0,0.0057,0.0,0,0.04761904761904761904761904762,0
765,223,1,0,0,0,1,0,0.0,0,0.0,0,0,0
2990,1301,1,0,0,0,1,0,0.0,0,0.0,0,0,0
8835,6082,2,0,0,2,0,0,0,0.0,0.0,0,0,0
34593,3060,1,0,0,1,0,0,0,0.0,0.0,0,0,0
358,2553,1,0,0,0,1,0,0.0,0,0.0,0,0,0
5,46,4,0.2565,4.891304347826086956521739130,0,3,1,0.0,0.2565,0,0,4.891304347826086956521739130,0
862,2655,2,0,0,2,0,0,0,0.0,0.0,0,0,0
1269,703,1,0,0,1,0,0,0,0.0,0.0,0,0,0
5544,197,5,0.01151,0.09120685782735644231489106836,5,0,0,0.01151,0.0,0.0,0.09120685782735644231489106836,0,0
833,19771,3,0,0,3,0,0,0,0.0,0.0,0,0,0
1220,762,1,0,0,1,0,0,0,0.0,0.0,0,0,0
131,5,2,0.1197,2.441860465116279069767441860,0,1,1,0.0,0,0.1197,0,0,2.441860465116279069767441860
82,330,1,0.0342,0.5128205128205128205128205128,0,1,0,0.0,0.0342,0.0,0,0.5128205128205128205128205128,0
114,42,2,0.00086,0.01257309941520467836257309942,0,1,1,0.0,0,0.00086,0,0,0.01257309941520467836257309942
37125,128,1,0,0,1,0,0,0,0.0,0.0,0,0,0
2804,1020,1,0,0,1,0,0,0,0.0,0.0,0,0,0
533,4,1,0.00456,0.06837606837606837606837606838,0,1,0,0.0,0.00456,0.0,0,0.06837606837606837606837606838,0
210,141,1,0.0701,0.6088240402987667187771408720,1,0,0,0.0701,0.0,0.0,0.6088240402987667187771408720,0,0
8969,128,1,0,0,1,0,0,0,0.0,0.0,0,0,0
2619,13,1,0.0171,0.1595744680851063829787234043,1,0,0,0.0171,0.0,0.0,0.1595744680851063829787234043,0,0
12378,2323,1,0,0,0,1,0,0.0,0,0.0,0,0,0
2424,7211,2,0,0,2,0,0,0,0.0,0.0,0,0,0
2944,868,11,0,0,5,2,4,0,0,0,0,0,0
941,524,1,0.0057,0.04761904761904761904761904762,0,0,1,0.0,0.0,0.0057,0,0,0.04761904761904761904761904762
2420,294,5,0.0456,0.6666666666666666666666666667,2,2,1,0.0456,0,0,0.6666666666666666666666666667,0,0
1025,410,1,0,0,0,0,1,0.0,0.0,0,0,0,0
380,1005,3,0,0,2,1,0,0,0,0.0,0,0,0
11126,14589,1,0,0,1,0,0,0,0.0,0.0,0,0,0
82,24,1,0.00456,0.03960396039603960396039603960,0,1,0,0.0,0.00456,0.0,0,0.03960396039603960396039603960,0
2990,829,2,0,0,0,0,2,0.0,0.0,0,0,0,0
1162,58,1,0.0342,0.2857142857142857142857142857,1,0,0,0.0342,0.0,0.0,0.2857142857142857142857142857,0,0
130,46,8,0.2622,5.0,3,4,1,0,0.2622,0,0,5.0,0
1083,964,5,0.114,0.4504504504504504504504504505,1,4,0,0.0228,0.0912,0.0,0.09009009009009009009009009009,0.3603603603603603603603603604,0
820,262,1,0,0,1,0,0,0,0.0,0.0,0,0,0
5107,33992,1,0,0,1,0,0,0,0.0,0.0,0,0,0
294,16795,2,0,0,0,2,0,0.0,0,0.0,0,0,0
2457,2423,3,0,0,0,1,2,0.0,0,0,0,0,0
2079,2441,2,0,0,0,1,1,0.0,0,0,0,0,0
10483,15273,3,0,0,3,0,0,0,0.0,0.0,0,0,0
58,941,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1290,995,1,0,0,1,0,0,0,0.0,0.0,0,0,0
2410,2374,1,0,0,0,0,1,0.0,0.0,0,0,0,0
458,506,1,0.0171,0.1835551738943752683555173894,1,0,0,0.0171,0.0,0.0,0.1835551738943752683555173894,0,0
12005,892,1,0,0,0,1,0,0.0,0,0.0,0,0,0
5111,552,1,0,0,0,1,0,0.0,0,0.0,0,0,0
7,984,1,0.057,0.2252252252252252252252252252,0,1,0,0.0,0.057,0.0,0,0.2252252252252252252252252252,0
2696,2439,1,0.00342,0.06976744186046511627906976744,0,1,0,0.0,0.00342,0.0,0,0.06976744186046511627906976744,0
419,12,1,0.057,0.4950495049504950495049504950,1,0,0,0.057,0.0,0.0,0.4950495049504950495049504950,0,0
709,506,1,0,0,1,0,0,0,0.0,0.0,0,0,0
2742,2740,1,0,0,0,1,0,0.0,0,0.0,0,0,0
1429,506,2,0,0,2,0,0,0,0.0,0.0,0,0,0
826,162,3,0,0,1,2,0,0,0,0.0,0,0,0
697,8819,1,0,0,0,1,0,0.0,0,0.0,0,0,0
17444,2323,1,0,0,1,0,0,0,0.0,0.0,0,0,0
167,467,1,0,0,0,1,0,0.0,0,0.0,0,0,0
524,11282,1,0,0,0,1,0,0.0,0,0.0,0,0,0
669,1075,1,0,0,1,0,0,0,0.0,0.0,0,0,0
433,314,1,0,0,1,0,0,0,0.0,0.0,0,0,0
5370,39,1,0.00068,0.005680868838763575605680868839,1,0,0,0.00068,0.0,0.0,0.005680868838763575605680868839,0,0
3277,16795,3,0.00428,0.04594246457707170459424645771,3,0,0,0.00428,0.0,0.0,0.04594246457707170459424645771,0,0
6082,121,1,0,0,1,0,0,0,0.0,0.0,0,0,0
984,1032,2,0,0,0,1,1,0.0,0,0,0,0,0
1039,1028,1,0,0,0,0,1,0.0,0.0,0,0,0,0
2790,1095,1,0,0,1,0,0,0,0.0,0.0,0,0,0
16,35,1,0.00285,0.03289473684210526315789473684,1,0,0,0.00285,0.0,0.0,0.03289473684210526315789473684,0,0
200,383,4,0.0285,0.5813953488372093023255813953,3,1,0,0.0285,0,0.0,0.5813953488372093023255813953,0,0
244,281,1,0,0,0,1,0,0.0,0,0.0,0,0,0
458,2655,2,0.0000057,0.00005319148936170212765957446809,2,0,0,0.0000057,0.0,0.0,0.00005319148936170212765957446809,0,0
5111,419,4,0,0,4,0,0,0,0.0,0.0,0,0,0
27,409,1,0,0,0,0,1,0.0,0.0,0,0,0,0
681,621,3,0.3876,1.654207398888249952079739313,2,1,0,0.0228,0.3648,0.0,0.2127659574468085106382978723,1.441441441441441441441441441,0
332,27568,1,0,0,1,0,0,0,0.0,0.0,0,0,0
2698,2497,1,0,0,1,0,0,0,0.0,0.0,0,0,0
377,6195,1,0,0,1,0,0,0,0.0,0.0,0,0,0
2319,20,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1301,2420,2,0,0,0,2,0,0.0,0,0.0,0,0,0
467,234,4,0.0251,0.2840973401245048104131295982,4,0,0,0.0251,0.0,0.0,0.2840973401245048104131295982,0,0
408,3060,1,0.00285,0.02659574468085106382978723404,0,1,0,0.0,0.00285,0.0,0,0.02659574468085106382978723404,0
180,703,2,0,0,0,2,0,0.0,0,0.0,0,0,0
11596,1533,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1038,2655,4,0,0,1,2,1,0,0,0,0,0,0
6676,3060,4,0,0,0,3,1,0.0,0,0,0,0,0
366,3368,1,0.00228,0.04761904761904761904761904762,0,1,0,0.0,0.00228,0.0,0,0.04761904761904761904761904762,0
1083,932,4,0,0,4,0,0,0,0.0,0.0,0,0,0
10,452,1,0,0,1,0,0,0,0.0,0.0,0,0,0
969,762,1,0.0912,1.904761904761904761904761905,1,0,0,0.0912,0.0,0.0,1.904761904761904761904761905,0,0
48858,3060,8,0,0,1,4,3,0,0,0,0,0,0
1038,498,1,0,0,1,0,0,0,0.0,0.0,0,0,0
2672,5219,2,0,0,0,1,1,0.0,0,0,0,0,0
350,405,3,0.0428,0.8939014202172096908939014202,3,0,0,0.0428,0.0,0.0,0.8939014202172096908939014202,0,0
1085,18916,1,0,0,0,0,1,0.0,0.0,0,0,0,0
2742,3592,3,0.00091,0.008491974617394550205300485256,3,0,0,0.00091,0.0,0.0,0.008491974617394550205300485256,0,0
159,410,2,0.03878,0.7785443961950103679458449178,2,0,0,0.03878,0.0,0.0,0.7785443961950103679458449178,0,0
3592,338,4,0,0,4,0,0,0,0.0,0.0,0,0,0
475,58,1,0.0171,0.3571428571428571428571428571,1,0,0,0.0171,0.0,0.0,0.3571428571428571428571428571,0,0
2944,825,1,0,0,0,0,1,0.0,0.0,0,0,0,0
38,21,1,0,0,1,0,0,0,0.0,0.0,0,0,0
614,2457,1,0,0,1,0,0,0,0.0,0.0,0,0,0
169,72,1,0,0,0,1,0,0.0,0,0.0,0,0,0
1531,1049,1,0,0,1,0,0,0,0.0,0.0,0,0,0
2696,2741,1,0,0,0,1,0,0.0,0,0.0,0,0,0
1147,1465,1,0,0,1,0,0,0,0.0,0.0,0,0,0
202,1304,1,0.002,0.04079967360261117911056711546,0,1,0,0.0,0.002,0.0,0,0.04079967360261117911056711546,0
653,265,5,0.00205,0.04670767828662565504670767829,1,3,1,0,0.00205,0,0,0.04670767828662565504670767829,0
2454,337,1,0,0,1,0,0,0,0.0,0.0,0,0,0
533,4795,1,0.0114,0.07407407407407407407407407407,1,0,0,0.0114,0.0,0.0,0.07407407407407407407407407407,0,0
4467,4441,2,0,0,0,2,0,0.0,0,0.0,0,0,0
4467,7443,1,0,0,1,0,0,0,0.0,0.0,0,0,0
18940,520,1,0,0,0,1,0,0.0,0,0.0,0,0,0
3060,2672,1,0,0,0,1,0,0.0,0,0.0,0,0,0
37276,683,6,0,0,6,0,0,0,0.0,0.0,0,0,0
1091,57072,1,0,0,1,0,0,0,0.0,0.0,0,0,0
6630,20,2,0,0,0,2,0,0.0,0,0.0,0,0,0
368,148,2,0.114,1.223701159295835122370115930,0,2,0,0.0,0.114,0.0,0,1.223701159295835122370115930,0
33734,416,1,0,0,1,0,0,0,0.0,0.0,0,0,0
982,8294,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1443,599,1,0,0,1,0,0,0,0.0,0.0,0,0,0
2662,19536,1,0,0,1,0,0,0,0.0,0.0,0,0,0
30,316,1,0.0057,0.1298701298701298701298701299,0,1,0,0.0,0.0057,0.0,0,0.1298701298701298701298701299,0
3267,1301,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1075,336,7,0.09105,1.297387291878633080114413673,1,6,0,0,0.09105,0.0,0,1.297387291878633080114413673,0
141,1267,2,0.00342,0.080,1,1,0,0,0.00342,0.0,0,0.080,0
162,738,1,0,0,1,0,0,0,0.0,0.0,0,0,0
4028,4083,1,0,0,1,0,0,0,0.0,0.0,0,0,0
306,279,1,0,0,1,0,0,0,0.0,0.0,0,0,0
331,2323,1,0,0,0,1,0,0.0,0,0.0,0,0,0
800,398,3,0.0678,1.585964912280701754385964912,0,1,2,0.0,0.0678,0,0,1.585964912280701754385964912,0
18,762,1,0,0,0,1,0,0.0,0,0.0,0,0,0
3230,566,2,0,0,2,0,0,0,0.0,0.0,0,0,0
4083,29228,1,0,0,0,1,0,0.0,0,0.0,0,0,0
448,3391,1,0,0,0,0,1,0.0,0.0,0,0,0,0
4814,15047,1,0,0,0,1,0,0.0,0,0.0,0,0,0
1111,317,1,0,0,0,1,0,0.0,0,0.0,0,0,0
826,738,2,0,0,0,1,1,0.0,0,0,0,0,0
1386,252,6,0.0513,1.046511627906976744186046512,1,1,4,0,0.0513,0,0,1.046511627906976744186046512,0
1397,1147,2,0,0,1,1,0,0,0,0.0,0,0,0
276,130,3,0.106,1.199773627617430673457838144,3,0,0,0.106,0.0,0.0,1.199773627617430673457838144,0,0
234,603,1,0.00428,0.09879963065558633425669436750,1,0,0,0.00428,0.0,0.0,0.09879963065558633425669436750,0,0
1075,2457,1,0,0,0,1,0,0.0,0,0.0,0,0,0
252,862,5,0.02622,0.5476190476190476190476190476,4,0,1,0.02622,0.0,0,0.5476190476190476190476190476,0,0
66,65,1,0,0,1,0,0,0,0.0,0.0,0,0,0
833,1267,4,0,0,1,3,0,0,0,0.0,0,0,0
918,503,1,0,0,0,0,1,0.0,0.0,0,0,0,0
148,1198,1,0,0,1,0,0,0,0.0,0.0,0,0,0
26641,2227,1,0,0,1,0,0,0,0.0,0.0,0,0,0
155,2277,2,0,0,0,0,2,0.0,0.0,0,0,0,0
2740,10693,1,0,0,1,0,0,0,0.0,0.0,0,0,0
2381,126,3,0,0,2,0,1,0,0.0,0,0,0,0
152,820,3,0,0,1,2,0,0,0,0.0,0,0,0
2410,932,1,0,0,1,0,0,0,0.0,0.0,0,0,0
987,164,1,0,0,1,0,0,0,0.0,0.0,0,0,0
3725,23777,1,0,0,0,1,0,0.0,0,0.0,0,0,0
1627,10118,1,0,0,1,0,0,0,0.0,0.0,0,0,0
347,5138,1,0,0,0,0,1,0.0,0.0,0,0,0,0
1252,1123,1,0,0,1,0,0,0,0.0,0.0,0,0,0
918,11278,3,0,0,2,0,1,0,0.0,0,0,0,0
12,1038,1,0,0,0,1,0,0.0,0,0.0,0,0,0
918,2362,6,0,0,4,2,0,0,0,0.0,0,0,0
4812,152,1,0,0,1,0,0,0,0.0,0.0,0,0,0
122,170,4,0,0,3,1,0,0,0,0.0,0,0,0
327,11402,3,0,0,1,2,0,0,0,0.0,0,0,0
16220,47,1,0,0,0,1,0,0.0,0,0.0,0,0,0
861,1429,1,0,0,0,1,0,0.0,0,0.0,0,0,0
16795,410,16,0.0775,1.229434973572545224447256756,10,6,0,0.0775,0,0.0,1.229434973572545224447256756,0,0
899,543,1,0,0,0,0,1,0.0,0.0,0,0,0,0
8707,524,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1433,3898,2,0,0,0,1,1,0.0,0,0,0,0,0
2296,3302,1,0,0,0,1,0,0.0,0,0.0,0,0,0
2639,1075,3,0,0,1,2,0,0,0,0.0,0,0,0
12514,918,2,0,0,2,0,0,0,0.0,0.0,0,0,0
2362,447,2,0,0,2,0,0,0,0.0,0.0,0,0,0
23664,23611,1,0,0,1,0,0,0,0.0,0.0,0,0,0
46,12,6,0.4104,4.524115142960643809540244176,2,4,0,0.0627,0.3477,0.0,1.447368421052631578947368421,3.076746721908012230592875755,0
314,485,3,0,0,2,1,0,0,0,0.0,0,0,0
2977,10231,1,0,0,0,1,0,0.0,0,0.0,0,0,0
845,924,2,0,0,0,1,1,0.0,0,0,0,0,0
1057,379,1,0.0131,0.1482739105829088851160158461,1,0,0,0.0131,0.0,0.0,0.1482739105829088851160158461,0,0
533,86,1,0.0513,0.5506655216831258050665521683,1,0,0,0.0513,0.0,0.0,0.5506655216831258050665521683,0,0
434,653,1,0,0,0,1,0,0.0,0,0.0,0,0,0
8512,172,1,0,0,1,0,0,0,0.0,0.0,0,0,0
2944,449,4,0,0,0,4,0,0.0,0,0.0,0,0,0
1181,2292,1,0,0,1,0,0,0,0.0,0.0,0,0,0
27,583,1,0.057,0.3703703703703703703703703704,0,1,0,0.0,0.057,0.0,0,0.3703703703703703703703703704,0
383,3008,1,0.00456,0.02962962962962962962962962963,1,0,0,0.00456,0.0,0.0,0.02962962962962962962962962963,0,0
642,234,4,0,0,3,1,0,0,0,0.0,0,0,0
20423,16245,1,0.00036,0.005398110661268556005398110661,1,0,0,0.00036,0.0,0.0,0.005398110661268556005398110661,0,0
1253,1025,1,0,0,1,0,0,0,0.0,0.0,0,0,0
995,9961,1,0,0,0,1,0,0.0,0,0.0,0,0,0
9010,3508,2,0,0,1,1,0,0,0,0.0,0,0,0
40,1159,1,0.0137,0.2861319966583124477861319967,1,0,0,0.0137,0.0,0.0,0.2861319966583124477861319967,0,0
839,800,5,0.00342,0.02857142857142857142857142857,5,0,0,0.00342,0.0,0.0,0.02857142857142857142857142857,0,0
419,33304,1,0,0,1,0,0,0,0.0,0.0,0,0,0
7804,2293,2,0.0114,0.04504504504504504504504504505,2,0,0,0.0114,0.0,0.0,0.04504504504504504504504504505,0,0
8758,3060,1,0,0,1,0,0,0,0.0,0.0,0,0,0
252,430,4,0.0479,1.000417710944026733500417711,0,4,0,0.0,0.0479,0.0,0,1.000417710944026733500417711,0
2921,252,3,0.0137,0.1581255771006463527239150508,2,1,0,0.0137,0,0.0,0.1581255771006463527239150508,0,0
12630,599,4,0,0,4,0,0,0,0.0,0.0,0,0,0
1082,873,1,0.0608,0.6526406182911120652640618291,1,0,0,0.0608,0.0,0.0,0.6526406182911120652640618291,0,0
44,3368,1,0,0,0,1,0,0.0,0,0.0,0,0,0
3352,294,2,0.00171,0.03947368421052631578947368421,2,0,0,0.00171,0.0,0.0,0.03947368421052631578947368421,0,0
336,703,1,0.0262,0.1702404158544509421702404159,1,0,0,0.0262,0.0,0.0,0.1702404158544509421702404159,0,0
3508,28643,2,0,0,1,1,0,0,0,0.0,0,0,0
968,500,1,0,0,1,0,0,0,0.0,0.0,0,0,0
266,503,1,0,0,0,0,1,0.0,0.0,0,0,0,0
2362,15945,1,0,0,0,1,0,0.0,0,0.0,0,0,0
60,33,1,0,0,0,0,1,0.0,0.0,0,0,0,0
80,417,1,0,0,0,1,0,0.0,0,0.0,0,0,0
2351,5,1,0.0228,0.1980198019801980198019801980,1,0,0,0.0228,0.0,0.0,0.1980198019801980198019801980,0,0
281,1039,1,0.0536,1.119465329991645781119465330,0,1,0,0.0,0.0536,0.0,0,1.119465329991645781119465330,0
4333,410,1,0,0,1,0,0,0,0.0,0.0,0,0,0
4383,17444,2,0,0,2,0,0,0,0.0,0.0,0,0,0
1095,995,2,0.0057,0.03703703703703703703703703704,1,1,0,0,0.0057,0.0,0,0.03703703703703703703703703704,0
19304,2700,1,0,0,0,1,0,0.0,0,0.0,0,0,0
38,79,1,0,0,1,0,0,0,0.0,0.0,0,0,0
932,2410,2,0,0,1,1,0,0,0,0.0,0,0,0
704,1038,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1084,40,1,0.0114,0.04504504504504504504504504505,0,1,0,0.0,0.0114,0.0,0,0.04504504504504504504504504505,0
1388,1025,2,0,0,1,0,1,0,0.0,0,0,0,0
17444,5546,1,0,0,0,0,1,0.0,0.0,0,0,0,0
4424,10314,1,0,0,1,0,0,0,0.0,0.0,0,0,0
993,681,1,0,0,0,1,0,0.0,0,0.0,0,0,0
918,419,8,0,0,7,1,0,0,0,0.0,0,0,0
595,1159,2,0,0,0,1,1,0.0,0,0,0,0,0
589,6,2,0,0,1,1,0,0,0,0.0,0,0,0
1080,1158,1,0,0,1,0,0,0,0.0,0.0,0,0,0
918,25030,2,0,0,2,0,0,0,0.0,0.0,0,0,0
124,2423,1,0,0,1,0,0,0,0.0,0.0,0,0,0
940,1176,1,0,0,0,0,1,0.0,0.0,0,0,0,0
86,1010,1,0,0,0,1,0,0.0,0,0.0,0,0,0
3008,1020,2,0,0,2,0,0,0,0.0,0.0,0,0,0
1064,1245,1,0,0,0,0,1,0.0,0.0,0,0,0,0
485,3811,1,0,0,0,1,0,0.0,0,0.0,0,0,0
479,697,2,0,0,2,0,0,0,0.0,0.0,0,0,0
11117,62,3,0.00068,0.01569713758079409048938134811,1,2,0,0,0.00068,0.0,0,0.01569713758079409048938134811,0
984,289,3,0.0428,0.9879963065558633425669436750,1,2,0,0.0428,0,0.0,0.9879963065558633425669436750,0,0
