source,target,num_players,total_amount,total_normalized_amount,num_young_players,num_middle_aged_players,num_old_players,total_amount_for_young_players,total_amount_for_middle_aged_players,total_amount_for_old_players,total_normalized_amount_for_young_players,total_normalized_amount_for_middle_aged_players,total_normalized_amount_for_old_players
1084,281,2,0,0,1,0,1,0,0.0,0,0,0,0
3892,1268,2,0,0,2,0,0,0,0.0,0.0,0,0,0
5358,472,3,0,0,1,2,0,0,0,0.0,0,0,0
43560,28643,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1408,800,2,0,0,1,0,1,0,0.0,0,0,0,0
4441,170,1,0,0,1,0,0,0,0.0,0.0,0,0,0
11,22,1,0,0,1,0,0,0,0.0,0.0,0,0,0
2441,410,2,0,0,1,1,0,0,0,0.0,0,0,0
19309,1237,1,0.0098,0.06367771280051981806367771280,1,0,0,0.0098,0.0,0.0,0.06367771280051981806367771280,0,0
417,1181,1,0,0,1,0,0,0,0.0,0.0,0,0,0
244,1423,1,0.00912,0.1367521367521367521367521368,1,0,0,0.00912,0.0,0.0,0.1367521367521367521367521368,0,0
3426,2282,1,0,0,1,0,0,0,0.0,0.0,0,0,0
3426,16795,1,0,0,0,1,0,0.0,0,0.0,0,0,0
6418,1837,1,0,0,1,0,0,0,0.0,0.0,0,0,0
2300,121,1,0.00456,0.01801801801801801801801801802,0,1,0,0.0,0.00456,0.0,0,0.01801801801801801801801801802,0
4482,3687,2,0,0,1,1,0,0,0,0.0,0,0,0
25,312,1,0,0,0,1,0,0.0,0,0.0,0,0,0
2420,1075,1,0,0,0,1,0,0.0,0,0.0,0,0,0
169,683,10,0.05077,0.5166285866196774095713395416,6,4,0,0.04165,0.00912,0.0,0.4489037188948096847036146739,0.06772486772486772486772486773,0
589,1467,1,0,0,0,0,1,0.0,0.0,0,0,0,0
127,475,1,0,0,0,1,0,0.0,0,0.0,0,0,0
1175,601,2,0,0,0,2,0,0.0,0,0.0,0,0,0
10820,379,1,0,0,1,0,0,0,0.0,0.0,0,0,0
2995,720,1,0,0,1,0,0,0,0.0,0.0,0,0,0
409,687,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1378,935,1,0,0,1,0,0,0,0.0,0.0,0,0,0
2282,76,1,0,0,0,1,0,0.0,0,0.0,0,0,0
6894,3205,1,0,0,0,1,0,0.0,0,0.0,0,0,0
2331,1386,1,0.00456,0.09302325581395348837209302326,1,0,0,0.00456,0.0,0.0,0.09302325581395348837209302326,0,0
4084,1429,1,0,0,1,0,0,0,0.0,0.0,0,0,0
2425,12631,1,0,0,1,0,0,0,0.0,0.0,0,0,0
4113,410,1,0,0,1,0,0,0,0.0,0.0,0,0,0
347,3057,2,0,0,1,0,1,0,0.0,0,0,0,0
29,2440,1,0,0,0,0,1,0.0,0.0,0,0,0,0
749,5,3,0.0057,0.08333333333333333333333333333,3,0,0,0.0057,0.0,0.0,0.08333333333333333333333333333,0,0
6678,2441,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1022,447,2,0,0,1,0,1,0,0.0,0,0,0,0
985,1219,1,0,0,1,0,0,0,0.0,0.0,0,0,0
441,44858,1,0,0,0,0,1,0.0,0.0,0,0,0,0
6023,2503,1,0,0,0,1,0,0.0,0,0.0,0,0,0
1143,683,1,0.0171,0.3418632546981207516993202719,1,0,0,0.0171,0.0,0.0,0.3418632546981207516993202719,0,0
969,11622,1,0,0,1,0,0,0,0.0,0.0,0,0,0
409,257,1,0,0,1,0,0,0,0.0,0.0,0,0,0
518,589,1,0,0,1,0,0,0,0.0,0.0,0,0,0
11117,941,3,0,0,2,1,0,0,0,0.0,0,0,0
2311,797,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1465,1080,1,0,0,0,1,0,0.0,0,0.0,0,0,0
51654,1162,1,0,0,1,0,0,0,0.0,0.0,0,0,0
9554,144,5,0,0,5,0,0,0,0.0,0.0,0,0,0
121,2698,3,0,0,0,3,0,0.0,0,0.0,0,0,0
2784,2282,1,0.0114,0.2380952380952380952380952381,0,1,0,0.0,0.0114,0.0,0,0.2380952380952380952380952381,0
499,383,1,0.0684,1.578947368421052631578947368,1,0,0,0.0684,0.0,0.0,1.578947368421052631578947368,0,0
524,141,3,0,0,3,0,0,0,0.0,0.0,0,0,0
1390,10632,1,0,0,0,1,0,0.0,0,0.0,0,0,0
1421,1158,1,0.0171,0.1973684210526315789473684211,0,1,0,0.0,0.0171,0.0,0,0.1973684210526315789473684211,0
566,204,2,0,0,1,1,0,0,0,0.0,0,0,0
605,653,3,0,0,1,1,1,0,0,0,0,0,0
2700,1071,1,0,0,0,1,0,0.0,0,0.0,0,0,0
682,1244,1,0,0,1,0,0,0,0.0,0.0,0,0,0
62,1056,1,0,0,1,0,0,0,0.0,0.0,0,0,0
6489,600,1,0,0,1,0,0,0,0.0,0.0,0,0,0
479,62,2,0,0,0,2,0,0.0,0,0.0,0,0,0
