source,target,num_players,total_amount,total_normalized_amount,num_young_players,num_middle_aged_players,num_old_players,total_amount_for_young_players,total_amount_for_middle_aged_players,total_amount_for_old_players,total_normalized_amount_for_young_players,total_normalized_amount_for_middle_aged_players,total_normalized_amount_for_old_players
723,467,2,0,0,0,1,1,0.0,0,0,0,0,0
338,114,1,0,0,0,0,1,0.0,0.0,0,0,0,0
1091,433,1,0,0,0,0,1,0.0,0.0,0,0,0,0
9010,6304,1,0,0,0,1,0,0.0,0,0.0,0,0,0
467,36110,1,0,0,1,0,0,0,0.0,0.0,0,0,0
11688,820,2,0,0,2,0,0,0,0.0,0.0,0,0,0
8101,447,3,0,0,2,1,0,0,0,0.0,0,0,0
969,273,1,0.0114,0.1709401709401709401709401709,1,0,0,0.0114,0.0,0.0,0.1709401709401709401709401709,0,0
2944,19789,1,0,0,0,1,0,0.0,0,0.0,0,0,0
413,122,1,0,0,0,0,1,0.0,0.0,0,0,0,0
1091,1132,1,0,0,0,0,1,0.0,0.0,0,0,0,0
932,3725,1,0,0,0,0,1,0.0,0.0,0,0,0,0
1264,740,1,0,0,0,0,1,0.0,0.0,0,0,0,0
384,379,1,0.00342,0.05128205128205128205128205128,1,0,0,0.00342,0.0,0.0,0.05128205128205128205128205128,0,0
48,42,1,0,0,0,1,0,0.0,0,0.0,0,0,0
306,1426,1,0,0,1,0,0,0,0.0,0.0,0,0,0
409,155,1,0,0,0,0,1,0.0,0.0,0,0,0,0
11337,130,1,0,0,1,0,0,0,0.0,0.0,0,0,0
13,583,1,0.00912,0.08510638297872340425531914894,0,0,1,0.0,0.0,0.00912,0,0,0.08510638297872340425531914894
399,164,2,0,0,1,1,0,0,0,0.0,0,0,0
4057,10898,1,0.00086,0.01985226223453370267774699908,1,0,0,0.00086,0.0,0.0,0.01985226223453370267774699908,0,0
4159,506,2,0,0,1,1,0,0,0,0.0,0,0,0
1244,9597,1,0,0,0,1,0,0.0,0,0.0,0,0,0
28956,7977,2,0,0,1,0,1,0,0.0,0,0,0,0
4482,2227,1,0,0,1,0,0,0,0.0,0.0,0,0,0
892,2598,6,0,0,3,2,1,0,0,0,0,0,0
3202,141,1,0,0,1,0,0,0,0.0,0.0,0,0,0
