source,target,num_players,total_amount,total_normalized_amount,num_young_players,num_middle_aged_players,num_old_players,total_amount_for_young_players,total_amount_for_middle_aged_players,total_amount_for_old_players,total_normalized_amount_for_young_players,total_normalized_amount_for_middle_aged_players,total_normalized_amount_for_old_players
681,621,2,0,0,0,2,0,0.0,0,0.0,0,0,0
826,583,1,0,0,0,0,1,0.0,0.0,0,0,0,0
244,2670,1,0,0,1,0,0,0,0.0,0.0,0,0,0
144,43305,1,0,0,0,1,0,0.0,0,0.0,0,0,0
2995,5220,1,0.00228,0.04558176729308276689324270292,0,1,0,0.0,0.00228,0.0,0,0.04558176729308276689324270292,0
599,419,3,0.01653,0.3133772132172771916874275931,3,0,0,0.01653,0.0,0.0,0.3133772132172771916874275931,0,0
714,6195,1,0,0,0,1,0,0.0,0,0.0,0,0,0
1134,3725,1,0.00912,0.03603603603603603603603603604,1,0,0,0.00912,0.0,0.0,0.03603603603603603603603603604,0,0
129,25,3,0.00462,0.05229202037351443123938879456,3,0,0,0.00462,0.0,0.0,0.05229202037351443123938879456,0,0
982,720,4,0.057,0.8386294556507322464769273280,3,1,0,0.057,0,0.0,0.8386294556507322464769273280,0,0
660,1038,1,0.0912,1.052631578947368421052631579,1,0,0,0.0912,0.0,0.0,1.052631578947368421052631579,0,0
990,164,1,0.0257,0.4900839054157131960335621663,1,0,0,0.0257,0.0,0.0,0.4900839054157131960335621663,0,0
800,6692,1,0,0,0,1,0,0.0,0,0.0,0,0,0
3820,1003,1,0,0,1,0,0,0,0.0,0.0,0,0,0
294,2457,1,0,0,0,1,0,0.0,0,0.0,0,0,0
720,2425,1,0,0,1,0,0,0,0.0,0.0,0,0,0
510,46,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1421,3508,1,0,0,0,1,0,0.0,0,0.0,0,0,0
2557,4603,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1070,3302,1,0,0,0,1,0,0.0,0,0.0,0,0,0
861,1390,1,0.0268,0.4018593492277702804018593492,1,0,0,0.0268,0.0,0.0,0.4018593492277702804018593492,0,0
1025,12,1,0,0,0,0,1,0.0,0.0,0,0,0,0
1244,621,4,0,0,3,1,0,0,0,0.0,0,0,0
3327,2995,3,0,0,1,2,0,0,0,0.0,0,0,0
13299,62,1,0,0,1,0,0,0,0.0,0.0,0,0,0
447,14766,1,0,0,1,0,0,0,0.0,0.0,0,0,0
2288,1237,3,0.00325,0.06787802840434419381787802840,0,3,0,0.0,0.00325,0.0,0,0.06787802840434419381787802840,0
367,993,2,0,0,1,1,0,0,0,0.0,0,0,0
3948,28643,1,0,0,1,0,0,0,0.0,0.0,0,0,0
29228,410,1,0,0,1,0,0,0,0.0,0.0,0,0,0
697,21719,1,0,0,1,0,0,0,0.0,0.0,0,0,0
3345,940,1,0,0,1,0,0,0,0.0,0.0,0,0,0
417,720,1,0,0,0,1,0,0.0,0,0.0,0,0,0
24,105,2,0,0,0,2,0,0.0,0,0.0,0,0,0
1075,4284,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1160,683,1,0,0,1,0,0,0,0.0,0.0,0,0,0
332,398,3,0,0,3,0,0,0,0.0,0.0,0,0,0
3834,3609,1,0,0,1,0,0,0,0.0,0.0,0,0,0
583,12,1,0.2816,1.829759584145549057829759584,0,1,0,0.0,0.2816,0.0,0,1.829759584145549057829759584,0
6414,114,1,0.0228,0.2631578947368421052631578947,0,0,1,0.0,0.0,0.0228,0,0,0.2631578947368421052631578947
128,10408,1,0,0,1,0,0,0,0.0,0.0,0,0,0
142,3234,1,0,0,1,0,0,0,0.0,0.0,0,0,0
33,39,1,0,0,1,0,0,0,0.0,0.0,0,0,0
3714,1083,1,0.00342,0.02970297029702970297029702970,0,1,0,0.0,0.00342,0.0,0,0.02970297029702970297029702970,0
1020,2793,2,0,0,2,0,0,0,0.0,0.0,0,0,0
5544,13288,1,0,0,1,0,0,0,0.0,0.0,0,0,0
10920,1075,1,0,0,1,0,0,0,0.0,0.0,0,0,0
430,631,1,0,0,0,1,0,0.0,0,0.0,0,0,0
10690,8963,9,0,0,8,1,0,0,0,0.0,0,0,0
1081,66,1,0.00285,0.04166666666666666666666666667,0,0,1,0.0,0.0,0.00285,0,0,0.04166666666666666666666666667
1467,1264,2,0,0,1,1,0,0,0,0.0,0,0,0
410,10761,1,0,0,0,0,1,0.0,0.0,0,0,0,0
2745,2180,1,0,0,0,1,0,0.0,0,0.0,0,0,0
3489,641,1,0,0,1,0,0,0,0.0,0.0,0,0,0
202,610,2,0.0285,0.6578947368421052631578947368,2,0,0,0.0285,0.0,0.0,0.6578947368421052631578947368,0,0
8541,5546,3,0,0,3,0,0,0,0.0,0.0,0,0,0
6107,2662,1,0.00114,0.004504504504504504504504504505,0,1,0,0.0,0.00114,0.0,0,0.004504504504504504504504504505,0
2824,1090,1,0.00228,0.02447402318591670244740231859,1,0,0,0.00228,0.0,0.0,0.02447402318591670244740231859,0,0
5225,19215,1,0,0,1,0,0,0,0.0,0.0,0,0,0
6676,4602,1,0,0,0,1,0,0.0,0,0.0,0,0,0
252,2448,1,0,0,0,1,0,0.0,0,0.0,0,0,0
3610,172,1,0,0,1,0,0,0,0.0,0.0,0,0,0
122,163,1,0,0,0,1,0,0.0,0,0.0,0,0,0
1073,10473,1,0,0,1,0,0,0,0.0,0.0,0,0,0
4603,3392,1,0,0,0,1,0,0.0,0,0.0,0,0,0
1104,2331,1,0,0,0,0,1,0.0,0.0,0,0,0,0
430,1025,1,0,0,0,1,0,0.0,0,0.0,0,0,0
13,3,1,0,0,0,0,1,0.0,0.0,0,0,0,0
5107,447,5,0.02392,0.4879640962872297021623827009,4,1,0,0.02392,0,0.0,0.4879640962872297021623827009,0,0
503,413,5,0,0,4,1,0,0,0,0.0,0,0,0
1096,148,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1083,121,1,0,0,0,1,0,0.0,0,0.0,0,0,0
1210,12,2,0,0,0,2,0,0.0,0,0.0,0,0,0
339,2740,2,0,0,0,2,0,0.0,0,0.0,0,0,0
4128,2227,1,0,0,0,0,1,0.0,0.0,0,0,0,0
10481,2700,1,0,0,0,1,0,0.0,0,0.0,0,0,0
833,868,2,0,0,2,0,0,0,0.0,0.0,0,0,0
4608,3060,1,0,0,1,0,0,0,0.0,0.0,0,0,0
169,895,1,0,0,1,0,0,0,0.0,0.0,0,0,0
503,37024,1,0,0,1,0,0,0,0.0,0.0,0,0,0
77,2671,1,0,0,0,1,0,0.0,0,0.0,0,0,0
