Id,Label,League
2180,AA La Louviere,Jupiler Pro League
2973,RWD Molenbeek,Jupiler Pro League
1411,RAEC Mons,Jupiler Pro League
3057,Standard Liège,Jupiler Pro League
968,KVC Westerlo,Jupiler Pro League
498,KSC Lokeren,Jupiler Pro League
2727,Oud-Heverlee Leuven,Jupiler Pro League
58,RSC Anderlecht,Jupiler Pro League
520,Cercle Brugge ,Jupiler Pro League
2977,KSV Roeselare,Jupiler Pro League
172,RSC Charleroi,Jupiler Pro League
204,Lierse SK,Jupiler Pro League
157,KAA Gent,Jupiler Pro League
9010,FCV Dender EH,Jupiler Pro League
475,Sint-Truidense VV,Jupiler Pro League
2282,Club Brugge KV,Jupiler Pro League
1184,KRC Genk,Jupiler Pro League
1245,KAS Eupen,Jupiler Pro League
1417,Heusden-Zolder SK,Jupiler Pro League
1111,KSC Eendracht Aalst,Jupiler Pro League
3772,AFC Tubize,Jupiler Pro League
601,KV Kortrijk,Jupiler Pro League
1433,Excelsior Mouscron,Jupiler Pro League
566,Germinal Beerschot Antwerpen,Jupiler Pro League
2478,KRC Harelbeke,Jupiler Pro League
29228,Mouscron-Péruwelz,Jupiler Pro League
354,KV Mechelen,Jupiler Pro League
718,KFC Lommel SK,Jupiler Pro League
2861,KV Oostende,Jupiler Pro League
3508,SV Zulte Waregem,Jupiler Pro League
28643,Waasland-Beveren,Jupiler Pro League
1073,KSK Beveren,Jupiler Pro League
3898,FC Molenbeek Brüssel,Jupiler Pro League
1096,Royal Antwerp FC,Jupiler Pro League
798,SBV Excelsior Rotterdam,Eredivisie
200,FC Utrecht,Eredivisie
724,FC Volendam,Eredivisie
1435,Go Ahead Eagles Deventer,Eredivisie
192,Roda JC Kerkrade,Eredivisie
383,PSV Eindhoven,Eredivisie
133,SC Cambuur-Leeuwarden,Eredivisie
385,Fortuna Sittard,Eredivisie
467,NEC Nijmegen,Eredivisie
404,FC Den Bosch,Eredivisie
132,NAC Breda,Eredivisie
403,Willem II Tilburg,Eredivisie
234,Feyenoord Rotterdam,Eredivisie
1090,AZ Alkmaar,Eredivisie
642,De Graafschap Doetinchem,Eredivisie
1269,FC Zwolle,Eredivisie
1304,Heracles Almelo,Eredivisie
317,FC Twente Enschede,Eredivisie
1268,ADO Den Haag,Eredivisie
