source,target,weight
11,355,3
244,2670,1
1091,433,1
2619,969,1
3772,9010,2
1084,281,3
144,43305,1
4537,5546,1
714,2296,1
506,244,4
2944,19789,3
714,6195,3
681,3302,3
5358,472,5
413,122,4
43560,28643,4
1134,3725,1
697,13726,1
11,22,3
964,12059,1
4033,862,4
6993,37825,1
128,21957,1
129,25,4
19309,1237,1
417,1181,1
982,720,7
20,1286,1
17522,420,2
660,1038,1
990,164,3
410,171,1
148,1003,6
2457,4750,8
2944,868,45
410,1387,9
3820,1003,2
62,697,17
2300,121,1
447,14766,31
631,11,4
294,2457,9
4482,3687,2
2420,1075,6
9,1091,1
38290,862,2
127,475,1
10820,379,1
144,1242,6
820,1267,6
595,32780,1
6105,157,5
409,687,1
2557,4603,1
1070,3302,1
862,24898,5
12001,447,1
1378,935,5
6418,4603,6
1244,621,7
46,607,4
6894,3205,12
3327,2995,8
2425,12631,1
13299,62,4
1020,3205,2
130,5621,2
697,1897,7
367,993,3
114,27603,2
762,371,4
749,5,11
533,44,1
29228,410,1
45132,868,1
6678,2441,8
1519,3008,2
3391,2669,2
410,14,3
441,44858,1
6023,2503,1
6621,338,2
14,4441,2
833,1506,6
1160,683,1
969,1160,1
3834,3609,2
6414,114,2
3207,3205,1
475,1073,3
128,10408,1
416,24575,2
3057,3789,1
409,257,2
142,3234,1
862,4103,23
3714,1083,2
820,8707,2
518,589,2
11,1123,4
985,2288,3
2311,797,3
5544,13288,1
171,7077,3
10920,1075,1
10773,169,2
2745,2180,1
410,10761,1
1322,450,6
3489,641,1
202,610,9
8541,5546,10
2784,2282,1
46,6574,4
192,38,3
499,383,4
524,141,10
377,13299,6
276,1210,4
130,4083,24
10690,16247,2
4001,1119,2
122,163,1
148,358,10
683,35476,1
566,204,7
4271,410,5
1073,10473,1
339,3592,55
1408,862,8
1027,986,1
5546,964,1
8101,6087,2
4603,3392,2
1110,1003,2
1104,2331,2
6678,1301,1
2420,3329,2
2700,1071,1
682,1244,1
605,653,4
540,47,1
6489,600,1
62,1056,1
