source,target,weight
2619,969,1
3772,9010,2
4537,5546,1
12,1061,1
2282,1066,1
2425,720,3
964,12059,1
6993,37825,1
4033,862,3
128,21957,1
601,3793,1
410,171,1
18303,3690,1
537,839,1
62,697,4
2282,583,2
1004,2375,1
9,1091,1
38290,862,2
1083,3725,5
6105,157,2
595,32780,1
4554,862,3
12001,447,1
6418,4603,5
14171,25,1
703,631,2
130,5621,1
762,1123,1
533,44,1
1519,3008,2
6621,338,1
1264,449,2
3207,3205,1
1091,1083,1
6676,2671,1
11,1123,1
1627,428,1
441,1075,1
524,221,1
4102,862,3
499,3898,1
192,38,1
506,5621,1
130,4083,3
1267,6894,1
148,358,3
4271,410,1
1408,862,4
398,336,2
5546,964,1
1110,1003,2
3592,6993,3
289,583,1
2922,1050,1
1049,585,1
1531,150,2
317,1148,1
6640,468,1
46,4097,2
6087,12109,1
2722,4331,1
450,420,1
6890,39722,1
234,964,1
506,1025,3
409,749,1
33,583,1
1436,294,3
410,800,2
868,22815,1
370,410,1
3679,648,1
6992,46710,1
1005,2441,1
252,866,2
29,124,2
6992,6422,1
2921,130,4
5192,122,1
714,5,2
697,4106,1
4554,130,2
801,419,1
3325,667,1
8827,2995,2
266,935,7
331,16795,2
273,2425,1
599,6087,1
2671,553,1
7077,171,2
235,1090,2
12574,419,1
12378,2944,5
3709,142,1
3386,605,3
918,16145,1
903,337,1
416,506,2
13,79,1
58,740,1
162,29,1
931,1150,1
605,47,1
845,20,1
114,294,1
419,157,1
765,223,1
2990,1301,1
8835,6082,2
34593,3060,1
358,2553,1
5,46,4
862,2655,2
1269,703,1
5544,197,5
833,19771,3
1220,762,1
131,5,2
82,330,1
114,42,2
37125,128,1
2804,1020,1
533,4,1
210,141,1
8969,128,1
2619,13,1
12378,2323,1
2424,7211,2
2944,868,11
941,524,1
2420,294,5
1025,410,1
380,1005,3
11126,14589,1
82,24,1
2990,829,2
1162,58,1
130,46,8
1083,964,5
820,262,1
5107,33992,1
294,16795,2
2457,2423,3
2079,2441,2
10483,15273,3
58,941,1
1290,995,1
2410,2374,1
458,506,1
12005,892,1
5111,552,1
7,984,1
2696,2439,1
419,12,1
709,506,1
2742,2740,1
1429,506,2
826,162,3
697,8819,1
17444,2323,1
167,467,1
524,11282,1
669,1075,1
433,314,1
5370,39,1
3277,16795,3
6082,121,1
984,1032,2
1039,1028,1
2790,1095,1
16,35,1
200,383,4
244,281,1
458,2655,2
5111,419,4
27,409,1
681,621,3
332,27568,1
2698,2497,1
377,6195,1
2319,20,1
1301,2420,2
467,234,4
408,3060,1
180,703,2
11596,1533,1
1038,2655,4
6676,3060,4
366,3368,1
1083,932,4
10,452,1
969,762,1
48858,3060,8
1038,498,1
2672,5219,2
350,405,3
1085,18916,1
2742,3592,3
159,410,2
3592,338,4
475,58,1
2944,825,1
38,21,1
614,2457,1
169,72,1
1531,1049,1
2696,2741,1
1147,1465,1
202,1304,1
653,265,5
2454,337,1
533,4795,1
4467,4441,2
4467,7443,1
18940,520,1
3060,2672,1
37276,683,6
1091,57072,1
6630,20,2
368,148,2
33734,416,1
982,8294,1
1443,599,1
2662,19536,1
30,316,1
3267,1301,1
1075,336,7
141,1267,2
162,738,1
4028,4083,1
306,279,1
331,2323,1
800,398,3
18,762,1
3230,566,2
4083,29228,1
448,3391,1
4814,15047,1
1111,317,1
826,738,2
1386,252,6
1397,1147,2
276,130,3
234,603,1
1075,2457,1
252,862,5
66,65,1
833,1267,4
918,503,1
148,1198,1
26641,2227,1
155,2277,2
2740,10693,1
2381,126,3
152,820,3
2410,932,1
987,164,1
3725,23777,1
1627,10118,1
347,5138,1
1252,1123,1
918,11278,3
12,1038,1
918,2362,6
4812,152,1
122,170,4
327,11402,3
16220,47,1
861,1429,1
16795,410,16
899,543,1
8707,524,1
1433,3898,2
2296,3302,1
2639,1075,3
12514,918,2
2362,447,2
23664,23611,1
46,12,6
314,485,3
2977,10231,1
845,924,2
1057,379,1
533,86,1
434,653,1
8512,172,1
2944,449,4
1181,2292,1
27,583,1
383,3008,1
642,234,4
20423,16245,1
1253,1025,1
995,9961,1
9010,3508,2
40,1159,1
839,800,5
419,33304,1
7804,2293,2
8758,3060,1
252,430,4
2921,252,3
12630,599,4
1082,873,1
44,3368,1
3352,294,2
336,703,1
3508,28643,2
968,500,1
266,503,1
2362,15945,1
60,33,1
80,417,1
2351,5,1
281,1039,1
4333,410,1
4383,17444,2
1095,995,2
19304,2700,1
38,79,1
932,2410,2
704,1038,1
1084,40,1
1388,1025,2
17444,5546,1
4424,10314,1
993,681,1
918,419,8
595,1159,2
589,6,2
1080,1158,1
918,25030,2
124,2423,1
940,1176,1
86,1010,1
3008,1020,2
1064,1245,1
485,3811,1
479,697,2
11117,62,3
984,289,3
413,266,5
355,416,1
380,408,1
2553,931,1
2282,190,1
232,77,1
1455,202,2
252,1532,1
8174,3691,1
1429,800,9
12,1387,2
466,603,1
5621,1038,1
1455,1268,5
750,8178,1
141,1467,2
5546,1897,3
7087,697,1
715,1321,1
1444,410,1
839,506,8
714,3229,1
2330,20698,1
2239,408,1
29367,17444,1
6429,8835,1
1423,347,2
252,1429,2
918,20908,3
405,984,2
720,714,1
170,2444,5
150,13,1
1268,6614,2
2448,142,1
3060,2784,2
1837,8701,1
46,762,2
1075,3524,1
1038,38290,1
468,306,2
2079,4603,1
10820,1095,1
29,141,1
14,17444,4
601,683,1
4558,1387,2
2079,32130,1
2444,122,2
6672,2439,1
2672,3161,1
9010,3172,1
814,5219,1
1307,1386,1
1506,3207,2
3205,11282,2
62,6380,3
40,30612,1
720,3348,1
1416,417,1
204,868,1
697,410,1
448,1184,1
3391,2049,1
40416,2662,1
449,1264,5
1804,336,1
668,1304,1
24,57,1
1038,1049,1
3718,2703,1
1167,642,1
699,1071,2
379,124,1
714,45276,1
235,3315,1
37,932,1
2783,9007,4
369,1268,1
368,131,4
2273,856,1
62,63,1
2125,720,2
10674,3592,3
3057,790,1
2696,16239,1
1075,979,3
3898,204,1
1627,839,1
833,820,5
601,3057,2
354,9010,2
282,1091,1
20,3216,2
2675,2984,1
24501,11127,1
820,2292,2
355,417,1
724,306,2
14,2698,1
14171,1134,1
16950,2696,1
73,144,1
4,180,1
982,720,1
80,57,1
999,2573,2
36,524,1
266,3551,2
294,630,1
209,995,1
1433,968,1
759,20,1
589,449,2
1025,130,3
862,1050,1
2292,114,3
162,281,1
819,2969,1
10690,2698,2
641,2288,2
157,3134,1
984,1132,1
1955,290,1
128,4603,4
1416,1154,1
1038,430,5
141,232,1
1436,2481,1
941,2381,2
2448,2995,1
1147,58,1
618,417,2
935,7695,1
2227,2783,3
4652,833,4
4083,5,4
430,19,1
3846,524,1
553,3391,1
2944,377,1
416,2047,1
6996,338,5
1147,9668,1
58,543,1
355,984,3
467,11368,1
60,24,1
589,3216,4
479,450,1
3205,3898,1
410,10118,1
749,5589,1
10690,8963,7
9074,5107,1
1435,1090,4
631,762,1
642,1304,1
306,384,1
2239,1025,1
4361,416,1
2293,126,2
2977,2727,2
2944,6894,3
1533,142,1
2431,4687,1
11609,5220,1
28643,354,3
697,429,1
6692,130,2
1025,749,2
697,7074,1
7918,6380,1
413,17444,2
3393,1301,1
3060,2670,2
141,4064,1
7088,825,1
683,1075,2
697,814,2
2639,2503,1
317,65,1
583,36,1
504,2698,2
506,1390,3
7378,982,1
506,4114,1
12374,1267,1
14,676,1
6380,197,4
3592,6996,2
4083,12,3
1267,6890,2
336,6195,1
355,410,1
3524,347,1
660,2740,1
2977,28643,1
979,12988,1
40,2580,1
131,114,1
1199,3057,1
6676,3396,2
3,931,1
2921,506,1
438,3205,1
58,172,1
1025,5621,1
2990,1075,3
8697,2672,3
5544,13299,2
294,4297,2
121,1096,1
589,524,4
897,31,1
447,1433,1
13716,377,2
130,4326,2
600,1443,1
506,800,3
833,11282,1
5544,2311,1
30857,28643,2
405,931,1
232,978,1
9074,485,1
3008,512,2
422,2282,2
6405,2703,4
384,1269,2
122,1390,1
499,1269,1
2832,589,1
327,3725,2
703,180,2
379,289,4
1035,762,2
605,6676,1
2672,8758,2
354,200,1
3898,1162,1
982,8433,1
941,4531,1
415,347,1
46,276,1
121,449,1
1100,28643,1
12109,19790,1
979,126,1
6195,1038,2
59,2521,1
13299,7975,1
964,16704,1
1147,630,1
2639,12915,1
336,3197,1
4153,398,1
10670,1386,2
14171,1147,1
2672,2670,1
1992,1465,1
130,2655,1
467,317,4
60551,9007,1
432,931,1
1210,6692,1
192,498,1
3691,16704,1
10679,2672,1
1085,7378,2
6994,6993,2
144,4391,1
41,122,1
2292,2381,2
210,265,1
4326,130,8
306,1304,2
17444,4441,1
1025,4031,1
11368,468,1
667,855,3
1110,1039,1
2700,6890,1
12054,2700,1
2737,932,2
144,9982,1
1082,79,2
468,192,3
2503,1146,1
2282,58,1
2293,1467,3
6994,12412,1
4085,332,1
500,1426,1
314,789,1
327,124,1
918,999,1
10,935,1
132,1227,2
7975,715,3
583,1081,1
239,379,1
1103,130,3
5225,5546,2
3205,449,4
4057,16950,2
80,409,1
679,2639,1
765,447,1
1039,164,3
192,1184,1
1429,252,6
221,338,1
1091,26,1
430,252,4
8835,3691,3
19588,520,2
713,2439,1
918,45276,2
16795,6182,1
984,290,1
58,18,1
417,6248,1
1390,1385,1
1083,11749,2
935,116,1
266,10131,2
148,18,1
3709,6195,1
1426,1068,1
448,1075,1
399,512,2
5621,458,1
4771,1627,1
2984,3391,1
202,1434,1
2311,1322,1
2375,820,1
3551,2049,1
86,27,1
5615,1025,3
27525,327,1
589,114,1
200,6574,1
4,167,2
20,825,2
2719,10484,1
18026,1304,4
2362,999,4
14,11609,1
399,899,1
410,506,4
162,46,2
1386,5,2
6993,12060,1
20,36,1
157,520,4
252,416,4
4172,862,2
999,3793,1
703,1032,1
80,167,3
999,3385,1
255,398,1
1280,936,1
2425,10330,1
10468,2742,2
11127,28095,1
6676,6418,1
210,294,1
339,3592,6
42,89,2
7968,750,1
715,892,3
1435,467,1
2478,1411,1
720,142,2
12068,10688,1
7788,3327,1
3037,5,1
24366,968,1
410,21550,1
195,265,1
4128,2741,1
839,398,3
33441,5219,1
2573,3385,1
9074,420,12
868,36,1
49403,2861,1
11032,420,1
197,410,2
273,610,1
506,1038,2
750,102,1
223,10139,1
4172,398,3
4114,398,2
6676,713,1
408,800,3
2995,17568,1
120,664,1
383,1053,1
4064,982,1
18,48,1
14280,6992,1
1090,714,1
403,1090,4
589,748,1
3709,5,1
2503,9855,1
16247,339,1
82,1082,2
2784,798,1
5546,868,1
512,1027,1
7378,1075,2
2984,265,1
1306,1083,1
6,524,3
22587,157,1
1283,7408,2
2477,4482,2
42,79,3
167,82,2
16245,10694,1
1005,12,3
2698,1030,1
11675,141,3
20,12452,1
10409,683,1
12,25009,1
8494,2990,1
197,82,1
44,180,1
599,12794,1
2696,2700,2
235,610,2
8154,408,1
1455,1090,1
11194,485,2
681,2296,2
398,54498,1
609,1038,1
12861,197,1
1162,3277,1
2581,252,2
273,31,1
131,29,2
1003,982,1
114,46,1
336,144,1
983,2566,1
169,128,1
398,46,4
969,595,3
543,2454,1
4,15,2
1267,833,1
2448,862,1
3772,1433,1
169,21586,1
985,289,5
1042,2288,2
762,8054,1
1050,2407,1
500,202,1
3520,273,1
3691,2439,2
12,418,1
4103,862,12
46,1390,3
2521,1085,3
1075,681,1
2425,862,1
10755,1429,1
1421,289,1
467,18216,3
845,2375,1
713,2410,1
1041,368,1
2675,683,2
62,169,2
10789,1465,1
1164,3161,2
467,1227,4
3850,121,2
3911,17707,1
11083,8880,1
368,281,1
10317,447,1
1426,384,1
5621,130,1
8956,2700,2
672,419,1
21331,1038,1
820,825,2
2698,3725,3
1423,162,2
294,1091,1
4083,3709,1
2503,8290,1
1091,148,1
176,589,2
734,16795,1
25467,294,1
1433,204,2
167,688,1
19744,10674,3
2439,4785,1
6992,22010,1
120,820,1
714,418,2
1047,1038,1
1027,289,1
2424,979,5
1533,367,1
1322,865,1
164,379,6
605,10531,1
237,13,2
10484,3841,1
749,6195,3
1268,1269,1
2457,11085,1
12381,449,32
12915,2503,1
982,25243,3
209,23826,1
8817,202,2
1210,252,1
20,10484,1
1897,1496,1
38,4441,1
252,1103,1
60,371,1
13593,126,2
130,14400,1
1158,2425,1
1150,405,1
1091,419,1
13,543,2
3508,2861,4
22,512,3
1037,1038,1
984,355,1
10157,4482,2
141,660,1
1082,2861,1
2331,862,2
820,8508,1
3899,5220,1
2698,338,1
385,192,1
2977,1433,1
496,833,1
129,40,1
2740,6423,1
5219,683,2
1433,566,1
1084,11,1
3508,1096,2
1876,3385,1
331,940,2
833,2293,2
126,1264,1
6483,941,2
2832,449,2
503,413,2
8838,14178,1
10492,2990,2
141,36,1
715,59573,1
982,294,5
2288,12566,1
697,170,1
9007,22010,1
610,566,1
1307,862,2
5956,918,1
1385,6195,1
5,13,1
4840,2381,1
583,40,2
5219,2672,6
969,62,1
3592,16245,1
5223,498,1
2262,379,1
825,449,3
3898,3772,1
1123,355,1
29228,448,2
667,24,2
12302,3592,2
416,458,5
7185,5689,1
2722,130,5
6,1467,2
713,3,1
1025,862,2
455,720,3
2675,128,1
2639,3325,2
6414,660,3
141,79,2
11609,170,1
2687,16795,6
6418,2079,2
164,1020,1
20541,28643,1
6630,524,2
330,3302,1
26,2,1
1290,1421,1
273,349,1
409,23826,4
40,22,1
16245,2712,1
4102,506,2
24366,798,1
845,3207,2
631,281,2
8152,2180,1
430,150,3
5648,1108,1
169,265,6
7661,169,1
26459,6992,2
419,122,1
3592,18477,1
918,765,1
941,197,1
418,281,1
8304,6692,1
169,9,1
221,631,1
458,410,2
989,31,1
18945,4603,1
365,197,1
122,28760,1
2672,2671,2
1269,132,1
2797,931,1
6195,4171,2
39,105,1
6692,862,1
3522,1408,1
6676,2670,2
330,410,1
281,368,1
506,3,1
2481,2362,2
1220,1181,1
398,410,2
5773,1073,1
122,11749,1
2477,339,1
10312,419,1
6993,10690,4
366,1050,2
202,383,1
28095,12054,1
3521,1083,1
6673,4128,1
892,697,2
29,281,5
4424,447,1
1075,1701,1
104,419,1
13,171,1
8690,820,4
2975,1082,1
3999,128,1
2381,2463,2
5220,41494,1
1264,197,1
450,13299,1
862,6195,2
80,60,1
455,498,1
1237,11,2
306,865,1
8578,447,7
3551,307,2
1075,237,2
19,1038,2
2,447,1
273,368,1
7775,868,1
3911,1411,2
720,3271,2
4033,1386,2
60,42,1
714,2407,1
12302,16239,1
588,223,1
31,289,2
1070,1627,1
3057,28643,2
19164,1210,1
5219,2620,1
1301,8024,2
1387,142,1
152,4574,1
113,25,1
2331,12,1
114,20,4
4,828,1
6894,2381,2
265,6418,1
42,66,1
355,762,2
3008,452,1
1162,1159,2
1084,630,1
2778,498,2
417,1241,1
82,22,1
10670,1390,1
1219,281,1
6414,3592,1
3230,204,4
11688,126,1
446,6,1
503,170,6
10138,11194,2
865,2,1
968,157,5
583,355,1
144,22220,1
45468,833,1
169,47,3
3911,347,1
610,499,1
157,53,1
265,144,1
14766,447,10
21957,52566,1
450,2410,1
197,533,1
13,281,1
8690,2323,2
94,41,1
1269,317,1
634,918,1
254,2227,1
6890,10949,1
720,1234,1
656,2463,1
7875,148,1
1385,1038,6
1531,3709,2
31,358,1
1103,19,1
40,2867,1
4907,1465,1
28643,840,1
720,2125,1
6110,4128,1
1028,543,2
873,698,1
715,197,5
856,7087,1
20570,2861,1
413,6158,1
8172,610,1
8715,1085,1
141,6890,1
3539,3008,1
3368,366,2
114,6890,1
162,244,4
157,20,1
12438,2374,2
3392,6676,1
5572,11107,1
