source,target,weight
1084,281,2
3892,1268,2
5358,472,3
43560,28643,1
1408,800,2
4441,170,1
11,22,1
2441,410,2
19309,1237,1
417,1181,1
244,1423,1
3426,2282,1
3426,16795,1
6418,1837,1
2300,121,1
4482,3687,2
25,312,1
2420,1075,1
169,683,10
589,1467,1
127,475,1
1175,601,2
10820,379,1
2995,720,1
409,687,1
1378,935,1
2282,76,1
6894,3205,1
2331,1386,1
4084,1429,1
2425,12631,1
4113,410,1
347,3057,2
29,2440,1
749,5,3
6678,2441,1
1022,447,2
985,1219,1
441,44858,1
6023,2503,1
1143,683,1
969,11622,1
409,257,1
518,589,1
11117,941,3
2311,797,1
1465,1080,1
51654,1162,1
9554,144,5
121,2698,3
2784,2282,1
499,383,1
524,141,3
1390,10632,1
1421,1158,1
566,204,2
605,653,3
2700,1071,1
682,1244,1
62,1056,1
6489,600,1
479,62,2
31,2964,2
750,20,1
1023,2282,2
2441,6502,1
14,21283,1
862,12,2
2619,458,1
797,814,2
2580,1290,1
144,122,1
10688,3691,2
2420,25243,2
86,27,5
2293,2292,2
2783,1063,1
162,855,1
3348,2639,2
128,2984,1
7918,157,4
10803,467,1
8023,144,1
1010,410,7
1083,3690,1
26854,653,1
826,31,1
1467,2381,1
762,29,1
6994,6422,1
660,614,1
169,980,1
22,472,1
4441,868,1
2457,3274,1
1082,40,1
8956,1268,1
3368,630,1
3057,358,3
2250,46,4
683,605,2
122,126,2
204,6726,1
566,1081,1
9083,5219,1
1014,918,1
1416,3898,1
3911,583,1
868,3221,1
2293,965,1
82,504,1
2374,2705,1
1426,385,3
1158,618,2
475,968,1
12524,868,1
28956,2672,1
266,2157,1
510,506,2
7478,1245,1
132,499,1
6890,126,4
3691,10688,1
1210,410,3
3008,1089,1
3325,2457,1
314,697,1
209,405,1
232,1083,2
2698,8031,1
5381,1268,1
2374,11126,1
58,631,1
1103,1429,1
862,995,1
6368,19,1
290,273,3
58,294,1
398,3037,1
2700,8956,1
993,897,2
21331,276,2
3057,2977,1
142,3709,4
667,1158,5
2457,3341,1
354,3508,2
1204,141,1
621,2296,1
3690,6414,2
2783,2156,2
221,524,2
2784,3725,1
1465,17300,1
14107,2566,1
1211,3008,1
14782,128,1
244,595,2
3327,1075,1
25242,2420,1
11273,995,1
40426,8024,1
47,2441,2
135,797,1
940,1184,1
1083,932,7
202,30510,1
868,833,1
506,458,4
1520,144,7
18938,506,1
18,33,1
399,984,2
3057,1411,3
6377,7975,1
12321,605,1
1082,11,1
485,999,2
2420,1301,3
5544,1322,3
89,39,2
1159,969,1
8835,3719,2
11,415,1
162,2439,1
677,164,2
7975,5225,4
3057,204,1
1214,868,1
1268,148,1
813,931,1
28643,2861,2
3342,2457,1
8146,814,2
2293,37951,1
10131,37024,1
1075,720,9
940,31614,1
1627,380,1
2455,1003,1
631,46,2
16245,660,3
1506,141,2
380,4083,1
1082,7831,1
2727,498,2
46,330,1
30120,169,1
1429,10643,1
3037,862,7
42039,450,1
3268,3336,1
6321,27,1
4814,2457,1
26789,6574,2
873,641,1
750,6342,1
377,197,1
455,290,1
897,294,4
873,29,3
190,338,1
294,418,1
697,14702,1
29,1003,1
9826,1390,2
130,506,5
43089,697,1
819,14171,1
30200,2180,1
430,173,1
3709,6767,1
317,316,1
410,17483,1
2990,2035,1
7977,653,1
3037,6574,3
4787,2672,1
7378,2990,2
1003,164,1
687,306,1
124,1025,1
4085,332,1
599,8007,1
1028,405,2
7542,86,1
164,1388,1
5,46,2
5623,873,1
8042,833,1
4297,1301,2
8738,749,1
800,4541,1
204,1184,4
130,252,2
2434,1436,1
605,6631,1
29228,1082,5
3349,25817,1
2381,845,1
18,82,2
50,39,1
3524,667,2
1264,316,1
6621,410,1
1301,537,2
800,458,3
3323,2503,2
2444,2235,2
244,6600,1
4254,1005,1
144,419,4
8685,5225,1
642,317,1
1181,22,1
6098,21957,1
1162,750,1
964,11,2
44,330,1
618,583,2
46649,354,2
157,1160,1
501,2282,1
7077,16795,1
3057,39,1
724,200,2
2375,1096,1
3551,14,2
399,1132,1
4104,252,1
1010,1227,1
964,12438,1
367,46,2
197,941,1
6630,10483,1
897,11000,1
36,114,1
31,989,2
931,128,1
3336,3342,1
148,543,1
2995,35599,1
970,317,1
2503,720,4
599,447,4
698,618,1
5546,715,3
504,409,4
2598,697,5
15,1622,1
982,27475,1
1161,172,1
6574,8970,2
3205,20,2
133,200,3
7185,3173,1
3650,6414,1
865,157,1
503,170,3
1411,10483,1
417,1416,1
3687,2703,2
46,458,1
1108,281,1
260,44,1
19,506,2
350,36,1
697,276,2
3391,5219,1
2296,1826,1
1506,2832,3
897,762,3
5689,6676,1
4059,2776,1
52,82,2
2420,2424,4
1304,58,2
5543,506,1
4171,1387,2
1385,46,4
1039,1098,1
164,931,1
1075,2241,1
358,642,1
380,410,4
355,169,1
5743,868,2
2410,3182,1
157,38,1
2698,12054,1
5648,940,2
5862,130,9
327,12109,1
368,1005,1
358,3008,1
1039,984,2
29228,903,1
623,409,1
1082,1154,1
1467,141,1
7971,237,1
9261,172,1
10483,820,21
642,180,1
8024,982,1
800,2698,1
724,1268,4
3159,1433,2
410,5358,1
6478,2439,1
10139,2362,7
6414,2462,1
3368,6076,1
820,2049,1
4326,332,1
12,19,1
2425,25243,1
48726,16239,1
918,6078,1
585,338,1
18544,141,1
3176,169,1
3060,1091,3
9352,12,1
667,1423,1
234,3205,1
10690,8963,6
2969,349,1
714,2448,2
814,24,1
12372,10674,1
7975,649,1
845,36,2
266,503,1
14,124,2
252,5174,1
667,11300,1
610,317,2
979,10949,1
982,2125,1
11000,5358,1
660,130,1
383,2288,1
46854,999,1
11083,11194,4
8578,447,4
43,252,1
964,3723,2
10690,2740,3
2944,36,1
1087,7185,1
37276,3060,1
5544,7975,1
1436,720,1
57,42,1
610,468,3
2362,419,3
16,42,1
410,749,2
641,543,2
60,855,1
3205,143,1
5545,941,4
3349,1075,1
1180,2439,2
2477,20923,1
5026,3898,1
129,82,1
14,1322,2
3999,128,1
4795,66,1
2521,294,6
5295,58,1
6890,4574,1
430,1010,1
968,566,1
969,1162,2
2457,734,1
1104,1091,1
22046,2672,1
1050,681,1
3508,9010,2
1003,987,1
1304,18850,1
120,8841,1
703,23826,1
614,2410,2
447,327,1
10949,498,1
366,418,2
2420,6414,1
41,13726,1
142,368,1
1081,1161,1
1148,1032,1
133,26740,1
130,1429,3
368,606,1
234,631,1
1326,2282,1
10155,252,1
18,127,2
1435,18026,2
1434,47,1
3057,4603,1
472,714,1
1408,458,2
177,25,1
1162,164,1
3725,232,1
349,762,4
940,720,1
252,19,1
16795,16,1
820,1017,1
3903,62,1
10484,39722,1
4297,4294,1
42,3426,1
2374,776,1
5849,498,1
2778,1082,1
