source,target,weight
723,467,2
338,114,1
1091,433,1
9010,6304,1
467,36110,1
11688,820,2
8101,447,3
969,273,1
2944,19789,1
413,122,1
1091,1132,1
932,3725,1
1264,740,1
384,379,1
48,42,1
306,1426,1
409,155,1
11337,130,1
13,583,1
399,164,2
4057,10898,1
4159,506,2
1244,9597,1
28956,7977,2
4482,2227,1
892,2598,6
3202,141,1
631,11,1
332,410,2
447,660,2
2984,169,1
1123,1252,1
1237,281,1
15374,1038,1
1307,1390,1
715,964,1
38,169,1
1147,1084,1
14766,447,5
2703,8835,1
105,422,1
4163,276,1
2639,979,1
1387,6195,1
3060,169,1
982,82,1
1387,2671,1
2441,862,1
2420,631,1
583,1082,2
6087,918,1
6996,6249,1
12105,420,1
601,1175,1
6380,18955,1
21957,2672,1
1465,2424,1
45132,868,1
4083,46,1
985,244,1
192,3368,1
14694,1038,1
475,1073,1
3057,3789,1
990,31,1
15,42,1
4383,856,1
1291,589,1
142,16540,1
403,2282,1
1162,5086,1
1387,11961,1
456,327,5
985,1039,1
1038,677,1
10690,16247,1
3385,1091,3
197,941,2
897,237,1
683,35476,1
498,2861,1
1385,862,2
979,3345,1
3533,128,1
8101,6087,1
6678,1301,1
540,47,1
17133,11127,1
2402,553,1
8144,3336,1
40426,2696,1
34649,252,1
417,8816,1
121,2703,1
566,306,1
13299,450,1
26357,144,2
180,3698,1
458,3037,1
2977,1433,2
428,12,1
18026,468,1
28095,49702,1
4602,605,1
4074,931,2
9614,631,1
2448,1244,1
475,3508,1
669,5220,1
128,6418,1
54362,2662,1
982,3336,1
1269,1434,1
120,2293,1
13299,197,4
19789,39722,1
2436,1020,1
252,2239,1
7046,1085,1
141,6890,1
1025,408,3
8981,873,1
29228,2282,1
354,28643,1
2740,660,2
289,631,1
681,18075,1
6195,46,1
10695,6993,1
3709,3705,1
10,79,1
157,1201,1
868,126,2
12438,3691,1
697,10484,1
6200,1435,1
990,405,1
918,552,2
667,1416,1
46,398,1
46,1025,1
595,1423,3
12524,449,2
31983,485,1
86,170,1
2425,10789,1
7179,2421,1
995,11282,1
1506,3207,1
1210,9826,1
2696,3690,2
204,38445,1
16996,144,1
449,2750,1
235,724,2
449,2293,1
171,993,1
2441,531,1
1322,6483,1
306,2815,1
366,5648,2
430,6574,1
114,152,2
156,31,1
814,169,1
11194,12112,1
3368,430,1
2497,13,1
1210,14888,1
12302,339,2
366,1533,1
131,1108,1
206,24,2
1198,289,1
2726,4004,1
10625,39722,1
718,475,1
399,1032,1
22,31,2
1268,468,2
1085,22010,1
2796,180,1
44699,862,1
11493,19,1
2431,720,1
1132,72,1
1390,4159,1
430,26789,1
683,13,1
520,417,1
10690,2477,2
317,383,1
5411,327,1
589,1267,1
377,697,1
3729,2282,1
1387,410,2
172,3905,1
1031,358,2
3054,1071,1
9250,409,1
990,5219,1
