source,target,weight
681,621,2
826,583,1
244,2670,1
144,43305,1
2995,5220,1
599,419,3
714,6195,1
1134,3725,1
129,25,3
982,720,4
660,1038,1
990,164,1
800,6692,1
3820,1003,1
294,2457,1
720,2425,1
510,46,1
1421,3508,1
2557,4603,1
1070,3302,1
861,1390,1
1025,12,1
1244,621,4
3327,2995,3
13299,62,1
447,14766,1
2288,1237,3
367,993,2
3948,28643,1
29228,410,1
697,21719,1
3345,940,1
417,720,1
24,105,2
1075,4284,1
1160,683,1
332,398,3
3834,3609,1
583,12,1
6414,114,1
128,10408,1
142,3234,1
33,39,1
3714,1083,1
1020,2793,2
5544,13288,1
10920,1075,1
430,631,1
10690,8963,9
1081,66,1
1467,1264,2
410,10761,1
2745,2180,1
3489,641,1
202,610,2
8541,5546,3
6107,2662,1
2824,1090,1
5225,19215,1
6676,4602,1
252,2448,1
3610,172,1
122,163,1
1073,10473,1
4603,3392,1
1104,2331,1
430,1025,1
13,3,1
5107,447,5
503,413,5
1096,148,1
1083,121,1
1210,12,2
339,2740,2
4128,2227,1
10481,2700,1
833,868,2
4608,3060,1
169,895,1
503,37024,1
77,2671,1
2477,2742,2
798,22703,1
2300,7185,1
327,8047,1
2250,5,2
12861,10481,1
605,6320,1
8718,1085,1
991,1010,1
2433,3060,1
940,1049,3
479,1322,4
618,1290,1
618,1158,2
38479,800,1
995,405,2
14,503,5
903,512,1
142,150,1
6994,10690,4
506,2239,2
204,710,1
2420,294,3
3392,31501,1
245,11083,1
1041,1397,2
3999,5219,2
301,1506,1
4603,3999,2
1038,2331,1
3336,1465,1
2439,3243,1
10482,2700,3
10484,1506,1
180,2582,1
4553,398,3
10948,131,2
338,330,1
15273,2293,1
2703,3243,2
3891,1073,9
814,6377,6
7077,368,1
566,475,2
232,631,1
23052,6195,1
2814,148,1
2740,710,1
301,265,1
13,964,1
3739,3391,1
3371,1032,2
1080,1162,2
169,3060,2
9465,797,1
499,234,4
868,2944,7
20707,833,1
2573,2737,2
2420,10331,2
4128,6112,1
14,504,1
157,40426,1
3691,10690,1
384,192,2
197,660,1
17,403,1
37448,4603,2
2330,833,2
2737,1234,2
935,1096,1
398,1025,2
2463,833,2
4093,862,2
384,642,1
520,9668,1
2696,11127,1
8,132,1
192,132,1
2431,4750,3
252,46,4
715,11116,3
27,82,3
1085,2424,1
1416,5220,1
6676,7013,1
5615,2722,3
479,5546,1
1429,252,4
409,503,3
593,383,1
1038,6195,2
5227,336,2
3709,22219,1
1134,79,1
1041,1084,1
2721,862,1
738,750,2
2156,2227,1
642,468,2
3795,5545,2
12105,447,4
398,679,1
164,8054,1
128,3392,2
36,868,3
1119,85,1
7918,157,2
861,1049,2
3008,289,1
2976,2783,1
1397,750,3
221,524,2
130,4341,1
5268,6432,1
2441,2671,1
6992,6414,6
2250,46,7
354,9804,2
352,148,7
366,6767,1
164,33,1
1083,2374,3
697,197,9
1075,2432,1
2311,11116,1
603,1123,1
12,410,4
3714,2703,1
2330,6890,1
537,410,1
839,416,2
47,7074,1
599,327,1
1090,200,1
12063,5268,1
144,447,2
1096,3057,1
3207,2293,3
29228,11976,1
9,6676,1
1388,1274,1
114,825,2
1186,4128,3
317,18,2
2566,12266,4
3551,6107,1
114,141,3
126,86,1
367,11000,1
6992,4750,1
413,17444,1
4,111,1
130,430,1
4064,142,1
197,5546,5
10005,3325,2
5107,11278,1
306,3892,1
543,379,1
1411,6642,1
1047,5,3
416,130,3
354,1433,2
232,2698,2
17596,1269,1
2282,3083,1
1184,931,1
669,164,1
11609,170,2
24,447,1
293,24,1
273,2698,1
234,317,3
681,1020,1
1005,410,4
1385,506,4
2722,1025,2
720,419,1
896,82,1
800,4541,2
167,15,4
833,36,1
403,610,2
398,281,1
413,10131,1
16795,985,1
4603,128,2
984,148,1
1307,800,1
3709,1531,2
3729,8877,1
9681,1506,1
377,27442,1
496,130,1
12321,714,3
653,2454,1
405,1218,1
3057,475,4
506,252,2
6621,999,1
312,121,1
4053,13,1
2311,600,1
3396,5219,2
2431,336,4
1038,26722,1
21474,800,1
152,1134,1
845,126,2
2441,3277,1
4104,749,1
1162,750,1
1132,984,2
2079,3999,1
252,4171,1
10330,3325,1
5,585,1
2477,660,1
2783,683,1
467,973,1
232,2433,1
157,855,1
2374,2698,2
10301,683,1
1096,985,7
3345,982,1
13702,3709,1
1408,130,4
724,403,2
2598,1321,2
1237,281,1
19789,44664,1
972,405,1
362,306,1
9690,862,2
202,2926,1
800,430,3
2441,6676,1
1038,19,1
105,86,2
1083,2741,1
1210,46,6
1286,1049,1
4480,2444,1
4057,121,2
9007,2227,3
1049,631,2
6347,20,1
430,12,1
1253,130,1
1095,10868,1
19,1104,1
584,2944,1
409,122,1
3,52,2
3225,172,1
9439,506,2
132,9100,1
430,19,3
409,447,1
47,2296,1
2741,11127,1
316,6181,1
1033,1269,1
1301,720,5
1467,4260,2
122,121,1
27078,2292,1
4,1,2
430,398,2
3,1387,1
2288,631,1
738,31,1
3392,840,1
52,16,2
