source,target,num_players,total_amount,total_normalized_amount,num_young_players,num_middle_aged_players,num_old_players,total_amount_for_young_players,total_amount_for_middle_aged_players,total_amount_for_old_players,total_normalized_amount_for_young_players,total_normalized_amount_for_middle_aged_players,total_normalized_amount_for_old_players
65,33,1,0,0,0,0,1,0.0,0.0,0,0,0,0
148,41,5,0.28044,4.940637069272580334477240762,4,1,0,0.13224,0.1482,0.0,1.845398974034485096382002667,3.095238095238095238095238095,0
46,1005,3,0.0388,0.4391624221844934917940011319,3,0,0,0.0388,0.0,0.0,0.4391624221844934917940011319,0,0
80,17,1,0,0,0,1,0,0.0,0,0.0,0,0,0
714,281,3,0.0992,2.023663810689514483884128927,3,0,0,0.0992,0.0,0.0,2.023663810689514483884128927,0,0
16,630,1,0.0513,1.184210526315789473684210526,0,1,0,0.0,0.0513,0.0,0,1.184210526315789473684210526,0
20,1082,1,0,0,0,0,1,0.0,0.0,0,0,0,0
2251,1386,3,0,0,2,1,0,0,0,0.0,0,0,0
23826,430,1,0,0,1,0,0,0,0.0,0.0,0,0,0
415,583,5,0.114,1.315789473684210526315789474,4,1,0,0.114,0,0.0,1.315789473684210526315789474,0,0
82,941,2,0.00285,0.03059252898239587805925289824,0,2,0,0.0,0.00285,0.0,0,0.03059252898239587805925289824,0
134,3368,1,0.00399,0.09210526315789473684210526316,0,1,0,0.0,0.00399,0.0,0,0.09210526315789473684210526316,0
750,583,2,0.0969,0.9042553191489361702127659574,1,1,0,0.0969,0,0.0,0.9042553191489361702127659574,0,0
3165,347,2,0,0,2,0,0,0,0.0,0.0,0,0,0
4550,1627,1,0,0,1,0,0,0,0.0,0.0,0,0,0
416,4159,3,0,0,3,0,0,0,0.0,0.0,0,0,0
1290,9100,1,0,0,0,0,1,0.0,0.0,0,0,0,0
22,1194,1,0,0,1,0,0,0,0.0,0.0,0,0,0
410,6195,16,0.7581,9.681233972861371883468941999,6,9,1,0.2907,0.4674,0,2.846491228070175438596491228,6.834742744791196444872450771,0
3008,3684,1,0,0,1,0,0,0,0.0,0.0,0,0,0
350,1020,2,0,0,1,1,0,0,0,0.0,0,0,0
126,410,1,0.0251,0.2897045244690674053554939982,1,0,0,0.0251,0.0,0.0,0.2897045244690674053554939982,0,0
358,1032,7,0.0008,0.01169590643274853801169590643,1,2,4,0,0,0.0008,0,0,0.01169590643274853801169590643
1049,294,4,0,0,3,0,1,0,0.0,0,0,0,0
811,621,1,0,0,1,0,0,0,0.0,0.0,0,0,0
940,1049,11,0.2394,2.158526948000632211158526948,4,4,3,0.114,0.0912,0.0342,1.315789473684210526315789474,0.7076023391812865497076023391,0.1351351351351351351351351351
862,506,5,0.0798,1.866666666666666666666666667,4,1,0,0,0.0798,0.0,0,1.866666666666666666666666667,0
221,6195,3,0.057,0.4950495049504950495049504950,2,1,0,0.057,0,0.0,0.4950495049504950495049504950,0,0
410,1005,8,0.00171,0.03947368421052631578947368421,7,1,0,0.00171,0,0.0,0.03947368421052631578947368421,0,0
331,13,6,0.1967,4.148298095666516719148298096,3,3,0,0.1482,0.0485,0.0,3.421052631578947368421052632,0.7272454640875693507272454641,0
5551,430,1,0.0114,0.1223701159295835122370115930,1,0,0,0.0114,0.0,0.0,0.1223701159295835122370115930,0,0
332,130,7,0,0,4,3,0,0,0,0.0,0,0,0
472,368,4,0.03821,0.3353609021384387427466165296,1,2,1,0.0365,0.00171,0,0.3170053847490012159110647907,0.01835551738943752683555173894,0
39,254,2,0,0,1,0,1,0,0.0,0,0,0,0
398,4361,2,0,0,1,1,0,0,0,0.0,0,0,0
10118,1627,1,0,0,1,0,0,0,0.0,0.0,0,0,0
72,110,1,0,0,0,0,1,0.0,0.0,0,0,0,0
2,329,1,0,0,1,0,0,0,0.0,0.0,0,0,0
714,18487,1,0,0,0,0,1,0.0,0.0,0,0,0,0
533,2,4,0.00143,0.01979611190137505926979611190,3,1,0,0.00086,0.00057,0.0,0.008168204924630873223284483994,0.01162790697674418604651162791,0
35,10,1,0,0,0,1,0,0.0,0,0.0,0,0,0
417,1564,2,0,0,1,0,1,0,0.0,0,0,0,0
1041,124,2,0.0171,0.3418632546981207516993202719,2,0,0,0.0171,0.0,0.0,0.3418632546981207516993202719,0,0
142,985,2,0,0,2,0,0,0,0.0,0.0,0,0,0
1081,1158,5,0.0228,0.4761904761904761904761904762,3,2,0,0.0228,0,0.0,0.4761904761904761904761904762,0,0
33,3709,2,0.01938,0.1961338991041961338991041961,2,0,0,0.01938,0.0,0.0,0.1961338991041961338991041961,0,0
931,31,3,0.1055,2.084930274403958614484930275,1,2,0,0,0.1055,0.0,0,2.084930274403958614484930275,0
595,289,2,0,0,1,0,1,0,0.0,0,0,0,0
142,331,3,0,0,0,2,1,0.0,0,0,0,0,0
1038,130,16,0.1493,2.253601827003364646623176462,4,8,4,0.0513,0.0866,0.0114,1.071428571428571428571428571,1.083163354584694208150757793,0.09900990099009900990099009901
189,3302,2,0,0,0,2,0,0.0,0,0.0,0,0,0
1429,1387,5,0,0,1,2,2,0,0,0,0,0,0
1071,164,3,0.0465,0.9296281487405037984806077569,0,2,1,0.0,0.0465,0,0,0.9296281487405037984806077569,0
618,338,2,0,0,0,2,0,0.0,0,0.0,0,0,0
1041,1158,5,0.0285,0.3809523809523809523809523810,5,0,0,0.0285,0.0,0.0,0.3809523809523809523809523810,0,0
1110,355,2,0,0,2,0,0,0,0.0,0.0,0,0,0
294,355,2,0.00912,0.1860465116279069767441860465,1,1,0,0,0.00912,0.0,0,0.1860465116279069767441860465,0
273,738,9,0,0,7,1,1,0,0,0,0,0,0
18,24,6,0.01596,0.3333333333333333333333333333,3,1,2,0.01026,0.0057,0,0.2142857142857142857142857143,0.1190476190476190476190476190,0
1627,4102,3,0.00228,0.01980198019801980198019801980,1,1,1,0.00228,0,0,0.01980198019801980198019801980,0,0
1081,273,4,0,0,4,0,0,0,0.0,0.0,0,0,0
603,379,4,0.0456,1.052631578947368421052631579,2,2,0,0.0228,0.0228,0.0,0.5263157894736842105263157895,0.5263157894736842105263157895,0
416,800,5,0,0,1,2,2,0,0,0,0,0,0
79,3368,1,0.00684,0.02702702702702702702702702703,0,1,0,0.0,0.00684,0.0,0,0.02702702702702702702702702703,0
506,2687,2,0,0,1,1,0,0,0,0.0,0,0,0
1301,897,1,0,0,1,0,0,0,0.0,0.0,0,0,0
9829,1132,1,0,0,1,0,0,0,0.0,0.0,0,0,0
583,36,2,0,0,0,1,1,0.0,0,0,0,0,0
984,1003,4,0.0596,0.5886939571150097465886939571,2,1,1,0.014,0,0.0456,0.2923976608187134502923976608,0,0.2962962962962962962962962963
2577,358,1,0,0,1,0,0,0,0.0,0.0,0,0,0
5,1390,6,0.08331,1.770131417896025252850608774,5,0,1,0.0832,0.0,0.00011,1.767592175052073267624385321,0,0.002539242843951985226223453370
4083,332,3,0,0,2,1,0,0,0,0.0,0,0,0
129,25,4,0.00462,0.05229202037351443123938879456,3,1,0,0.00462,0,0.0,0.05229202037351443123938879456,0,0
130,27568,7,0,0,5,1,1,0,0,0,0,0,0
5,416,10,0.17672,1.485313459557299353082386258,6,2,2,0.1733,0.00342,0,1.416940808617675202742522204,0.06837265093962415033986405438,0
