source,target,num_players,total_amount,total_normalized_amount,num_young_players,num_middle_aged_players,num_old_players,total_amount_for_young_players,total_amount_for_middle_aged_players,total_amount_for_old_players,total_normalized_amount_for_young_players,total_normalized_amount_for_middle_aged_players,total_normalized_amount_for_old_players
15,81,1,0,0,1,0,0,0,0.0,0.0,0,0,0
148,41,1,0.00114,0.02631578947368421052631578947,1,0,0,0.00114,0.0,0.0,0.02631578947368421052631578947,0,0
366,131,1,0,0,1,0,0,0,0.0,0.0,0,0,0
46,1005,2,0,0,2,0,0,0,0.0,0.0,0,0,0
289,543,1,0,0,0,1,0,0.0,0,0.0,0,0,0
130,3522,2,0,0,1,1,0,0,0,0.0,0,0,0
368,2296,1,0,0,0,1,0,0.0,0,0.0,0,0,0
408,1386,1,0,0,1,0,0,0,0.0,0.0,0,0,0
862,2722,2,0,0,2,0,0,0,0.0,0.0,0,0,0
289,2577,3,0,0,3,0,0,0,0.0,0.0,0,0,0
512,349,2,0,0,2,0,0,0,0.0,0.0,0,0,0
1038,19,1,0,0,0,1,0,0.0,0,0.0,0,0,0
398,4172,2,0,0,2,0,0,0,0.0,0.0,0,0,0
8652,800,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1132,1150,1,0,0,1,0,0,0,0.0,0.0,0,0,0
683,2296,1,0,0,0,1,0,0.0,0,0.0,0,0,0
281,1003,3,0,0,3,0,0,0,0.0,0.0,0,0,0
410,4111,1,0,0,1,0,0,0,0.0,0.0,0,0,0
720,6195,1,0.0114,0.2380952380952380952380952381,0,1,0,0.0,0.0114,0.0,0,0.2380952380952380952380952381,0
337,1123,1,0,0,0,1,0,0.0,0,0.0,0,0,0
762,1042,2,0,0,2,0,0,0,0.0,0.0,0,0,0
337,1060,1,0,0,0,0,1,0.0,0.0,0,0,0,0
31,1132,1,0,0,1,0,0,0,0.0,0.0,0,0,0
130,4333,5,0,0,3,2,0,0,0,0.0,0,0,0
379,703,1,0,0,1,0,0,0,0.0,0.0,0,0,0
985,1096,7,0,0,7,0,0,0,0.0,0.0,0,0,0
506,1408,1,0,0,1,0,0,0,0.0,0.0,0,0,0
27,506,1,0.0342,0.2857142857142857142857142857,0,1,0,0.0,0.0342,0.0,0,0.2857142857142857142857142857,0
171,237,1,0,0,0,1,0,0.0,0,0.0,0,0,0
416,4159,2,0,0,2,0,0,0,0.0,0.0,0,0,0
148,410,1,0,0,1,0,0,0,0.0,0.0,0,0,0
130,2921,5,0,0,0,4,1,0.0,0,0,0,0,0
2288,3716,2,0,0,1,1,0,0,0,0.0,0,0,0
46,2581,2,0,0,2,0,0,0,0.0,0.0,0,0,0
1104,4558,1,0,0,1,0,0,0,0.0,0.0,0,0,0
358,6297,1,0,0,0,1,0,0.0,0,0.0,0,0,0
1387,22041,2,0,0,2,0,0,0,0.0,0.0,0,0,0
537,2251,1,0,0,1,0,0,0,0.0,0.0,0,0,0
677,1039,1,0,0,1,0,0,0,0.0,0.0,0,0,0
6248,150,1,0.002,0.03998400639744102359056377449,1,0,0,0.002,0.0,0.0,0.03998400639744102359056377449,0,0
46,4084,2,0,0,2,0,0,0,0.0,0.0,0,0,0
506,5615,1,0,0,1,0,0,0,0.0,0.0,0,0,0
148,703,1,0,0,1,0,0,0,0.0,0.0,0,0,0
969,4361,1,0,0,1,0,0,0,0.0,0.0,0,0,0
