source,target,num_players,total_amount,total_normalized_amount,num_young_players,num_middle_aged_players,num_old_players,total_amount_for_young_players,total_amount_for_middle_aged_players,total_amount_for_old_players,total_normalized_amount_for_young_players,total_normalized_amount_for_middle_aged_players,total_normalized_amount_for_old_players
583,336,1,0,0,0,1,0,0.0,0,0.0,0,0,0
150,1108,3,0,0,1,0,2,0,0.0,0,0,0,0
273,289,1,0,0,0,1,0,0.0,0,0.0,0,0,0
398,800,1,0,0,0,0,1,0.0,0.0,0,0,0,0
862,4172,2,0,0,1,1,0,0,0,0.0,0,0,0
826,1175,2,0,0,2,0,0,0,0.0,0.0,0,0,0
533,2,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1027,22,1,0,0,0,0,1,0.0,0.0,0,0,0,0
14893,12,1,0.00285,0.03289473684210526315789473684,1,0,0,0.00285,0.0,0.0,0.03289473684210526315789473684,0,0
1082,339,1,0,0,1,0,0,0,0.0,0.0,0,0,0
368,171,1,0,0,0,1,0,0.0,0,0.0,0,0,0
379,1181,2,0,0,2,0,0,0,0.0,0.0,0,0,0
1025,4078,3,0,0,1,1,1,0,0,0,0,0,0
244,141,1,0,0,0,0,1,0.0,0.0,0,0,0,0
294,355,2,0.00912,0.1860465116279069767441860465,1,1,0,0,0.00912,0.0,0,0.1860465116279069767441860465,0
985,873,2,0,0,2,0,0,0,0.0,0.0,0,0,0
1022,237,1,0,0,1,0,0,0,0.0,0.0,0,0,0
289,641,1,0,0,0,1,0,0.0,0,0.0,0,0,0
410,10155,1,0,0,1,0,0,0,0.0,0.0,0,0,0
167,38,4,0.00114,0.009900990099009900990099009901,0,4,0,0.0,0.00114,0.0,0,0.009900990099009900990099009901,0
1082,172,2,0,0,2,0,0,0,0.0,0.0,0,0,0
86,39,1,0.00228,0.05263157894736842105263157895,1,0,0,0.00228,0.0,0.0,0.05263157894736842105263157895,0,0
985,130,1,0,0,1,0,0,0,0.0,0.0,0,0,0
80,2,2,0,0,1,1,0,0,0,0.0,0,0,0
1627,6574,2,0,0,2,0,0,0,0.0,0.0,0,0,0
458,1385,1,0,0,1,0,0,0,0.0,0.0,0,0,0
410,252,1,0.0171,0.2564102564102564102564102564,0,1,0,0.0,0.0171,0.0,0,0.2564102564102564102564102564,0
130,26722,7,0,0,7,0,0,0,0.0,0.0,0,0,0
2867,142,1,0,0,0,1,0,0.0,0,0.0,0,0,0
15,66,1,0.00171,0.0250,1,0,0,0.00171,0.0,0.0,0.0250,0,0
862,3037,6,0,0,3,3,0,0,0,0.0,0,0,0
130,4326,9,0,0,6,3,0,0,0,0.0,0,0,0
506,4031,2,0,0,2,0,0,0,0.0,0.0,0,0,0
472,13243,1,0,0,0,1,0,0.0,0,0.0,0,0,0
506,800,2,0.00137,0.01470588235294117647058823529,2,0,0,0.00137,0.0,0.0,0.01470588235294117647058823529,0,0
1158,1416,1,0,0,0,1,0,0.0,0,0.0,0,0,0
148,931,1,0,0,1,0,0,0,0.0,0.0,0,0,0
631,2420,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1039,3684,2,0,0,1,0,1,0,0.0,0,0,0,0
1108,11083,2,0,0,2,0,0,0,0.0,0.0,0,0,0
367,993,1,0,0,0,1,0,0.0,0,0.0,0,0,0
506,1388,1,0,0,1,0,0,0,0.0,0.0,0,0,0
46,367,1,0,0,1,0,0,0,0.0,0.0,0,0,0
3008,399,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1387,3522,1,0,0,0,0,1,0.0,0.0,0,0,0,0
1390,36137,1,0,0,1,0,0,0,0.0,0.0,0,0,0
506,1103,1,0,0,0,1,0,0.0,0,0.0,0,0,0
1039,6699,1,0,0,0,1,0,0.0,0,0.0,0,0,0
1050,3008,1,0,0,1,0,0,0,0.0,0.0,0,0,0
12,2921,3,0,0,3,0,0,0,0.0,0.0,0,0,0
855,2580,1,0,0,1,0,0,0,0.0,0.0,0,0,0
418,2448,1,0,0,1,0,0,0,0.0,0.0,0,0,0
121,38,1,0.0057,0.1190476190476190476190476190,0,0,1,0.0,0.0,0.0057,0,0,0.1190476190476190476190476190
252,1429,5,0.00114,0.02380952380952380952380952381,3,2,0,0.00114,0,0.0,0.02380952380952380952380952381,0,0
3709,2448,3,0,0,1,2,0,0,0,0.0,0,0,0
506,1387,2,0,0,2,0,0,0,0.0,0.0,0,0,0
31,368,1,0,0,0,1,0,0.0,0,0.0,0,0,0
398,1387,2,0,0,1,1,0,0,0,0.0,0,0,0
12,148,1,0.0228,0.5194805194805194805194805195,1,0,0,0.0228,0.0,0.0,0.5194805194805194805194805195,0,0
506,130,2,0.0114,0.1709401709401709401709401709,1,0,1,0.0114,0.0,0,0.1709401709401709401709401709,0,0
12321,3612,1,0,0,0,0,1,0.0,0.0,0,0,0,0
533,27288,1,0,0,1,0,0,0,0.0,0.0,0,0,0
40,237,1,0,0,0,1,0,0.0,0,0.0,0,0,0
1237,3948,1,0,0,1,0,0,0,0.0,0.0,0,0,0
131,430,3,0.0057,0.04761904761904761904761904762,2,1,0,0,0.0057,0.0,0,0.04761904761904761904761904762,0
667,1175,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1408,4330,1,0,0,1,0,0,0,0.0,0.0,0,0,0
358,2577,1,0,0,1,0,0,0,0.0,0.0,0,0,0
42,938,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1390,5587,1,0,0,1,0,0,0,0.0,0.0,0,0,0
289,5,1,0.0057,0.02252252252252252252252252252,0,1,0,0.0,0.0057,0.0,0,0.02252252252252252252252252252,0
86,38,2,0.00342,0.03191489361702127659574468085,2,0,0,0.00342,0.0,0.0,0.03191489361702127659574468085,0,0
995,161,2,0.00342,0.080,0,1,1,0.0,0,0.00342,0,0,0.080
16795,472,1,0,0,1,0,0,0,0.0,0.0,0,0,0
4083,22045,1,0,0,0,0,1,0.0,0.0,0,0,0,0
1108,750,3,0,0,3,0,0,0,0.0,0.0,0,0,0
995,22381,1,0,0,0,1,0,0.0,0,0.0,0,0,0
289,903,1,0,0,1,0,0,0,0.0,0.0,0,0,0
355,1132,1,0,0,1,0,0,0,0.0,0.0,0,0,0
46,714,3,0,0,2,1,0,0,0,0.0,0,0,0
862,5514,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1444,347,1,0,0,1,0,0,0,0.0,0.0,0,0,0
2288,337,1,0,0,0,1,0,0.0,0,0.0,0,0,0
2969,9902,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1010,2352,1,0,0,1,0,0,0,0.0,0.0,0,0,0
281,897,1,0,0,1,0,0,0,0.0,0.0,0,0,0
618,472,1,0,0,1,0,0,0,0.0,0.0,0,0,0
60,6450,1,0,0,0,1,0,0.0,0,0.0,0,0,0
42,14,1,0,0,1,0,0,0,0.0,0.0,0,0,0
15,79,1,0.00855,0.09868421052631578947368421053,0,1,0,0.0,0.00855,0.0,0,0.09868421052631578947368421053,0
3368,2457,1,0,0,0,1,0,0.0,0,0.0,0,0,0
33,65,2,0.00399,0.07368082368082368082368082368,1,0,1,0.00057,0.0,0.00342,0.002252252252252252252252252252,0,0.07142857142857142857142857143
750,3524,2,0,0,2,0,0,0,0.0,0.0,0,0,0
29,466,1,0,0,0,0,1,0.0,0.0,0,0,0,0
931,3892,1,0,0,1,0,0,0,0.0,0.0,0,0,0
416,862,2,0,0,1,1,0,0,0,0.0,0,0,0
583,2921,1,0,0,1,0,0,0,0.0,0.0,0,0,0
13,150,1,0.0182,0.1580684384227896473857912107,1,0,0,0.0182,0.0,0.0,0.1580684384227896473857912107,0,0
699,985,1,0,0,0,0,1,0.0,0.0,0,0,0,0
252,19164,1,0,0,1,0,0,0,0.0,0.0,0,0,0
410,1010,6,0,0,4,1,1,0,0,0,0,0,0
252,1408,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1390,1210,1,0,0,0,1,0,0.0,0,0.0,0,0,0
12,4084,1,0,0,1,0,0,0,0.0,0.0,0,0,0
897,1531,3,0,0,2,0,1,0,0.0,0,0,0,0
46,130,2,0,0,1,0,1,0,0.0,0,0,0,0
618,14171,1,0,0,1,0,0,0,0.0,0.0,0,0,0
855,618,1,0,0,0,1,0,0.0,0,0.0,0,0,0
405,3054,1,0,0,1,0,0,0,0.0,0.0,0,0,0
44,79,1,0.00456,0.02962962962962962962962962963,0,1,0,0.0,0.00456,0.0,0,0.02962962962962962962962962963,0
332,10348,1,0,0,1,0,0,0,0.0,0.0,0,0,0
27,46,1,0,0,1,0,0,0,0.0,0.0,0,0,0
3709,4561,1,0,0,0,1,0,0.0,0,0.0,0,0,0
148,36,2,0.0285,0.1126126126126126126126126126,1,1,0,0.0285,0,0.0,0.1126126126126126126126126126,0,0
681,294,1,0,0,0,1,0,0.0,0,0.0,0,0,0
410,16795,12,0,0,8,4,0,0,0,0.0,0,0,0
12321,331,1,0,0,1,0,0,0,0.0,0.0,0,0,0
130,4084,1,0,0,1,0,0,0,0.0,0.0,0,0,0
543,988,1,0,0,1,0,0,0,0.0,0.0,0,0,0
506,276,3,0,0,3,0,0,0,0.0,0.0,0,0,0
281,150,1,0.0171,0.3571428571428571428571428571,0,0,1,0.0,0.0,0.0171,0,0,0.3571428571428571428571428571
897,630,3,0,0,1,2,0,0,0,0.0,0,0,0
130,24898,3,0,0,3,0,0,0,0.0,0.0,0,0,0
506,16672,1,0,0,1,0,0,0,0.0,0.0,0,0,0
46,294,2,0.02168,0.1231672308783691892627021146,1,1,0,0.0194,0.00228,0.0,0.07665560297139244507665560297,0.04651162790697674418604651163,0
