source,target,num_players,total_amount,total_normalized_amount,num_young_players,num_middle_aged_players,num_old_players,total_amount_for_young_players,total_amount_for_middle_aged_players,total_amount_for_old_players,total_normalized_amount_for_young_players,total_normalized_amount_for_middle_aged_players,total_normalized_amount_for_old_players
366,6676,1,0,0,0,1,0,0.0,0,0.0,0,0,0
16795,3368,1,0.00114,0.009523809523809523809523809524,0,1,0,0.0,0.00114,0.0,0,0.009523809523809523809523809524,0
416,408,2,0,0,2,0,0,0,0.0,0.0,0,0,0
358,11143,1,0,0,1,0,0,0,0.0,0.0,0,0,0
506,649,1,0,0,1,0,0,0,0.0,0.0,0,0,0
27518,1210,1,0,0,1,0,0,0,0.0,0.0,0,0,0
417,1175,1,0,0,1,0,0,0,0.0,0.0,0,0,0
749,430,1,0,0,0,1,0,0.0,0,0.0,0,0,0
800,5514,1,0,0,1,0,0,0,0.0,0.0,0,0,0
416,2722,2,0,0,2,0,0,0,0.0,0.0,0,0,0
931,1042,2,0,0,2,0,0,0,0.0,0.0,0,0,0
12,33734,1,0,0,1,0,0,0,0.0,0.0,0,0,0
22,677,1,0,0,0,1,0,0.0,0,0.0,0,0,0
252,56966,1,0,0,1,0,0,0,0.0,0.0,0,0,0
40,1160,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1071,3688,1,0,0,1,0,0,0,0.0,0.0,0,0,0
12,19164,1,0,0,1,0,0,0,0.0,0.0,0,0,0
416,38290,1,0,0,1,0,0,0,0.0,0.0,0,0,0
11,1032,2,0,0,1,1,0,0,0,0.0,0,0,0
281,1191,1,0,0,1,0,0,0,0.0,0.0,0,0,0
130,24898,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1049,367,1,0,0,0,1,0,0.0,0,0.0,0,0,0
931,180,1,0,0,0,0,1,0.0,0.0,0,0,0,0
714,7077,1,0,0,1,0,0,0,0.0,0.0,0,0,0
430,458,1,0,0,0,1,0,0.0,0,0.0,0,0,0
5,2919,2,0,0,2,0,0,0,0.0,0.0,0,0,0
82,91,1,0.00057,0.004761904761904761904761904762,1,0,0,0.00057,0.0,0.0,0.004761904761904761904761904762,0,0
800,4159,2,0,0,2,0,0,0,0.0,0.0,0,0,0
506,4102,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1005,4330,1,0,0,1,0,0,0,0.0,0.0,0,0,0
749,4172,1,0,0,0,1,0,0.0,0,0.0,0,0,0
19,1429,1,0,0,1,0,0,0,0.0,0.0,0,0,0
621,366,1,0,0,1,0,0,0,0.0,0.0,0,0,0
583,1050,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1095,2067,1,0,0,1,0,0,0,0.0,0.0,0,0,0
5,3368,1,0,0,0,0,1,0.0,0.0,0,0,0,0
800,4553,1,0,0,1,0,0,0,0.0,0.0,0,0,0
130,4326,3,0,0,3,0,0,0,0.0,0.0,0,0,0
1159,855,1,0,0,0,1,0,0.0,0,0.0,0,0,0
148,3684,2,0,0,2,0,0,0,0.0,0.0,0,0,0
131,648,1,0,0,0,1,0,0.0,0,0.0,0,0,0
1005,4515,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1132,1252,1,0,0,0,1,0,0.0,0,0.0,0,0,0
1049,134,1,0.0057,0.05319148936170212765957446809,1,0,0,0.0057,0.0,0.0,0.05319148936170212765957446809,0,0
11,379,2,0,0,0,1,1,0.0,0,0,0,0,0
31,3697,1,0,0,1,0,0,0,0.0,0.0,0,0,0
46,22045,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1039,3867,1,0,0,1,0,0,0,0.0,0.0,0,0,0
130,6574,1,0,0,1,0,0,0,0.0,0.0,0,0,0
11,1028,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1050,1531,1,0,0,1,0,0,0,0.0,0.0,0,0,0
458,4331,1,0,0,1,0,0,0,0.0,0.0,0,0,0
130,1387,1,0,0,0,0,1,0.0,0.0,0,0,0,0
1038,1047,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1110,3694,1,0,0,1,0,0,0,0.0,0.0,0,0,0
5,641,1,0,0,0,0,1,0.0,0.0,0,0,0,0
