source,target,num_players,total_amount,total_normalized_amount,num_young_players,num_middle_aged_players,num_old_players,total_amount_for_young_players,total_amount_for_middle_aged_players,total_amount_for_old_players,total_normalized_amount_for_young_players,total_normalized_amount_for_middle_aged_players,total_normalized_amount_for_old_players
1038,1408,2,0,0,1,0,1,0,0.0,0,0,0,0
762,1302,1,0,0,1,0,0,0,0.0,0.0,0,0,0
873,1302,1,0,0,1,0,0,0,0.0,0.0,0,0,0
800,1415,2,0,0,2,0,0,0,0.0,0.0,0,0,0
130,4097,2,0,0,2,0,0,0,0.0,0.0,0,0,0
148,1039,4,0,0,4,0,0,0,0.0,0.0,0,0,0
418,237,1,0,0,1,0,0,0,0.0,0.0,0,0,0
244,2968,2,0,0,2,0,0,0,0.0,0.0,0,0,0
5,4146,1,0,0,0,1,0,0.0,0,0.0,0,0,0
336,417,1,0,0,1,0,0,0,0.0,0.0,0,0,0
506,1408,3,0,0,2,1,0,0,0,0.0,0,0,0
130,4104,3,0,0,3,0,0,0,0.0,0.0,0,0,0
1025,800,1,0,0,0,1,0,0.0,0,0.0,0,0,0
430,4031,1,0,0,1,0,0,0,0.0,0.0,0,0,0
82,941,1,0.00285,0.03059252898239587805925289824,0,1,0,0.0,0.00285,0.0,0,0.03059252898239587805925289824,0
379,1039,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1164,2257,1,0,0,1,0,0,0,0.0,0.0,0,0,0
282,15,1,0,0,1,0,0,0,0.0,0.0,0,0,0
273,265,1,0,0,0,1,0,0.0,0,0.0,0,0,0
244,1176,1,0,0,0,1,0,0.0,0,0.0,0,0,0
995,244,1,0,0,1,0,0,0,0.0,0.0,0,0,0
148,1082,1,0,0,0,1,0,0.0,0,0.0,0,0,0
416,800,1,0,0,0,1,0,0.0,0,0.0,0,0,0
3008,3684,1,0,0,1,0,0,0,0.0,0.0,0,0,0
2425,1049,1,0,0,1,0,0,0,0.0,0.0,0,0,0
5,2331,2,0,0,1,1,0,0,0,0.0,0,0,0
