source,target,weight
65,33,1
148,41,5
46,1005,3
80,17,1
714,281,3
16,630,1
20,1082,1
2251,1386,3
23826,430,1
415,583,5
82,941,2
134,3368,1
750,583,2
3165,347,2
4550,1627,1
416,4159,3
1290,9100,1
22,1194,1
410,6195,16
3008,3684,1
350,1020,2
126,410,1
358,1032,7
1049,294,4
811,621,1
940,1049,11
862,506,5
221,6195,3
410,1005,8
331,13,6
5551,430,1
332,130,7
472,368,4
39,254,2
398,4361,2
10118,1627,1
72,110,1
2,329,1
714,18487,1
533,2,4
35,10,1
417,1564,2
1041,124,2
142,985,2
1081,1158,5
33,3709,2
931,31,3
595,289,2
142,331,3
1038,130,16
189,3302,2
1429,1387,5
1071,164,3
618,338,2
1041,1158,5
1110,355,2
294,355,2
273,738,9
18,24,6
1627,4102,3
1081,273,4
603,379,4
416,800,5
79,3368,1
506,2687,2
1301,897,1
9829,1132,1
583,36,2
984,1003,4
2577,358,1
5,1390,6
4083,332,3
129,25,4
130,27568,7
5,416,10
130,1038,16
11273,2969,2
2441,252,2
12,839,11
452,3008,2
237,368,4
714,583,3
641,677,2
2,499,1
1429,19109,1
180,1148,3
862,800,9
839,862,4
583,1050,1
4078,1025,5
738,1377,2
80,2,5
430,173,1
826,1416,3
1060,405,1
1386,46,7
2969,1423,2
290,1049,1
4,60,6
826,2580,6
568,410,1
131,648,2
410,252,10
1429,1038,9
2455,1003,1
380,46,3
252,13562,7
2921,12,15
1083,1421,1
1386,6195,10
6894,5,1
749,380,2
22203,1005,1
1041,290,4
379,1039,11
167,38,6
27,16,4
1158,1416,1
148,931,6
430,4361,2
631,2420,2
1039,3684,4
1533,16795,2
355,3008,8
142,3302,4
610,1108,3
1005,800,8
2581,430,3
1132,405,4
1047,5,5
26789,46,4
430,4554,2
1038,4031,2
2,826,1
641,22,5
31,1020,5
15,4,8
1071,1020,4
131,1532,2
2296,681,4
46,32405,1
110,39,1
984,873,3
41,89,1
512,2455,6
190,18,2
1082,6195,1
80,89,1
630,12588,1
82,15,4
1533,1084,2
984,338,1
377,750,1
641,1110,1
127,16,3
276,3522,9
1290,1147,1
995,1423,6
289,543,9
800,10670,2
800,4941,1
448,252,2
398,380,32
418,31,3
150,993,7
3010,12321,1
337,855,1
46,1210,11
510,1210,1
1025,800,12
35,41,5
583,417,4
2963,337,2
1028,512,2
472,897,5
800,1429,24
1210,2250,2
5543,862,2
2687,16795,18
46,2250,12
379,1071,5
991,180,3
42,897,5
1047,1387,2
3037,506,5
1038,43388,1
1029,180,1
30,41,3
2855,367,1
1045,11,2
29831,1423,1
506,1387,19
80,167,5
368,2944,1
79,31,1
150,40,1
4150,5,1
39,9265,1
22,987,1
46,1038,15
1095,667,3
873,289,3
6195,4093,2
1072,148,4
2448,940,5
368,18,1
4542,366,1
1390,4271,7
4361,1387,3
1049,3709,14
1164,3524,3
124,180,4
4284,931,1
3709,2448,5
1038,4146,2
289,2698,1
631,1148,4
2655,430,4
4,167,7
679,1164,1
8304,458,2
862,34347,2
767,127,1
3709,1049,10
12,148,5
5862,130,31
7971,5648,4
1108,5,4
3558,1082,1
416,1627,5
430,749,15
294,3709,1
5648,621,1
16795,1159,2
1237,3948,1
26789,430,3
533,27288,1
347,667,4
1253,749,6
130,458,15
367,11596,2
2793,931,2
862,1038,9
3054,543,1
2296,150,3
1159,1162,2
510,46,2
398,2331,5
26789,276,5
1408,332,3
289,5,2
5,4718,3
2921,252,6
631,512,4
631,383,6
861,1005,1
16658,398,1
862,252,17
86,18,2
1095,347,5
276,130,11
368,506,4
337,990,6
932,337,1
1159,5138,1
12,11,1
839,1387,3
130,398,6
148,1020,12
506,1435,1
641,2454,2
16795,472,4
142,398,4
543,337,1
1385,1386,3
24,269,2
130,800,10
3709,17425,1
4554,6195,2
4083,22045,1
458,252,15
1084,583,2
16,1123,1
995,1161,1
995,22381,2
1050,1244,1
289,903,3
1038,4083,8
1270,1027,1
6981,22,1
60,86,2
355,1132,5
416,4255,2
862,5514,3
458,1134,1
6692,252,7
1010,991,2
583,1081,3
1023,42,1
641,603,3
931,379,5
1220,289,3
281,897,2
1025,4078,9
1003,1071,4
1386,336,1
18642,430,3
506,903,1
641,43,1
4750,1390,1
42,14,5
989,14837,1
800,405,1
3135,40,1
3595,350,1
866,897,2
162,1147,7
12,11961,1
750,3524,4
5163,332,2
82,167,9
506,2969,1
800,4361,8
4084,12,1
1390,1025,7
1408,408,1
995,1080,3
252,19164,4
398,17250,1
39,365,1
86,28,1
6195,1387,10
9708,990,2
410,1010,34
416,607,3
4083,6574,5
430,2407,2
583,368,2
430,1390,5
1070,1627,1
46,9875,1
130,8970,10
19,4558,1
11,984,5
7077,3709,1
16083,3368,1
4172,1390,3
749,27520,1
1390,1210,1
33,35,4
1286,1005,1
1025,4255,1
897,1531,9
13504,130,1
4326,130,31
46,4172,5
1159,762,1
405,989,6
873,3684,1
1005,458,7
512,349,8
1005,1307,1
273,8877,1
405,3054,1
44,79,7
332,10348,1
3709,4561,1
6195,1386,9
1047,458,2
2448,4032,1
1220,762,5
3302,3368,6
2921,458,6
681,294,1
27,41,5
1039,368,2
2288,370,1
862,902,2
14888,1025,2
148,18,3
2619,2448,1
714,5,3
1627,10643,4
1775,618,2
524,897,1
410,750,2
1416,595,1
3709,6767,3
130,1415,6
749,410,15
164,337,6
1050,1061,2
416,130,10
2969,1158,8
410,27525,1
398,1253,1
984,337,9
25580,762,1
282,631,3
336,13,2
410,1386,8
399,749,1
631,641,13
10004,2969,1
16,29,2
897,630,10
1390,1436,1
31,409,2
1237,2288,1
405,2575,1
458,4718,1
969,82,1
338,984,2
276,1005,4
2288,972,5
5621,1038,1
5,1005,10
4171,150,1
82,533,4
931,12,3
699,410,1
293,39,4
2919,1429,3
995,1064,1
273,9250,1
1253,1386,2
337,289,5
12,8077,3
681,1108,3
1038,62,1
7042,1071,1
1095,1041,1
862,2239,16
252,1025,12
3850,19,1
2921,130,9
5582,839,1
1390,10031,2
631,86,4
931,1032,6
897,648,5
4102,4255,1
16795,2687,21
15002,3302,1
11,131,9
190,1110,1
1387,10642,1
347,379,3
31,984,5
3684,873,1
415,678,1
42,2374,1
862,301,2
6574,416,2
347,271,1
940,2464,1
10643,1025,4
1038,35165,1
418,5,7
641,189,1
237,3239,2
1025,4102,5
6574,1387,4
4074,1123,1
289,355,3
29,368,1
2251,410,5
1106,3709,1
265,506,1
800,2239,7
6692,1210,1
720,1041,2
39,2531,2
2288,29,2
6195,294,1
1286,714,1
631,11282,1
40,199,1
1386,1390,4
3,266,1
2655,46,10
897,762,5
86,631,4
15,65,7
31,1108,1
11,358,6
399,641,5
371,180,5
237,1532,4
11,596,1
1429,46,7
7042,24,1
11,22,3
12321,281,8
237,294,1
410,800,9
162,618,6
349,1132,2
985,762,6
6195,2331,7
1050,13,9
4255,1025,3
6603,1084,1
2577,641,2
12,416,13
1038,3522,4
1005,410,7
5,408,6
630,648,2
347,10838,3
12321,714,6
15466,985,1
6692,1038,4
762,1241,4
510,506,2
2581,332,1
533,60,5
1461,27,1
2394,533,2
1073,11,7
931,180,4
2919,862,7
1158,289,2
1003,931,4
6195,1104,3
379,2804,2
506,79,4
985,22,5
11,1020,5
506,5,8
1010,370,1
244,667,6
148,2814,6
475,631,2
749,19,5
1071,1035,3
1047,1385,6
12,10348,3
46,62,3
379,603,2
1148,29,3
148,18916,1
1390,2655,2
41,24,6
336,2867,2
16795,720,3
12,9352,3
683,162,4
683,337,1
749,2722,5
358,1237,3
512,22,6
1025,51857,1
419,6195,2
4172,1038,5
1386,410,6
1084,16795,6
398,4331,4
2441,24,1
5370,39,1
1071,1039,2
209,276,1
46,2331,6
641,1089,10
985,990,5
3368,621,1
762,164,5
1032,3537,2
244,656,1
5585,252,1
5,232,2
16795,630,5
720,984,2
2721,800,3
2239,130,7
148,350,2
13,656,1
15374,506,1
1027,985,2
7714,273,1
506,410,9
27,1061,1
1039,2578,2
5174,1005,1
472,366,4
714,631,1
506,607,4
22,31,5
1096,1010,1
12,23052,2
989,972,4
355,990,4
27525,2921,1
543,1195,4
294,897,8
667,1158,7
533,86,2
379,2455,1
621,2502,2
141,42,1
506,46,5
252,2331,3
379,873,8
989,180,6
873,631,6
1003,405,4
5,3037,7
1031,1020,4
33,121,1
281,371,8
38290,252,2
458,4330,3
42,336,1
472,449,1
252,1388,3
3601,595,1
252,1429,15
7207,862,3
31,1158,2
1123,148,5
252,5585,1
1387,252,17
3368,150,6
410,4083,2
332,12,13
46,4554,7
1003,985,4
641,29,4
1032,1148,4
6195,380,2
862,4271,9
415,1095,3
380,416,1
855,583,2
839,800,13
1627,800,5
4772,244,1
989,2814,2
34559,1244,1
2036,79,1
1090,1237,1
1210,3522,1
25804,11,1
367,3709,6
1132,281,3
1038,1429,9
4078,1082,1
167,44,3
5,45604,2
415,162,5
3037,862,13
1038,800,6
14682,1244,2
800,2919,7
12,189,2
4330,1038,2
6414,13,1
931,1227,1
762,1020,6
1038,609,1
862,4324,1
1038,12,12
1005,1627,4
11008,458,1
800,24898,4
164,1127,2
15,108,1
583,1158,2
1158,667,2
984,358,1
2790,1038,2
1049,1087,1
38290,46,2
504,1082,1
595,39,1
347,1165,2
969,62,1
24434,1533,1
4102,631,1
1039,358,5
4,82,6
6711,631,1
1531,6182,2
18,25,1
800,1387,8
290,595,3
6169,358,1
11,289,3
449,167,1
5380,595,2
265,714,1
984,6676,1
210,44,3
585,1050,1
1082,29228,13
60,94,1
410,1104,7
164,873,4
6195,714,3
14694,1038,2
1123,990,4
4718,5,5
862,5,7
16795,2477,1
452,4795,1
12,1038,10
1230,252,1
6943,931,1
866,3368,2
276,862,7
3064,512,1
2867,1049,5
316,15,1
164,2288,6
18075,681,2
4102,206,1
506,252,13
415,1195,1
14171,618,1
379,273,3
148,141,1
985,2454,5
27525,2722,1
1385,506,8
16,26,2
180,1072,1
331,762,1
131,1084,2
159,826,2
19,252,7
4553,800,5
27,4795,1
2698,512,1
159,416,3
1423,995,5
405,355,8
826,61,1
4795,33,1
399,46,1
749,12,6
506,2239,6
422,252,2
1027,337,1
1050,3709,5
10131,60,1
862,4326,1
5,11337,1
1042,1123,2
681,932,2
1397,1147,5
3054,512,1
209,398,2
39,26,1
42,1101,1
1110,358,1
1386,332,3
46,114,5
41,22,1
583,61,2
24,48,2
1181,762,2
3302,368,5
1627,252,4
108,4,1
995,347,2
30,90,1
1397,750,3
367,2497,2
648,2448,2
39,15,7
11596,1533,3
1123,1039,1
1095,2969,1
762,1027,3
506,1020,1
244,1423,6
281,16214,1
2251,19,1
321,281,1
29,984,6
332,800,7
1041,5,1
504,82,3
26911,1159,1
162,46,4
999,130,1
46,416,12
244,1176,2
273,180,1
42,60,2
289,2577,11
6574,4835,1
13,1531,5
5587,130,3
1421,826,2
244,2968,6
1095,417,3
383,281,5
5174,5,3
86,60,4
5,46,9
496,533,1
13,1084,4
367,142,4
29,1010,3
30,129,1
641,399,5
430,1038,13
681,621,6
1084,12321,1
1082,294,1
458,2655,8
379,1003,4
317,1123,1
164,1032,3
1047,642,1
276,4558,2
1081,244,1
11300,618,4
1421,14456,1
11,281,6
2262,873,3
931,1237,5
28,4,1
762,506,1
472,3709,2
46,10348,1
2331,430,3
4,7831,1
45353,1390,1
2921,1038,11
430,4093,1
862,4085,2
4361,458,4
82,20,1
80,856,1
162,601,1
82,18,4
873,1123,2
9099,1164,1
130,4159,4
19684,82,1
1041,3911,2
1245,5,2
4907,52,1
244,399,3
1420,30444,3
1027,358,1
29148,1084,1
749,26250,1
1084,447,1
583,31,3
408,12,8
610,16,2
1159,347,2
4542,630,2
506,1408,5
2990,1158,1
82,65,3
969,162,1
3008,29,1
408,398,1
3546,40,1
681,667,1
800,184,1
543,31,2
252,46,11
750,2996,1
3008,164,3
1035,990,1
368,131,10
46,862,14
5,130,10
2282,16,1
33752,862,1
19164,252,4
1562,12,1
1429,10155,2
244,750,4
681,861,2
1027,379,3
4333,1038,4
358,1034,3
273,417,5
24,15,7
142,720,1
13,281,4
9250,16795,2
1027,762,4
408,130,17
355,352,4
159,1082,1
58,595,1
22,512,8
6195,19169,1
9252,1010,1
506,527,2
1071,984,5
1627,22619,12
985,2964,3
4,238,1
41,703,2
1096,985,20
2288,714,1
294,367,2
1162,290,5
466,405,2
762,1211,5
972,180,2
3709,2619,1
3426,4,1
12,2921,17
8970,332,2
2381,595,1
405,2805,8
410,408,18
533,4795,3
762,3015,2
995,603,2
1071,29,9
667,750,2
281,3508,1
172,3,1
10,6767,1
800,252,10
458,408,5
1038,19,10
13,449,1
714,418,8
3,931,3
800,1627,6
368,1075,2
1098,1010,1
749,8671,1
1108,3368,2
2239,46,9
3631,13,1
122,86,2
762,1039,7
42,299,1
164,22,5
40,1175,2
1143,180,1
13562,130,15
244,3524,4
1198,989,1
1386,862,8
989,512,1
1071,985,6
162,418,3
506,4083,13
984,371,1
466,1020,4
8675,1627,1
800,332,7
371,29,2
855,667,1
800,2655,11
4255,506,6
417,1164,2
631,2462,3
2655,607,1
1387,4083,4
410,156,1
940,366,7
2510,65,1
8,65,1
2292,42,1
13,472,1
40,150,1
5174,416,1
2581,4083,1
610,1084,2
