source,target,weight
15,81,1
148,41,1
366,131,1
46,1005,2
289,543,1
130,3522,2
368,2296,1
408,1386,1
862,2722,2
289,2577,3
512,349,2
1038,19,1
398,4172,2
8652,800,1
1132,1150,1
683,2296,1
281,1003,3
410,4111,1
720,6195,1
337,1123,1
762,1042,2
337,1060,1
31,1132,1
130,4333,5
379,703,1
985,1096,7
506,1408,1
27,506,1
171,237,1
416,4159,2
148,410,1
130,2921,5
2288,3716,2
46,2581,2
1104,4558,1
358,6297,1
1387,22041,2
537,2251,1
677,1039,1
6248,150,1
46,4084,2
506,5615,1
148,703,1
969,4361,1
410,2079,1
1050,12574,1
27,2,1
366,1108,1
252,5615,1
931,990,1
33,3709,1
162,28559,1
399,986,1
641,1039,1
82,33,1
1429,2239,1
583,1416,1
800,44223,1
366,993,2
839,1627,2
984,3054,4
458,1385,2
614,533,1
1162,2968,1
631,164,1
25,566,1
1627,24575,1
273,1159,2
312,1387,1
415,3161,1
273,738,1
458,4102,2
800,4255,4
931,989,2
18,24,1
800,2239,4
46,5514,1
199,42,1
458,4103,1
41,94,1
2722,4554,1
1071,2451,1
995,1081,1
1082,29228,2
452,3008,1
8519,134,1
1025,22203,1
31,826,1
641,677,1
86,39,1
232,27,1
618,417,1
347,30444,1
199,142,1
862,704,2
506,749,2
46,26789,1
410,415,1
1390,4083,1
252,4083,4
281,141,2
15,35,1
29,1071,1
6984,366,1
164,1132,1
86,72,1
350,1127,1
543,903,1
289,2454,1
897,2296,2
130,5862,14
430,276,1
1084,714,1
46,2331,1
932,1032,1
46,3057,2
430,1103,3
641,543,1
11,603,2
148,931,1
826,1020,2
931,337,1
379,2793,1
897,630,1
985,1078,1
6711,430,1
13,1108,2
358,512,1
762,398,1
86,122,1
800,14888,1
244,996,1
148,289,3
416,1387,3
162,826,2
1429,7198,2
1038,1390,1
11,131,1
33,15,1
189,244,1
281,1132,1
762,399,1
800,408,3
41,2394,1
1003,1148,2
610,1108,2
180,1035,1
31,3064,3
873,511,1
10958,3709,1
458,4271,1
1038,6574,4
398,26789,1
27,66,1
862,4103,7
410,408,4
162,738,1
800,1429,8
281,1074,1
29,899,1
1038,4031,1
641,22,2
631,703,2
1132,1211,1
410,3037,1
281,1181,1
762,124,2
15,30,1
3,237,1
1071,2804,1
130,1387,2
2288,972,5
130,26789,1
631,1302,1
1210,14888,1
1132,2288,1
512,2455,2
800,4114,1
897,366,1
1032,1078,1
618,3060,1
164,1071,1
276,3522,2
641,1089,2
31,1028,1
355,399,2
13,331,1
46,4361,1
800,10670,1
1421,3166,1
398,380,6
162,175,1
29,1211,1
46,2921,1
1387,3522,2
46,749,3
42,127,1
452,3,1
416,4114,1
1071,124,1
1386,7197,1
79,38,2
416,1025,3
15,48,1
931,873,2
410,252,3
1421,11273,1
