source,target,weight
583,336,1
150,1108,3
273,289,1
398,800,1
862,4172,2
826,1175,2
533,2,1
1027,22,1
14893,12,1
1082,339,1
368,171,1
379,1181,2
1025,4078,3
244,141,1
294,355,2
985,873,2
1022,237,1
289,641,1
410,10155,1
167,38,4
1082,172,2
86,39,1
985,130,1
80,2,2
1627,6574,2
458,1385,1
410,252,1
130,26722,7
2867,142,1
15,66,1
862,3037,6
130,4326,9
506,4031,2
472,13243,1
506,800,2
1158,1416,1
148,931,1
631,2420,1
1039,3684,2
1108,11083,2
367,993,1
506,1388,1
46,367,1
3008,399,1
1387,3522,1
1390,36137,1
506,1103,1
1039,6699,1
1050,3008,1
12,2921,3
855,2580,1
418,2448,1
121,38,1
252,1429,5
3709,2448,3
506,1387,2
31,368,1
398,1387,2
12,148,1
506,130,2
12321,3612,1
533,27288,1
40,237,1
1237,3948,1
131,430,3
667,1175,1
1408,4330,1
358,2577,1
42,938,1
1390,5587,1
289,5,1
86,38,2
995,161,2
16795,472,1
4083,22045,1
1108,750,3
995,22381,1
289,903,1
355,1132,1
46,714,3
862,5514,1
1444,347,1
2288,337,1
2969,9902,1
1010,2352,1
281,897,1
618,472,1
60,6450,1
42,14,1
15,79,1
3368,2457,1
33,65,2
750,3524,2
29,466,1
931,3892,1
416,862,2
583,2921,1
13,150,1
699,985,1
252,19164,1
410,1010,6
252,1408,1
1390,1210,1
12,4084,1
897,1531,3
46,130,2
618,14171,1
855,618,1
405,3054,1
44,79,1
332,10348,1
27,46,1
3709,4561,1
148,36,2
681,294,1
410,16795,12
12321,331,1
130,4084,1
543,988,1
506,276,3
281,150,1
897,630,3
130,24898,3
506,16672,1
46,294,2
82,533,1
800,265,1
157,855,1
252,1105,1
371,39,1
16795,5358,2
506,7769,1
82,18,1
148,180,2
862,2239,5
252,1025,4
430,4097,1
332,10118,1
273,61,1
16795,2687,5
1387,10642,1
9249,533,1
964,800,1
331,2296,1
1038,4554,3
1041,290,1
11,1003,1
1003,1237,3
1041,738,2
29,368,1
800,2239,1
39,2531,1
1210,10118,1
2288,3054,1
11,358,1
5,749,2
294,16795,3
237,294,1
358,124,1
332,408,1
237,7971,1
5,408,1
862,1038,3
162,1158,1
985,22,2
618,499,1
148,1003,2
417,2462,1
683,337,1
749,2722,1
1082,1158,1
12,416,4
1003,2455,2
