source,target,weight
366,6676,1
16795,3368,1
416,408,2
358,11143,1
506,649,1
27518,1210,1
417,1175,1
749,430,1
800,5514,1
416,2722,2
931,1042,2
12,33734,1
22,677,1
252,56966,1
40,1160,1
1071,3688,1
12,19164,1
416,38290,1
11,1032,2
281,1191,1
130,24898,1
1049,367,1
931,180,1
714,7077,1
430,458,1
5,2919,2
82,91,1
800,4159,2
506,4102,1
1005,4330,1
749,4172,1
19,1429,1
621,366,1
583,1050,1
1095,2067,1
5,3368,1
800,4553,1
130,4326,3
1159,855,1
148,3684,2
131,648,1
1005,4515,1
1132,1252,1
1049,134,1
11,379,2
31,3697,1
46,22045,1
1039,3867,1
130,6574,1
11,1028,1
1050,1531,1
458,4331,1
130,1387,1
1038,1047,1
1110,3694,1
5,641,1
621,2448,1
5,4554,1
1084,367,1
162,520,1
995,1423,1
631,13,1
985,29,1
281,1181,2
1159,8178,2
3368,366,1
1041,667,1
603,698,2
379,1071,1
1020,1123,1
1038,410,1
931,1035,1
631,1039,2
289,3489,1
1003,3820,1
931,162,1
1627,1038,1
358,991,1
6195,4093,1
11,3008,2
1210,3037,1
897,1531,1
347,2715,1
281,1123,1
506,1387,1
46,4361,1
252,2581,3
931,1088,1
31,1071,2
86,109,1
458,11,1
714,2687,1
130,26722,2
331,2296,1
164,1003,1
13,5358,1
458,276,1
14,42,1
289,1252,1
15,254,1
873,3820,1
506,3508,1
995,1161,1
1038,4083,1
252,4553,1
800,380,1
931,2455,1
148,1028,1
1071,512,1
398,2251,1
985,244,1
13,1071,1
276,4718,1
714,12321,1
506,1210,1
332,7198,1
148,989,1
46,4172,1
162,1147,1
130,5587,1
82,167,1
585,873,1
631,641,1
142,134,1
862,26789,2
290,1420,1
405,543,1
417,520,1
985,2577,1
1050,2867,1
618,30200,1
1020,2436,1
749,27520,1
130,4331,1
148,3696,2
16795,681,1
12,1038,1
1032,1148,2
281,370,1
940,11000,1
1038,22045,1
660,931,1
873,3684,1
18,3650,1
31,317,1
289,512,2
6195,1387,1
162,14171,1
631,350,1
621,2296,2
1123,1060,1
130,13562,1
368,931,1
46,2239,1
130,4153,1
677,543,1
800,430,1
13,1075,1
13,405,1
290,2967,1
631,1042,1
358,2814,1
31,984,1
11,12,1
1531,1533,1
398,276,1
410,1387,1
19,4031,1
630,2867,1
398,380,4
583,595,1
5,199,1
19,1627,1
31,3391,1
762,1098,1
931,1032,1
