source,target,weight
1038,1408,2
762,1302,1
873,1302,1
800,1415,2
130,4097,2
148,1039,4
418,237,1
244,2968,2
5,4146,1
336,417,1
506,1408,3
130,4104,3
1025,800,1
430,4031,1
82,941,1
379,1039,1
1164,2257,1
282,15,1
273,265,1
244,1176,1
995,244,1
148,1082,1
416,800,1
3008,3684,1
2425,1049,1
5,2331,2
631,1071,2
1050,1029,1
162,932,2
458,332,2
410,1005,5
164,3820,1
383,19,1
1050,1418,1
1039,972,1
86,585,1
72,110,1
1162,10868,1
714,12321,3
276,1385,1
762,3909,1
252,2655,3
1095,895,1
130,2239,2
800,4084,2
5,6574,1
1049,606,1
11,931,1
16795,410,2
512,1020,1
148,1010,1
142,609,1
41,4,1
4083,22302,1
41,33,1
1038,4331,2
1095,30200,1
142,331,1
405,2805,2
12,4718,3
862,1038,1
9252,44,1
969,1176,1
252,2411,1
1003,349,2
984,3054,1
506,749,5
5,12908,2
1387,2239,1
800,2722,1
3008,1089,1
862,4102,2
5,3037,2
294,29,1
506,2722,2
130,1415,1
6767,2448,1
3057,367,1
18075,800,1
79,1134,1
19,130,1
4083,2476,2
1071,22,1
12,408,3
993,2079,1
862,4271,1
6574,3037,1
506,26789,5
720,46,1
46,1047,1
1429,19109,1
6195,800,4
82,720,1
1159,1421,1
1049,1075,1
1025,22203,1
749,2655,1
430,839,2
150,3302,1
6195,276,2
1104,4083,1
1090,984,1
1627,10561,1
130,825,1
2969,1423,2
6195,130,3
826,2580,2
347,4603,1
631,2262,1
39,50,1
4541,276,1
29,972,1
1038,720,1
506,2921,6
667,208,1
36,595,1
1038,10118,1
6195,4083,6
931,352,3
46,2581,1
15,81,3
1164,1080,1
6195,368,2
8172,2921,1
631,2793,2
583,3524,1
506,4097,1
969,1377,1
1184,14171,1
2,1003,1
289,1035,2
1025,4718,2
379,677,2
430,4554,1
294,1049,1
31,1020,1
130,1627,3
15,4,3
27,33,2
631,1035,3
410,338,1
46,32405,1
862,2239,5
7136,1210,1
762,336,1
1025,4078,3
543,899,3
630,12588,1
162,1159,2
984,1020,4
276,19,3
631,993,1
130,730,1
13297,41,1
46,1210,4
641,1219,1
618,3631,1
148,22,4
1181,1098,1
29,1035,1
14837,989,1
141,150,1
82,200,1
1082,36,1
23,254,1
714,11596,1
15,24,2
506,1387,4
1049,1531,2
603,2262,1
6767,1244,1
1429,4153,1
46,468,1
897,42,4
16795,2687,6
618,1775,1
1390,1103,2
29,678,1
289,399,1
31,1158,1
985,1096,7
273,1081,1
281,2436,1
332,22253,1
512,466,2
29,1074,1
398,4146,1
800,1429,10
1390,3522,1
40,244,1
6767,367,1
130,1025,1
33,614,1
410,7656,1
995,667,1
148,990,2
130,605,1
800,12,1
82,293,1
162,1160,1
762,124,3
1061,5,2
1038,2722,2
800,4324,1
46,607,1
46,2250,5
1003,3820,1
180,1123,1
1084,3368,2
399,2413,3
398,839,2
2448,11596,1
862,3037,2
289,1089,1
39,35,1
86,126,1
410,2921,2
1162,9202,1
543,49734,2
398,4331,2
714,1533,1
13,4053,1
1038,4172,2
46,289,2
533,1038,1
281,1003,2
130,4113,1
130,2047,1
1025,10155,1
2867,666,1
1010,4117,1
416,4172,1
1005,5587,1
355,1132,1
398,10348,2
5,1047,3
750,11300,1
631,1085,2
379,3684,2
1164,3524,1
1010,410,1
614,1390,1
60,48,2
1038,4146,2
13353,5358,1
5,19,1
237,1531,2
862,9690,2
11,1028,2
82,1020,1
1010,16795,2
46,5514,1
130,5862,8
1420,124,1
506,1038,1
873,2455,1
244,1158,2
9249,1158,1
16795,19114,1
405,6894,1
252,46,1
1158,10004,1
11,1194,1
15,167,3
1123,1194,2
1110,164,1
