source,target,num_players,total_amount,total_normalized_amount,num_young_players,num_middle_aged_players,num_old_players,total_amount_for_young_players,total_amount_for_middle_aged_players,total_amount_for_old_players,total_normalized_amount_for_young_players,total_normalized_amount_for_middle_aged_players,total_normalized_amount_for_old_players
29,281,5,0.9986,8.970435841376490872571499671,3,2,0,0.6851,0.3135,0.0,6.044903926482873851294903926,2.925531914893617021276595745,0
294,131,3,0.407,1.608187134502923976608187135,2,1,0,0.407,0,0.0,1.608187134502923976608187135,0,0
6574,4171,1,0.0342,0.2222222222222222222222222222,0,1,0,0.0,0.0342,0.0,0,0.2222222222222222222222222222,0
1025,10155,1,0,0,1,0,0,0,0.0,0.0,0,0,0
430,13,2,0.285,3.289473684210526315789473684,1,0,1,0.285,0.0,0,3.289473684210526315789473684,0,0
8970,2921,2,0,0,1,0,1,0,0.0,0,0,0,0
337,349,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1244,367,1,0,0,0,0,1,0.0,0.0,0,0,0,0
1531,621,3,0,0,1,2,0,0,0,0.0,0,0,0
148,1020,3,0.0713,1.454508363933088535291717666,1,1,1,0.0713,0,0,1.454508363933088535291717666,0,0
703,180,2,0,0,0,1,1,0.0,0,0,0,0,0
5621,430,2,0.00125,0.02610693400167084377610693400,2,0,0,0.00125,0.0,0.0,0.02610693400167084377610693400,0,0
417,8728,1,0,0,0,0,1,0.0,0.0,0,0,0,0
46,4097,2,0,0,2,0,0,0,0.0,0.0,0,0,0
1003,31,1,0,0,1,0,0,0,0.0,0.0,0,0,0
512,1032,2,0.02252,0.4231348096538862337805918269,0,0,2,0.0,0.0,0.02252,0,0,0.4231348096538862337805918269
1147,738,1,0,0,0,0,1,0.0,0.0,0,0,0,0
1075,1049,1,0.1083,1.250,0,1,0,0.0,0.1083,0.0,0,1.250,0
4102,130,4,0.0137,0.08901884340480831708901884340,2,2,0,0,0.0137,0.0,0,0.08901884340480831708901884340,0
931,190,1,0,0,0,0,1,0.0,0.0,0,0,0,0
931,350,2,0,0,1,0,1,0,0.0,0,0,0,0
358,379,2,0.0257,0.5932594644506001846722068329,1,0,1,0.0257,0.0,0,0.5932594644506001846722068329,0,0
252,5514,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1103,862,5,0.0057,0.02252252252252252252252252252,2,3,0,0.0057,0,0.0,0.02252252252252252252252252252,0,0
714,3729,1,0,0,1,0,0,0,0.0,0.0,0,0,0
332,458,2,0,0,1,1,0,0,0,0.0,0,0,0
1158,189,1,0,0,0,0,1,0.0,0.0,0,0,0,0
1082,36,1,0.0872,1.006463527239150507848568790,0,1,0,0.0,0.0872,0.0,0,1.006463527239150507848568790,0
1123,641,4,0.00479,0.04160152857391002258120548897,4,0,0,0.00479,0.0,0.0,0.04160152857391002258120548897,0,0
1047,4271,1,0,0,0,1,0,0.0,0,0.0,0,0,0
337,350,1,0,0,0,0,1,0.0,0.0,0,0,0,0
895,244,2,0,0,2,0,0,0,0.0,0.0,0,0,0
79,30,1,0.00228,0.05263157894736842105263157895,0,1,0,0.0,0.00228,0.0,0,0.05263157894736842105263157895,0
1627,22619,3,0,0,3,0,0,0,0.0,0.0,0,0,0
159,416,2,0.0285,0.3059252898239587805925289824,2,0,0,0.0285,0.0,0.0,0.3059252898239587805925289824,0,0
244,281,1,0,0,0,1,0,0.0,0,0.0,0,0,0
383,42,1,0.0314,0.2727114816744832377974639569,0,1,0,0.0,0.0314,0.0,0,0.2727114816744832377974639569,0
405,990,2,0,0,1,0,1,0,0.0,0,0,0,0
