source,target,num_players,total_amount,total_normalized_amount,num_young_players,num_middle_aged_players,num_old_players,total_amount_for_young_players,total_amount_for_middle_aged_players,total_amount_for_old_players,total_normalized_amount_for_young_players,total_normalized_amount_for_middle_aged_players,total_normalized_amount_for_old_players
2805,355,1,0,0,1,0,0,0,0.0,0.0,0,0,0
3697,31,1,0,0,1,0,0,0,0.0,0.0,0,0,0
931,3008,1,0,0,0,0,1,0.0,0.0,0,0,0,0
987,29,1,0,0,1,0,0,0,0.0,0.0,0,0,0
239,44,1,0,0,0,1,0,0.0,0,0.0,0,0,0
703,86,1,0.00342,0.02222222222222222222222222222,1,0,0,0.00342,0.0,0.0,0.02222222222222222222222222222,0,0
244,417,1,0,0,1,0,0,0,0.0,0.0,0,0,0
833,79,1,0.00114,0.02666666666666666666666666667,0,0,1,0.0,0.0,0.00114,0,0,0.02666666666666666666666666667
170,2,1,0,0,0,1,0,0.0,0,0.0,0,0,0
5543,506,1,0,0,1,0,0,0,0.0,0.0,0,0,0
40,21957,1,0,0,0,1,0,0.0,0,0.0,0,0,0
3239,142,1,0,0,1,0,0,0,0.0,0.0,0,0,0
4147,130,1,0,0,1,0,0,0,0.0,0.0,0,0,0
583,1082,2,0.0296,0.3014184397163120567375886525,1,0,1,0.0114,0.0,0.0182,0.1315789473684210526315789474,0,0.1698394923478910041060097051
1519,347,1,0,0,0,0,1,0.0,0.0,0,0,0,0
1132,1071,1,0,0,0,0,1,0.0,0.0,0,0,0,0
1005,12,1,0,0,0,0,1,0.0,0.0,0,0,0,0
1020,2778,1,0,0,0,1,0,0.0,0,0.0,0,0,0
1005,1387,1,0,0,0,0,1,0.0,0.0,0,0,0,0
6692,458,3,0.0171,0.3571428571428571428571428571,2,1,0,0.0171,0,0.0,0.3571428571428571428571428571,0,0
512,355,1,0,0,0,0,1,0.0,0.0,0,0,0,0
42,41,1,0,0,0,0,1,0.0,0.0,0,0,0,0
1049,3239,1,0,0,1,0,0,0,0.0,0.0,0,0,0
681,114,1,0,0,0,1,0,0.0,0,0.0,0,0,0
1390,4103,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1025,54316,1,0,0,1,0,0,0,0.0,0.0,0,0,0
4074,931,2,0,0,1,1,0,0,0,0.0,0,0,0
506,4718,1,0.0188,0.1632794858433211742226854264,1,0,0,0.0188,0.0,0.0,0.1632794858433211742226854264,0,0
1164,995,1,0,0,0,0,1,0.0,0.0,0,0,0,0
1423,995,1,0,0,1,0,0,0,0.0,0.0,0,0,0
2067,347,1,0,0,0,0,1,0.0,0.0,0,0,0,0
13414,931,1,0,0,0,1,0,0.0,0,0.0,0,0,0
148,714,1,0,0,1,0,0,0,0.0,0.0,0,0,0
362,1032,1,0.00114,0.02279088364654138344662135146,1,0,0,0.00114,0.0,0.0,0.02279088364654138344662135146,0,0
1049,533,1,0,0,0,1,0,0.0,0,0.0,0,0,0
368,6195,1,0.0217,0.2025009331840238895110115715,0,0,1,0.0,0.0,0.0217,0,0,0.2025009331840238895110115715
11,714,1,0.015,0.2860411899313501144164759725,0,1,0,0.0,0.015,0.0,0,0.2860411899313501144164759725,0
189,13,1,0,0,1,0,0,0,0.0,0.0,0,0,0
603,3008,2,0.0467,0.3901420217209690893901420217,0,0,2,0.0,0.0,0.0467,0,0,0.3901420217209690893901420217
3489,289,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1050,583,1,0,0,1,0,0,0,0.0,0.0,0,0,0
2454,1071,2,0,0,0,0,2,0.0,0.0,0,0,0,0
2972,244,1,0,0,1,0,0,0,0.0,0.0,0,0,0
86,533,1,0,0,0,0,1,0.0,0.0,0,0,0,0
2517,42,1,0,0,1,0,0,0,0.0,0.0,0,0,0
367,7077,1,0,0,0,0,1,0.0,0.0,0,0,0,0
368,366,1,0,0,0,0,1,0.0,0.0,0,0,0,0
985,1386,1,0,0,0,0,1,0.0,0.0,0,0,0,0
932,276,1,0,0,0,1,0,0.0,0,0.0,0,0,0
15,26,1,0,0,0,1,0,0.0,0,0.0,0,0,0
27520,749,2,0,0,2,0,0,0,0.0,0.0,0,0,0
621,631,1,0.912,5.925925925925925925925925926,1,0,0,0.912,0.0,0.0,5.925925925925925925925925926,0,0
1049,1082,1,0,0,0,1,0,0.0,0,0.0,0,0,0
4554,1387,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1307,252,1,0,0,1,0,0,0,0.0,0.0,0,0,0
371,430,1,0.0285,0.4273504273504273504273504274,0,0,1,0.0,0.0,0.0285,0,0,0.4273504273504273504273504274
2805,931,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1041,13,1,0.0228,0.4651162790697674418604651163,0,0,1,0.0,0.0,0.0228,0,0,0.4651162790697674418604651163
839,130,1,0,0,1,0,0,0,0.0,0.0,0,0,0
11843,410,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1164,347,1,0,0,1,0,0,0,0.0,0.0,0,0,0
2331,416,1,0,0,1,0,0,0,0.0,0.0,0,0,0
681,1020,1,0,0,0,0,1,0.0,0.0,0,0,0,0
33,114,1,0,0,1,0,0,0,0.0,0.0,0,0,0
41,33,1,0,0,0,1,0,0.0,0,0.0,0,0,0
1423,1161,1,0,0,0,0,1,0.0,0.0,0,0,0,0
331,11422,1,0,0,1,0,0,0,0.0,0.0,0,0,0
180,417,1,0,0,1,0,0,0,0.0,0.0,0,0,0
24898,130,2,0,0,2,0,0,0,0.0,0.0,0,0,0
4102,5,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1132,124,1,0,0,0,0,1,0.0,0.0,0,0,0,0
6692,13484,1,0,0,1,0,0,0,0.0,0.0,0,0,0
8579,46,1,0,0,1,0,0,0,0.0,0.0,0,0,0
984,289,1,0,0,1,0,0,0,0.0,0.0,0,0,0
826,31,1,0.0171,0.3947368421052631578947368421,1,0,0,0.0171,0.0,0.0,0.3947368421052631578947368421,0,0
2581,252,3,0,0,2,1,0,0,0,0.0,0,0,0
16,2,1,0.00228,0.02631578947368421052631578947,1,0,0,0.00228,0.0,0.0,0.02631578947368421052631578947,0,0
347,1165,1,0,0,0,1,0,0.0,0,0.0,0,0,0
5358,331,2,0,0,1,1,0,0,0,0.0,0,0,0
10492,12,2,0.00477,0.09601118001552841467291199864,0,2,0,0.0,0.00477,0.0,0,0.09601118001552841467291199864,0
416,4331,1,0,0,0,0,1,0.0,0.0,0,0,0,0
410,1104,1,0,0,0,1,0,0.0,0,0.0,0,0,0
19,506,1,0.0433,0.9043441938178780284043441938,1,0,0,0.0433,0.0,0.0,0.9043441938178780284043441938,0,0
4554,5,1,0,0,1,0,0,0,0.0,0.0,0,0,0
4718,6195,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1306,416,2,0.0137,0.1581255771006463527239150508,1,1,0,0.0137,0,0.0,0.1581255771006463527239150508,0,0
1390,9826,2,0,0,2,0,0,0,0.0,0.0,0,0,0
273,1073,1,0,0,1,0,0,0,0.0,0.0,0,0,0
9690,46,2,0,0,2,0,0,0,0.0,0.0,0,0,0
265,347,1,0,0,0,1,0,0.0,0,0.0,0,0,0
2867,1049,1,0,0,1,0,0,0,0.0,0.0,0,0,0
704,12,1,0,0,1,0,0,0,0.0,0.0,0,0,0
3721,337,1,0,0,1,0,0,0,0.0,0.0,0,0,0
419,631,1,0,0,0,0,1,0.0,0.0,0,0,0,0
4111,458,1,0,0,0,1,0,0.0,0,0.0,0,0,0
1388,1038,1,0,0,0,1,0,0.0,0,0.0,0,0,0
631,2414,1,0,0,0,1,0,0.0,0,0.0,0,0,0
9816,1104,1,0,0,0,0,1,0.0,0.0,0,0,0,0
605,2296,1,0,0,0,1,0,0.0,0,0.0,0,0,0
1038,12,2,0.0000057,0.0001190476190476190476190476190,1,1,0,0,0.0000057,0.0,0,0.0001190476190476190476190476190,0
572,164,1,0,0,1,0,0,0,0.0,0.0,0,0,0
12,8652,1,0,0,0,0,1,0.0,0.0,0,0,0,0
621,12321,1,0,0,0,0,1,0.0,0.0,0,0,0,0
41,86,1,0,0,0,0,1,0.0,0.0,0,0,0,0
2814,1123,1,0,0,0,1,0,0.0,0,0.0,0,0,0
366,13,1,0.0627,0.5851063829787234042553191489,1,0,0,0.0627,0.0,0.0,0.5851063829787234042553191489,0,0
252,130,1,0,0,1,0,0,0,0.0,0.0,0,0,0
533,409,1,0,0,1,0,0,0,0.0,0.0,0,0,0
750,30200,1,0,0,1,0,0,0,0.0,0.0,0,0,0
148,2797,1,0,0,1,0,0,0,0.0,0.0,0,0,0
897,237,1,0.0114,0.2325581395348837209302325581,0,0,1,0.0,0.0,0.0114,0,0,0.2325581395348837209302325581
1047,5,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1108,667,1,0,0,0,0,1,0.0,0.0,0,0,0,0
1132,72,1,0,0,0,0,1,0.0,0.0,0,0,0,0
21331,800,1,0,0,1,0,0,0,0.0,0.0,0,0,0
2251,398,2,0,0,0,0,2,0.0,0.0,0,0,0,0
2448,3709,1,0,0,0,0,1,0.0,0.0,0,0,0,0
698,990,1,0,0,0,0,1,0.0,0.0,0,0,0,0
533,158,1,0,0,1,0,0,0,0.0,0.0,0,0,0
862,9690,2,0,0,1,1,0,0,0,0.0,0,0,0
444,164,1,0,0,1,0,0,0,0.0,0.0,0,0,0
2655,607,1,0,0,0,0,1,0.0,0.0,0,0,0,0
1302,358,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1386,19,1,0,0,0,1,0,0.0,0,0.0,0,0,0
2921,18642,1,0,0,1,0,0,0,0.0,0.0,0,0,0
80,86,1,0.00228,0.04558176729308276689324270292,0,1,0,0.0,0.00228,0.0,0,0.04558176729308276689324270292,0
150,897,2,0,0,0,1,1,0.0,0,0,0,0,0
1181,873,1,0,0,1,0,0,0,0.0,0.0,0,0,0
3037,1210,1,0,0,0,0,1,0.0,0.0,0,0,0,0
995,1423,1,0,0,0,0,1,0.0,0.0,0,0,0,0
8178,1082,1,0,0,1,0,0,0,0.0,0.0,0,0,0
410,276,1,0.00228,0.02447402318591670244740231859,0,0,1,0.0,0.0,0.00228,0,0,0.02447402318591670244740231859
252,862,1,0.00114,0.01223701159295835122370115930,0,0,1,0.0,0.0,0.00114,0,0,0.01223701159295835122370115930
1027,405,1,0,0,1,0,0,0,0.0,0.0,0,0,0
714,150,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1387,4114,1,0,0,1,0,0,0,0.0,0.0,0,0,0
13484,800,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1244,7468,2,0,0,0,0,2,0.0,0.0,0,0,0,0
1388,506,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1304,39,1,0,0,0,0,1,0.0,0.0,0,0,0,0
543,29,1,0,0,0,0,1,0.0,0.0,0,0,0,0
398,1627,1,0,0,0,1,0,0.0,0,0.0,0,0,0
1003,931,1,0,0,1,0,0,0,0.0,0.0,0,0,0
681,5358,1,0,0,1,0,0,0,0.0,0.0,0,0,0
41,50,1,0,0,0,1,0,0.0,0,0.0,0,0,0
1049,1237,1,0.0684,0.2702702702702702702702702703,0,1,0,0.0,0.0684,0.0,0,0.2702702702702702702702702703,0
171,3368,1,0,0,0,1,0,0.0,0,0.0,0,0,0
683,714,1,0.0342,0.2857142857142857142857142857,0,0,1,0.0,0.0,0.0342,0,0,0.2857142857142857142857142857
45,86,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1386,862,1,0.00456,0.09523809523809523809523809524,0,0,1,0.0,0.0,0.00456,0,0,0.09523809523809523809523809524
1123,405,2,0.00616,0.05350008685079034219211394824,1,0,1,0.00616,0.0,0,0.05350008685079034219211394824,0,0
18,50,1,0,0,0,0,1,0.0,0.0,0,0,0,0
1003,11,1,0,0,1,0,0,0,0.0,0.0,0,0,0
129,533,1,0,0,1,0,0,0,0.0,0.0,0,0,0
995,1147,1,0,0,1,0,0,0,0.0,0.0,0,0,0
11596,3368,1,0,0,0,1,0,0.0,0,0.0,0,0,0
1023,12,1,0.0057,0.03703703703703703703703703704,1,0,0,0.0057,0.0,0.0,0.03703703703703703703703703704,0,0
265,1020,1,0.00171,0.03896103896103896103896103896,0,0,1,0.0,0.0,0.00171,0,0,0.03896103896103896103896103896
987,164,1,0,0,1,0,0,0,0.0,0.0,0,0,0
2867,2441,1,0,0,0,1,0,0.0,0,0.0,0,0,0
142,13,2,0,0,1,1,0,0,0,0.0,0,0,0
862,3522,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1071,512,1,0,0,0,1,0,0.0,0,0.0,0,0,0
162,5,1,0,0,0,0,1,0.0,0.0,0,0,0,0
415,290,1,0.0057,0.06578947368421052631578947368,1,0,0,0.0057,0.0,0.0,0.06578947368421052631578947368,0,0
1089,641,2,0,0,2,0,0,0,0.0,0.0,0,0,0
22,289,1,0.0428,0.8161708619374523264683447750,0,0,1,0.0,0.0,0.0428,0,0,0.8161708619374523264683447750
630,527,1,0,0,0,0,1,0.0,0.0,0,0,0,0
4172,1038,1,0,0,1,0,0,0,0.0,0.0,0,0,0
8178,1159,2,0,0,2,0,0,0,0.0,0.0,0,0,0
1010,29,1,0.0214,0.4080854309687261632341723875,0,1,0,0.0,0.0214,0.0,0,0.4080854309687261632341723875,0
940,3709,1,0,0,0,1,0,0.0,0,0.0,0,0,0
10773,1084,1,0,0,1,0,0,0,0.0,0.0,0,0,0
127,15,1,0,0,0,1,0,0.0,0,0.0,0,0,0
1301,855,1,0,0,0,0,1,0.0,0.0,0,0,0,0
164,370,1,0,0,0,1,0,0.0,0,0.0,0,0,0
355,4274,1,0,0,0,1,0,0.0,0,0.0,0,0,0
38,33,1,0,0,1,0,0,0,0.0,0.0,0,0,0
15,829,1,0,0,0,0,1,0.0,0.0,0,0,0,0
39711,1025,1,0.00114,0.007407407407407407407407407407,1,0,0,0.00114,0.0,0.0,0.007407407407407407407407407407,0,0
62,148,1,0.00228,0.04558176729308276689324270292,0,0,1,0.0,0.0,0.00228,0,0,0.04558176729308276689324270292
79,85,1,0.00228,0.03333333333333333333333333333,0,1,0,0.0,0.00228,0.0,0,0.03333333333333333333333333333,0
989,148,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1047,800,1,0,0,1,0,0,0,0.0,0.0,0,0,0
738,415,3,0.0171,0.1485148514851485148514851485,2,1,0,0.0171,0,0.0,0.1485148514851485148514851485,0,0
2288,543,1,0,0,0,0,1,0.0,0.0,0,0,0,0
148,349,1,0,0,0,1,0,0.0,0,0.0,0,0,0
3558,1095,1,0,0,1,0,0,0,0.0,0.0,0,0,0
368,367,1,0,0,0,1,0,0.0,0,0.0,0,0,0
458,416,1,0,0,0,1,0,0.0,0,0.0,0,0,0
1005,1025,2,0,0,1,1,0,0,0,0.0,0,0,0
1390,607,1,0.00001,0.00008685079034219211394823692896,1,0,0,0.00001,0.0,0.0,0.00008685079034219211394823692896,0,0
681,16576,1,0,0,0,1,0,0.0,0,0.0,0,0,0
3709,7971,2,0,0,0,1,1,0.0,0,0,0,0,0
2296,3368,1,0.0114,0.07407407407407407407407407407,0,1,0,0.0,0.0114,0.0,0,0.07407407407407407407407407407,0
1123,931,1,0,0,0,0,1,0.0,0.0,0,0,0,0
6195,5,2,0,0,1,0,1,0,0.0,0,0,0,0
4750,46,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1147,31,1,0,0,1,0,0,0,0.0,0.0,0,0,0
3368,1532,1,0,0,0,1,0,0.0,0,0.0,0,0,0
2331,1038,1,0,0,1,0,0,0,0.0,0.0,0,0,0
631,352,2,0,0,1,0,1,0,0.0,0,0,0,0
1005,7197,1,0,0,0,1,0,0.0,0,0.0,0,0,0
42,245,1,0,0,1,0,0,0,0.0,0.0,0,0,0
64,583,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1210,458,2,0.0684,1.395348837209302325581395349,0,2,0,0.0,0.0684,0.0,0,1.395348837209302325581395349,0
1302,1071,1,0,0,1,0,0,0,0.0,0.0,0,0,0
49939,800,1,0,0,1,0,0,0,0.0,0.0,0,0,0
681,11608,1,0,0,0,1,0,0.0,0,0.0,0,0,0
180,543,1,0.00428,0.1001169590643274853801169591,0,0,1,0.0,0.0,0.00428,0,0,0.1001169590643274853801169591
1429,749,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1162,1081,1,0,0,0,1,0,0.0,0,0.0,0,0,0
1388,458,1,0,0,1,0,0,0,0.0,0.0,0,0,0
142,3709,1,0,0,0,1,0,0.0,0,0.0,0,0,0
405,3008,1,0.00086,0.02011695906432748538011695906,1,0,0,0.00086,0.0,0.0,0.02011695906432748538011695906,0,0
355,3008,1,0.0008,0.009054895302773061686474250141,1,0,0,0.0008,0.0,0.0,0.009054895302773061686474250141,0,0
1091,80,1,0.0125,0.2549979600163198694410444716,1,0,0,0.0125,0.0,0.0,0.2549979600163198694410444716,0,0
1084,625,1,0,0,0,1,0,0.0,0,0.0,0,0,0
130,1245,1,0,0,1,0,0,0,0.0,0.0,0,0,0
583,2580,2,0,0,2,0,0,0,0.0,0.0,0,0,0
430,26789,1,0,0,1,0,0,0,0.0,0.0,0,0,0
192,839,1,0,0,0,1,0,0.0,0,0.0,0,0,0
667,1175,1,0,0,0,1,0,0.0,0,0.0,0,0,0
22045,46,1,0,0,1,0,0,0,0.0,0.0,0,0,0
448,985,2,0.02,0.2146844139115500214684413912,2,0,0,0.02,0.0,0.0,0.2146844139115500214684413912,0,0
399,1032,1,0,0,0,1,0,0.0,0,0.0,0,0,0
603,641,1,0,0,1,0,0,0,0.0,0.0,0,0,0
36,131,3,0,0,0,1,2,0.0,0,0,0,0,0
27,1085,1,0,0,1,0,0,0,0.0,0.0,0,0,0
105,422,1,0,0,0,0,1,0.0,0.0,0,0,0,0
969,2580,1,0,0,1,0,0,0,0.0,0.0,0,0,0
931,336,1,0.00171,0.03488372093023255813953488372,1,0,0,0.00171,0.0,0.0,0.03488372093023255813953488372,0,0
1252,31,1,0,0,1,0,0,0,0.0,0.0,0,0,0
3536,180,1,0,0,1,0,0,0,0.0,0.0,0,0,0
2231,1025,1,0.00299,0.06244778613199665831244778613,1,0,0,0.00299,0.0,0.0,0.06244778613199665831244778613,0,0
7971,1049,1,0,0,1,0,0,0,0.0,0.0,0,0,0
855,1095,2,0,0,0,1,1,0.0,0,0,0,0,0
19,367,1,0,0,1,0,0,0,0.0,0.0,0,0,0
86,33,1,0.0713,1.359649122807017543859649123,0,1,0,0.0,0.0713,0.0,0,1.359649122807017543859649123,0
1095,415,1,0,0,0,0,1,0.0,0.0,0,0,0,0
418,720,1,0,0,0,0,1,0.0,0.0,0,0,0,0
5495,1210,1,0,0,1,0,0,0,0.0,0.0,0,0,0
583,1017,1,0,0,0,1,0,0.0,0,0.0,0,0,0
1123,148,1,0,0,1,0,0,0,0.0,0.0,0,0,0
2655,430,1,0.0137,0.2738904438224710115953618553,0,1,0,0.0,0.0137,0.0,0,0.2738904438224710115953618553,0
3368,5,1,0,0,0,0,1,0.0,0.0,0,0,0,0
1533,12405,1,0,0,0,1,0,0.0,0,0.0,0,0,0
46,2239,1,0,0,1,0,0,0,0.0,0.0,0,0,0
379,991,1,0,0,0,0,1,0.0,0.0,0,0,0,0
331,1532,1,0,0,0,1,0,0.0,0,0.0,0,0,0
776,1387,1,0.00912,0.2105263157894736842105263158,0,1,0,0.0,0.00912,0.0,0,0.2105263157894736842105263158,0
1533,714,1,0,0,1,0,0,0,0.0,0.0,0,0,0
10755,130,1,0,0,1,0,0,0,0.0,0.0,0,0,0
7042,1095,1,0,0,0,0,1,0.0,0.0,0,0,0,0
704,1387,1,0,0,1,0,0,0,0.0,0.0,0,0,0
130,1210,3,0,0,3,0,0,0,0.0,0.0,0,0,0
897,1010,1,0,0,0,0,1,0.0,0.0,0,0,0,0
1104,5,2,0.00969,0.1937225109956017592962814874,0,1,1,0.0,0,0.00969,0,0,0.1937225109956017592962814874
641,5,1,0,0,0,0,1,0.0,0.0,0,0,0,0
276,252,1,0,0,0,1,0,0.0,0,0.0,0,0,0
3558,1147,1,0,0,1,0,0,0,0.0,0.0,0,0,0
27568,1038,1,0,0,1,0,0,0,0.0,0.0,0,0,0
350,29,1,0,0,0,0,1,0.0,0.0,0,0,0,0
82,66,1,0.00057,0.008333333333333333333333333333,0,1,0,0.0,0.00057,0.0,0,0.008333333333333333333333333333,0
1627,6195,1,0.0228,0.2447402318591670244740231859,0,0,1,0.0,0.0,0.0228,0,0,0.2447402318591670244740231859
1210,4114,1,0,0,0,0,1,0.0,0.0,0,0,0,0
1084,23956,1,0,0,0,1,0,0.0,0,0.0,0,0,0
410,839,1,0,0,1,0,0,0,0.0,0.0,0,0,0
3508,506,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1082,273,1,0,0,0,1,0,0.0,0,0.0,0,0,0
1025,408,3,0,0,0,2,1,0.0,0,0,0,0,0
79,27,1,0.0399,0.4605263157894736842105263158,0,1,0,0.0,0.0399,0.0,0,0.4605263157894736842105263158,0
698,1003,1,0,0,0,1,0,0.0,0,0.0,0,0,0
5648,13,1,0,0,1,0,0,0,0.0,0.0,0,0,0
4114,1210,2,0,0,0,1,1,0.0,0,0,0,0,0
9826,1390,3,0,0,2,0,1,0,0.0,0,0,0,0
82,162,1,0,0,0,0,1,0.0,0.0,0,0,0,0
