source,target,num_players,total_amount,total_normalized_amount,num_young_players,num_middle_aged_players,num_old_players,total_amount_for_young_players,total_amount_for_middle_aged_players,total_amount_for_old_players,total_normalized_amount_for_young_players,total_normalized_amount_for_middle_aged_players,total_normalized_amount_for_old_players
331,368,1,0,0,1,0,0,0,0.0,0.0,0,0,0
180,405,1,0,0,0,1,0,0.0,0,0.0,0,0,0
1533,1084,1,0,0,0,1,0,0.0,0,0.0,0,0,0
189,6195,1,0.0741,1.511627906976744186046511628,1,0,0,0.0741,0.0,0.0,1.511627906976744186046511628,0,0
6699,1032,1,0,0,1,0,0,0,0.0,0.0,0,0,0
150,3368,2,0,0,0,2,0,0.0,0,0.0,0,0,0
12908,5,2,0,0,2,0,0,0,0.0,0.0,0,0,0
2448,131,1,0,0,1,0,0,0,0.0,0.0,0,0,0
4114,5,1,0,0,1,0,0,0,0.0,0.0,0,0,0
855,1158,3,0,0,1,1,1,0,0,0,0,0,0
2288,29,1,0.5632,2.225383278014856962225383278,0,1,0,0.0,0.5632,0.0,0,2.225383278014856962225383278,0
862,4102,2,0,0,2,0,0,0,0.0,0.0,0,0,0
102,72,1,0.00029,0.006783625730994152046783625731,1,0,0,0.00029,0.0,0.0,0.006783625730994152046783625731,0,0
28546,1627,1,0.00228,0.03418803418803418803418803419,1,0,0,0.00228,0.0,0.0,0.03418803418803418803418803419,0,0
350,1194,1,0,0,0,1,0,0.0,0,0.0,0,0,0
1397,750,3,0,0,2,1,0,0,0,0.0,0,0,0
3037,46,5,0,0,5,0,0,0,0.0,0.0,0,0,0
11,379,2,0.0513,1.184210526315789473684210526,0,1,1,0.0,0,0.0513,0,0,1.184210526315789473684210526
39,15,2,0.0456,0.3809523809523809523809523810,1,1,0,0,0.0456,0.0,0,0.3809523809523809523809523810,0
162,2425,1,0,0,1,0,0,0,0.0,0.0,0,0,0
164,124,1,0.0827,1.884256094782410571884256095,0,1,0,0.0,0.0827,0.0,0,1.884256094782410571884256095,0
609,862,1,0.0148,0.3019175846593227254181966544,1,0,0,0.0148,0.0,0.0,0.3019175846593227254181966544,0,0
89,80,1,0,0,1,0,0,0,0.0,0.0,0,0,0
6195,416,2,0.0388,0.3241436925647451963241436926,0,1,1,0.0,0,0.0388,0,0,0.3241436925647451963241436926
2722,130,2,0,0,2,0,0,0,0.0,0.0,0,0,0
1775,618,1,0,0,0,1,0,0.0,0,0.0,0,0,0
1060,164,1,0,0,1,0,0,0,0.0,0.0,0,0,0
903,252,2,0,0,2,0,0,0,0.0,0.0,0,0,0
127,8,1,0,0,0,1,0,0.0,0,0.0,0,0,0
368,940,1,0,0,1,0,0,0,0.0,0.0,0,0,0
410,105,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1162,750,1,0,0,1,0,0,0,0.0,0.0,0,0,0
2433,1050,1,0.0992,1.983206717313074770091963215,1,0,0,0.0992,0.0,0.0,1.983206717313074770091963215,0,0
1084,1050,1,0.1368,0.5405405405405405405405405405,1,0,0,0.1368,0.0,0.0,0.5405405405405405405405405405,0,0
331,472,1,0,0,0,1,0,0.0,0,0.0,0,0,0
14171,995,1,0.00912,0.1052631578947368421052631579,1,0,0,0.00912,0.0,0.0,0.1052631578947368421052631579,0,0
290,252,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1078,1123,2,0,0,2,0,0,0,0.0,0.0,0,0,0
244,720,2,0.228,2.631578947368421052631578947,1,0,1,0.228,0.0,0,2.631578947368421052631578947,0,0
4097,1005,1,0,0,1,0,0,0,0.0,0.0,0,0,0
3,16,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1158,6678,1,0,0,0,1,0,0.0,0,0.0,0,0,0
2331,862,2,0,0,2,0,0,0,0.0,0.0,0,0,0
585,897,1,0,0,0,0,1,0.0,0.0,0,0,0,0
6574,252,2,0,0,1,0,1,0,0.0,0,0,0,0
738,11300,1,0,0,0,1,0,0.0,0,0.0,0,0,0
148,1020,3,0,0,0,2,1,0.0,0,0,0,0,0
583,720,2,0.0798,1.627906976744186046511627907,2,0,0,0.0798,0.0,0.0,1.627906976744186046511627907,0,0
410,648,1,0,0,1,0,0,0,0.0,0.0,0,0,0
738,273,2,0.0912,0.3603603603603603603603603604,2,0,0,0.0912,0.0,0.0,0.3603603603603603603603603604,0,0
3368,415,1,0,0,0,1,0,0.0,0,0.0,0,0,0
1005,5,4,0,0,4,0,0,0,0.0,0.0,0,0,0
1423,583,1,0,0,1,0,0,0,0.0,0.0,0,0,0
4553,252,1,0,0,0,1,0,0.0,0,0.0,0,0,0
683,873,1,0.1721,1.437761069340016708437761069,0,1,0,0.0,0.1721,0.0,0,1.437761069340016708437761069,0
1050,1064,1,0,0,0,0,1,0.0,0.0,0,0,0,0
4541,276,3,0,0,2,1,0,0,0,0.0,0,0,0
2721,252,1,0,0,1,0,0,0,0.0,0.0,0,0,0
142,533,1,0,0,1,0,0,0,0.0,0.0,0,0,0
2919,5,4,0.00023,0.002654662973222530009233610342,2,2,0,0.00023,0,0.0,0.002654662973222530009233610342,0,0
6711,24,1,0.0422,0.4870729455216989843028624192,0,1,0,0.0,0.0422,0.0,0,0.4870729455216989843028624192,0
355,352,1,0,0,1,0,0,0,0.0,0.0,0,0,0
265,252,1,0,0,0,1,0,0.0,0,0.0,0,0,0
1274,4,1,0.00011,0.001245048104131295981890209394,0,1,0,0.0,0.00011,0.0,0,0.001245048104131295981890209394,0
2251,1038,1,0,0,1,0,0,0,0.0,0.0,0,0,0
828,15,1,0,0,1,0,0,0,0.0,0.0,0,0,0
2035,15,1,0.0513,0.750,1,0,0,0.0513,0.0,0.0,0.750,0,0
6195,141,1,0.0268,0.2876771146414770287677114641,0,1,0,0.0,0.0268,0.0,0,0.2876771146414770287677114641,0
2867,3368,2,0.00684,0.1558441558441558441558441558,0,1,1,0.0,0.00684,0,0,0.1558441558441558441558441558,0
7042,1158,1,0,0,1,0,0,0,0.0,0.0,0,0,0
448,368,1,0.0171,0.3571428571428571428571428571,1,0,0,0.0171,0.0,0.0,0.3571428571428571428571428571,0,0
8728,995,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1071,3008,2,0.00627,0.1279069767441860465116279070,1,0,1,0,0.0,0.00627,0,0,0.1279069767441860465116279070
839,506,3,0.2018,3.848207475209763539282990084,2,1,0,0.2018,0,0.0,3.848207475209763539282990084,0,0
430,4171,1,0,0,1,0,0,0,0.0,0.0,0,0,0
142,1536,1,0,0,0,0,1,0.0,0.0,0,0,0,0
40,31,1,0,0,0,1,0,0.0,0,0.0,0,0,0
1415,458,1,0,0,1,0,0,0,0.0,0.0,0,0,0
972,164,1,0,0,1,0,0,0,0.0,0.0,0,0,0
3650,410,1,0.00342,0.07894736842105263157894736842,1,0,0,0.00342,0.0,0.0,0.07894736842105263157894736842,0,0
762,3015,1,0,0,1,0,0,0,0.0,0.0,0,0,0
82,24,1,0.0171,0.1835551738943752683555173894,1,0,0,0.0171,0.0,0.0,0.1835551738943752683555173894,0,0
416,5223,1,0,0,0,1,0,0.0,0,0.0,0,0,0
2296,331,1,0,0,1,0,0,0,0.0,0.0,0,0,0
410,1025,1,0,0,1,0,0,0,0.0,0.0,0,0,0
11300,1159,1,0,0,0,1,0,0.0,0,0.0,0,0,0
447,29,1,0.1231,0.4864074600916706179864074601,1,0,0,0.1231,0.0,0.0,0.4864074600916706179864074601,0,0
631,82,1,0.2508,2.178217821782178217821782178,1,0,0,0.2508,0.0,0.0,2.178217821782178217821782178,0,0
415,2944,1,0,0,0,1,0,0.0,0,0.0,0,0,0
290,1080,2,0,0,1,0,1,0,0.0,0,0,0,0
1041,12,2,0.1824,2.844272844272844272844272844,1,1,0,0.1254,0.057,0.0,2.619047619047619047619047619,0.2252252252252252252252252252,0
987,762,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1071,2805,1,0,0,1,0,0,0,0.0,0.0,0,0,0
221,1084,1,0,0,1,0,0,0,0.0,0.0,0,0,0
2921,506,7,0.0422,0.1667456930614825351667456931,5,2,0,0.0422,0,0.0,0.1667456930614825351667456931,0,0
1049,3709,2,0.057,0.3703703703703703703703703704,2,0,0,0.057,0.0,0.0,0.3703703703703703703703703704,0,0
6182,5358,1,0,0,1,0,0,0,0.0,0.0,0,0,0
41,3183,1,0,0,0,0,1,0.0,0.0,0,0,0,0
79,164,1,0,0,0,0,1,0.0,0.0,0,0,0,0
4,1110,1,0.0171,0.06756756756756756756756756757,1,0,0,0.0171,0.0,0.0,0.06756756756756756756756756757,0,0
367,940,2,0.0912,0.5925925925925925925925925926,2,0,0,0.0912,0.0,0.0,0.5925925925925925925925925926,0,0
2619,40,1,0.0342,0.3947368421052631578947368421,1,0,0,0.0342,0.0,0.0,0.3947368421052631578947368421,0,0
22203,862,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1045,281,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1533,681,8,0,0,5,3,0,0,0,0.0,0,0,0
4333,46,1,0,0,1,0,0,0,0.0,0.0,0,0,0
252,9265,1,0,0,1,0,0,0,0.0,0.0,0,0,0
19109,332,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1390,861,1,0,0,0,1,0,0.0,0,0.0,0,0,0
4031,19,1,0,0,0,1,0,0.0,0,0.0,0,0,0
23826,167,2,0,0,1,1,0,0,0,0.0,0,0,0
130,22203,1,0,0,1,0,0,0,0.0,0.0,0,0,0
677,281,1,0,0,1,0,0,0,0.0,0.0,0,0,0
989,20955,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1627,41906,1,0.00103,0.008945631405245787736668403682,1,0,0,0.00103,0.0,0.0,0.008945631405245787736668403682,0,0
1047,1385,2,0,0,1,1,0,0,0,0.0,0,0,0
4171,506,1,0,0,1,0,0,0,0.0,0.0,0,0,0
800,4271,1,0,0,1,0,0,0,0.0,0.0,0,0,0
1269,506,2,0,0,2,0,0,0,0.0,0.0,0,0,0
44,294,1,0.0057,0.06118505796479175611850579648,1,0,0,0.0057,0.0,0.0,0.06118505796479175611850579648,0,0
2251,749,1,0,0,1,0,0,0,0.0,0.0,0,0,0
3,8,1,0.00143,0.01618562535370684776457272213,0,1,0,0.0,0.00143,0.0,0,0.01618562535370684776457272213,0
985,641,2,0.0604,0.6836445953593661573288058856,2,0,0,0.0604,0.0,0.0,0.6836445953593661573288058856,0,0
380,1038,2,0,0,2,0,0,0,0.0,0.0,0,0,0
281,589,1,0.0399,0.1576576576576576576576576577,0,0,1,0.0,0.0,0.0399,0,0,0.1576576576576576576576576577
1160,826,1,0,0,1,0,0,0,0.0,0.0,0,0,0
31,1158,1,0,0,1,0,0,0,0.0,0.0,0,0,0
940,418,4,0.1596,2.333333333333333333333333333,2,1,1,0,0.1596,0,0,2.333333333333333333333333333,0
449,5,1,0,0,0,0,1,0.0,0.0,0,0,0,0
4361,5,1,0,0,1,0,0,0,0.0,0.0,0,0,0
603,281,1,0,0,1,0,0,0,0.0,0.0,0,0,0
15,150,1,0,0,0,1,0,0.0,0,0.0,0,0,0
1408,252,3,0,0,2,1,0,0,0,0.0,0,0,0
408,704,1,0,0,0,0,1,0.0,0.0,0,0,0,0
1085,631,1,0,0,1,0,0,0,0.0,0.0,0,0,0
4,434,2,0,0,0,1,1,0.0,0,0,0,0,0
1038,1108,1,0,0,0,1,0,0.0,0,0.0,0,0,0
195,618,1,0.0365,0.4212834718374884579870729455,1,0,0,0.0365,0.0,0.0,0.4212834718374884579870729455,0,0
60,30,1,0,0,0,1,0,0.0,0,0.0,0,0,0
1082,244,3,0.0992,0.8615598401945457703665103352,0,3,0,0.0,0.0992,0.0,0,0.8615598401945457703665103352,0
276,252,5,0,0,3,1,1,0,0,0,0,0,0
506,4171,1,0.0285,0.1851851851851851851851851852,1,0,0,0.0285,0.0,0.0,0.1851851851851851851851851852,0,0
