Id,Label,Country
9260,Charlton Athletic U21,England
26122,Banbury United,England
148,Tottenham Hotspur,England
281,Manchester City,England
3694,AFC Telford United,England
2998,Margate FC,England
68006,Hadley FC,England
3698,Chelmsford City,England
35007,AFC Newbury,England
11179,Halesowen Town,England
10391,Eastleigh FC,England
11310,Slough Town,England
2288,Swansea City,England
22771,Guisborough Town FC,England
29842,Concord Rangers ,England
25745,Needham Market FC,England
20877,Brackley Town,England
762,Newcastle United,England
3008,Hull City,England
4295,Stafford Rangers,England
3539,Tamworth FC,England
1074,Tranmere Rovers,England
1132,Burnley FC,England
9262,Fulham FC U23,England
12804,Crewe Alexandra U18,England
9463,Ilkeston Town (liq.),England
512,Stoke City,England
12335,Solihull Moors,England
1302,Northampton Town,England
47028,FC Windsor,England
8813,Barton Rovers,England
22993,Fleet Town FC,England
1078,Oldham Athletic,England
10717,Histon FC,England
9206,Arnold Town,England
3055,Basingstoke Town,England
899,Walsall FC,England
3685,Grays Athletic FC,England
8824,Sheffield United U23,England
1003,Leicester City,England
2436,Macclesfield Town,England
9256,Middlesbrough FC U21,England
7454,Welling United,England
3825,Kettering Town,England
3724,Hednesford Town,England
1071,Wigan Athletic,England
988,Oxford United,England
29990,West Bromwich Albion U23,England
1211,Port Vale FC,England
22646,Shepshed Dynamo FC,England
6169,Dulwich Hamlet FC,England
3867,Boreham Wood FC,England
10002,Derby County U18,England
23637,Scarborough FC (diss.),England
62966,Halifax Town (liq.),England
349,Barnsley FC,England
20955,Gosport Borough FC,England
358,Charlton Athletic,England
2964,Scunthorpe United,England
42938,Redhill FC,England
164,Blackburn Rovers,England
1220,Carlisle United,England
3884,AFC Wimbledon,England
31367,Chester FC,England
1112,Wrexham AFC,England
2805,Wycombe Wanderers,England
9265,Manchester City U23,England
33560,Frome Town FC,England
3688,Accrington Stanley,England
22563,Oxford City FC,England
23070,Stalybridge Celtic FC II,England
698,Bristol City,England
971,Scarborough Athletic,England
20428,FC United of Manchester,England
1028,Millwall FC,England
2455,Bristol Rovers,England
45961,Hartley Wintney FC,England
1218,Torquay United FC,England
873,Crystal Palace,England
9829,Southport FC,England
6922,Liverpool FC U18,England
3722,Hinckley United (liq.),England
1060,Colchester United,England
35348,Newcastle Town FC,England
8908,Carshalton Athletic,England
6933,Aston Villa U18,England
1252,York City,England
20429,Burscough FC,England
991,Wimbledon FC,England
9249,Arsenal FC Reserves,England
337,Birmingham City,England
2454,Doncaster Rovers,England
6340,Braintree Town,England
4080,Workington AFC,England
3879,Leek Town FC,England
931,Fulham FC,England
4282,Hyde United FC,England
631,Chelsea FC,England
1031,Luton Town,England
3786,Walton & Hersham FC,England
7067,Billericay Town,England
3820,Mansfield Town,England
2962,Altrincham FC,England
5242,Manchester United U18,England
22687,Stourbridge FC,England
3455,Forest Green Rovers ,England
11927,Burgess Hill Town,England
22615,Bromsgrove Rovers FC,England
46959,FC Brentford U21,England
3813,Spennymoor United,England
1088,Rochdale AFC,England
10895,Buxton FC,England
3536,Rushden & Diamonds (liq.),England
9607,Harlow Town,England
466,Preston North End,England
2804,Barnet FC,England
3537,Crawley Town,England
3826,St. Albans City,England
6918,Chelsea FC U18,England
1148,Brentford FC,England
289,Sunderland AFC,England
4117,Wealdstone FC,England
16277,Bury FC U18,England
38967,AFC Bournemouth U21,England
9251,Manchester United U23,England
1237,Brighton & Hove Albion,England
3697,Morecambe FC,England
1219,Chesterfield FC,England
6943,Newcastle United U18,England
7048,Bradford Park Avenue,England
11438,Harrow Borough FC,England
24219,Stoke City U21,England
12020,Harrogate Town,England
9261,Everton FC U21,England
23226,Leamington FC,England
1072,Peterborough United,England
972,Yeovil Town,England
2963,Burton Albion,England
3933,Nuneaton Town,England
1027,Bradford City,England
3684,Stevenage FC,England
3647,Stalybridge Celtic FC,England
2262,Plymouth Argyle,England
29,Everton FC,England
22552,Whitehawk FC,England
986,Cambridge United,England
985,Manchester United,England
3717,Aldershot Town,England
4079,Vauxhall Motors FC,England
990,Coventry City,England
11,Arsenal FC,England
6939,Portsmouth FC U18,England
1034,Grimsby Town,England
22,Derby County,England
9252,Liverpool FC U23,England
4081,Bishop Auckland FC,England
1020,Portsmouth FC,England
9154,Yeading FC,England
2413,Bury FC,England
6168,Barrow AFC,England
1127,FC Halifax Town,England
37993,Watford FC U23,England
22673,Bridlington Town FC,England
3716,Newport County,England
3696,Dagenham & Redbridge FC,England
1010,Watford FC,England
1195,Kidderminster Harriers,England
10956,Staines Town FC,England
1123,Norwich City,England
703,Nottingham Forest,England
11177,Fleetwood Town,England
677,Ipswich Town,England
33774,Rugby Town FC,England
2796,Woking FC,England
3613,Chester City (diss.),England
31,Liverpool FC,England
9955,West Ham United U18,England
6928,Tottenham Hotspur U18,England
6683,Canvey Island,England
1110,Huddersfield Town,England
6684,Gainsborough Trinity,England
1098,Stockport County,England
1039,Queens Park Rangers,England
3053,Northwich Victoria,England
6699,Exeter City,England
10910,Blackpool Mechanics,England
3822,Weymouth FC,England
603,Cardiff City,England
18258,Exeter City U18,England
3456,Gateshead FC,England
17980,Hemel Hempstead Town,England
1181,Blackpool FC,England
3371,Cheltenham Town,England
379,West Ham United,England
9267,West Ham United U23,England
3489,Boston United,England
8981,Bromley FC,England
6697,Preston North End U18,England
3936,Dover Athletic,England
10732,Watford FC U18,England
38632,Ashington AFC,England
34888,Salford City,England
9263,Portsmouth FC U21,England
6949,Blackburn Rovers U18,England
6930,Manchester City U18,England
10161,Leeds United U18,England
15910,Swindon Town U18,England
12869,Nantwich Town FC,England
1198,Lincoln City,England
12801,Wolverhampton Wanderers U18,England
4074,Dartford FC,England
9254,Tottenham Hotspur U21,England
5679,Arsenal FC U18,England
2797,Gravesend and Northfleet FC,England
1035,Sheffield Wednesday,England
6920,Everton FC U18,England
2793,Southend United,England
2577,Hartlepool United,England
10373,Ashton United,England
42231,AFC Wulfrunians,England
641,Middlesbrough FC,England
3824,Dorchester Town,England
13575,Folkestone Invicta,England
6579,AFC Sudbury,England
8820,Hampton & Richmond Borough,England
350,Sheffield United,England
355,Bolton Wanderers,England
405,Aston Villa,England
2814,Gillingham FC,England
6932,Charlton Athletic U18,England
6908,Hayes & Yeading FC,England
3721,Alfreton Town,England
7047,Maidstone United,England
180,Southampton FC,England
3054,Shrewsbury Town,England
1194,Rotherham United,England
1089,Darlington FC (liq.),England
1045,Notts County,England
9250,Chelsea FC U23,England
9253,Newcastle United U23,England
1042,Crewe Alexandra,England
11143,Bishop's Stortford FC,England
1032,Reading FC,England
989,AFC Bournemouth,England
399,Leeds United,England
3052,Sutton United,England
4310,Blyth Spartans AFC,England
543,Wolverhampton Wanderers,England
9259,Bolton Wanderers U23,England
3454,Kingstonian FC,England
9837,Redditch United,England
1150,Leyton Orient,England
352,Swindon Town,England
984,West Bromwich Albion,England
2794,Havant & Waterlooville FC,England
3064,Hereford United (liq.),England
5358,SD Huesca,Spain
16775,UD Alzira,Spain
11621,UD Salamanca B,Spain
5650,Pontevedra CF,Spain
8519,Sevilla FC B,Spain
11603,RC Deportivo B,Spain
367,Rayo Vallecano,Spain
15066,Hércules CF B,Spain
331,CA Osasuna,Spain
16575,SD Amorebieta,Spain
10496,UD Vecindario,Spain
1108,Deportivo Alavés,Spain
20844,Real Avilés CF,Spain
11422,CE Sabadell,Spain
16492,UD Melilla,Spain
8588,CF La Unión,Spain
4050,Écija Balompié,Spain
13240,Sestao River,Spain
13222,CD Mirandés,Spain
12666,Atlético Madrid C,Spain
13226,Caudal Deportivo,Spain
2470,FC Barcelona U19,Spain
6689,CF Gandía,Spain
12361,Marbella FC,Spain
12405,Real Unión Club,Spain
16640,Club Rápido de Bouzas,Spain
12321,Girona FC,Spain
38456,UE Olot,Spain
3803,Mérida UD,Spain
366,Real Valladolid CF,Spain
3708,Barakaldo CF ,Spain
34148,UCAM Murcia CF,Spain
606,Club Polideportivo Ejido,Spain
630,Racing Santander,Spain
16557,Logroñés CF,Spain
1084,Málaga CF,Spain
7971,Hércules CF,Spain
13238,SD Noja,Spain
7972,Lorca Deportiva CF,Spain
2687,Cádiz CF,Spain
2868,Real Madrid C,Spain
11642,Villajoyosa CF,Spain
12331,Sporting de Gijón B ,Spain
7052,CF Villanovense,Spain
3896,Granada 74 CF,Spain
6638,CF Badalona,Spain
714,RCD Espanyol Barcelona,Spain
24794,Chiclana CF,Spain
993,Córdoba CF,Spain
4053,Ciudad Murcia,Spain
4542,Cultural Leonesa,Spain
19926,CD Lealtad,Spain
33593,Lleida Esportiu,Spain
6767,Real Madrid Castilla,Spain
11615,CD Guijuelo,Spain
53283,CD El Ejido 2012,Spain
2502,CD Castellón,Spain
24420,UD Logroñés,Spain
13711,Real Madrid U17,Spain
9899,Real Sociedad B,Spain
11972,Villarreal CF B,Spain
6662,Amurrio Club,Spain
46147,CD Barco,Spain
18687,Atlético Baleares,Spain
1049,Valencia CF,Spain
134,Xerez CD,Spain
16576,CD Guadalajara,Spain
16540,CD Villanueva,Spain
16683,UD Fuerteventura,Spain
5648,Gimnàstic de Tarragona,Spain
16646,UP Langreo,Spain
2922,CD Onda,Spain
29733,SD Leioa,Spain
811,CF Extremadura,Spain
8733,Celta Vigo B,Spain
171,Real Murcia CF,Spain
29271,CD Tudelano,Spain
12588,Gimnástica Torrelavega,Spain
34119,UD Maracena,Spain
34171,CD Burriana,Spain
6688,Bilbao Athletic,Spain
12351,CD Linares,Spain
20236,Montañeros CF,Spain
18166,Jerez CF,Spain
472,UD Las Palmas,Spain
21568,La Roda CF,Spain
3679,Atlético Madrid B,Spain
13241,UD Ibiza,Spain
