source,target,weight
294,131,6
6574,4171,8
3697,31,1
331,368,3
1627,1103,2
180,405,3
800,1385,6
931,3008,4
189,6195,1
984,157,1
1531,621,3
2288,29,2
102,72,1
417,8728,1
28546,1627,1
1397,750,3
1038,11337,4
417,1158,4
281,36,1
3037,46,7
46,4097,2
11,379,11
130,5862,35
1095,3342,1
19,416,5
1085,533,1
16,41,4
609,862,1
350,29,3
458,1047,2
358,379,7
681,114,1
1408,4330,1
1390,4103,4
410,105,1
506,4718,10
714,3729,1
1103,862,5
332,458,10
931,2793,2
458,4554,3
1429,9690,2
897,16795,2
13,2867,2
1110,289,2
1010,38,1
1037,82,1
1123,641,6
1047,4271,2
1025,6195,11
142,331,3
10,82,7
1627,22619,12
1150,148,10
585,897,1
2454,1071,2
738,11300,1
12,130,13
2972,244,1
148,1020,12
931,603,2
1444,347,1
1005,17300,1
862,18952,1
1082,1162,7
164,1194,2
1049,1082,2
475,3709,1
44,21,1
336,252,4
3,3060,1
24,72,3
1175,1081,1
430,252,11
3368,9636,2
33,114,5
380,398,27
631,338,1
23,10,3
29831,1038,1
543,1027,1
398,11337,1
5174,6574,2
3772,410,1
1164,3161,4
1423,826,3
641,512,6
148,1003,6
630,1108,5
506,1387,19
142,533,1
130,38757,1
1307,749,4
273,826,7
405,543,5
410,1104,7
873,991,3
265,252,2
862,208,2
1386,1307,1
1274,4,1
398,4083,4
1159,1158,4
2035,15,1
1110,985,2
631,3008,3
839,506,17
430,4171,3
276,46,8
972,164,1
1388,1038,4
1049,13,8
130,4326,31
512,22,6
1627,1038,5
82,24,4
294,583,3
416,5223,1
1627,27568,1
3057,2921,1
410,1025,4
621,12321,4
430,24,3
157,25,1
15,24,12
12,2250,4
3820,358,1
971,641,1
543,13,2
415,2944,1
2251,398,3
290,1080,3
18,24,6
2288,1112,3
698,337,1
6767,367,4
221,1084,1
714,418,8
46,1049,5
46,4330,2
252,7179,1
681,621,6
416,398,3
1154,618,2
130,4771,4
873,289,3
408,506,10
6182,5358,1
2700,42,1
3037,1210,1
24,1465,1
473,42,1
1421,1154,1
1027,405,1
31,1071,4
350,1045,1
418,244,3
4255,430,3
175,162,2
1035,180,4
1084,1010,3
681,5358,1
683,472,1
332,46,5
289,1035,8
332,2581,2
1219,641,2
232,368,3
4031,19,4
172,1082,4
131,114,1
679,410,2
331,1050,1
2251,1627,1
677,281,2
2921,6195,4
800,27568,1
1160,1181,1
1269,506,2
800,4271,3
4083,252,12
862,12,8
44,294,1
252,114,1
985,641,3
2239,1038,4
332,4085,7
506,932,1
1044,410,1
276,862,7
449,5,1
416,13,2
252,1387,16
5,13,10
23206,244,1
969,11300,3
931,8054,1
27,234,1
11596,993,1
5543,416,1
1047,800,5
472,583,1
82,15,4
190,931,1
13240,621,1
1020,358,3
506,4171,3
289,355,3
367,12321,2
130,458,15
1306,416,3
2296,3368,4
499,29,1
46,4333,4
1020,35007,1
1245,5,2
5,371,1
2448,367,4
4750,46,4
417,1420,3
131,2448,2
