source,target,weight
29,281,5
294,131,3
6574,4171,1
1025,10155,1
430,13,2
8970,2921,2
337,349,1
1244,367,1
1531,621,3
148,1020,3
703,180,2
5621,430,2
417,8728,1
46,4097,2
1003,31,1
512,1032,2
1147,738,1
1075,1049,1
4102,130,4
931,190,1
931,350,2
358,379,2
252,5514,1
1103,862,5
714,3729,1
332,458,2
1158,189,1
1082,36,1
1123,641,4
1047,4271,1
337,350,1
895,244,2
79,30,1
1627,22619,3
159,416,2
244,281,1
383,42,1
405,990,2
5587,6195,1
150,1306,1
130,1005,1
1005,17300,1
1082,1162,2
475,3709,1
903,543,1
350,289,6
276,5,4
2288,931,2
1175,1081,1
2805,762,1
380,398,7
23,10,1
618,1290,2
398,11337,1
1108,1010,2
5174,6574,2
16,2,2
1082,3898,1
15,10,2
1423,826,1
3,4795,1
13,398,1
506,1387,6
10118,862,1
8738,410,1
648,366,1
19,416,1
130,38757,1
1039,148,3
472,681,1
6574,46,1
4172,5,1
38290,130,1
339,6195,1
82,1123,1
1110,985,1
276,46,2
5,13562,1
2414,379,1
3,121,1
417,1084,1
86,4171,1
543,349,2
1049,405,2
502,533,1
294,583,1
290,1147,1
1162,3277,1
157,25,1
40,2580,1
12,2721,1
826,1147,1
3709,338,1
3820,358,1
16795,410,16
543,13,1
3,79,1
1041,265,1
11300,3911,1
148,1123,2
458,1386,2
6767,367,2
252,7179,1
714,418,2
866,3709,1
24,52,2
681,621,3
399,289,1
1386,46,2
416,398,1
1154,618,1
1110,873,1
473,42,1
2251,430,2
130,4102,1
800,3522,1
4255,430,3
175,162,2
1214,714,1
332,46,2
29,1089,1
458,430,1
131,114,1
669,16,1
289,677,2
2921,408,1
1160,1181,1
31614,800,1
8970,416,2
252,114,1
12,25009,1
2331,800,8
24,33,2
276,862,2
1080,1082,1
11,989,1
79,2407,1
23206,244,1
8519,1084,1
969,11300,1
862,301,1
82,15,2
5543,416,1
1023,131,2
1095,903,1
159,40,1
30,7,1
190,931,1
1210,12,5
289,355,1
512,970,1
1147,12,1
27,4,2
4,108,1
1387,1038,2
1245,5,2
159,410,2
1194,985,1
2250,19,1
3,60,1
1027,641,1
2448,367,4
2253,6574,1
6574,8970,2
5227,1038,1
681,24,1
873,180,2
2448,131,1
418,621,1
2331,6195,1
1160,1081,1
472,331,1
1060,1039,1
11831,130,2
46,1390,3
1162,1175,4
33,41,2
331,472,1
969,244,4
1035,603,1
1038,2655,4
1028,41,1
405,985,4
405,1132,1
12321,367,2
7042,24,1
1072,148,1
16,1114,1
294,40,2
862,1095,1
5220,6195,1
1032,11,1
11000,1050,1
1041,762,2
210,19,1
839,130,3
714,2687,2
504,1084,1
991,379,2
2790,862,2
358,1020,4
349,873,3
5587,458,1
148,6195,1
714,1020,1
2239,130,4
3522,506,1
6600,162,2
416,862,2
22,512,3
7971,16795,5
749,1390,2
2698,1627,1
2581,506,1
15,1020,1
4084,862,1
5174,458,1
350,1132,1
1049,31,2
24,81,2
1465,79,2
4103,19,1
1423,855,2
31,1003,2
1041,1627,1
86,1804,1
4553,800,3
12405,681,4
458,252,5
43,244,1
28559,162,1
1027,1132,1
543,1132,2
703,148,2
1108,150,2
738,350,1
5225,862,1
14843,46,1
472,897,1
750,102,1
1003,180,1
1387,276,1
1035,22,2
19,46,4
11300,3524,1
337,1003,2
15,202,1
1110,989,1
1071,677,1
776,750,1
458,130,4
749,1411,1
4103,1210,1
416,458,5
1147,3558,1
5107,60,1
130,46,8
416,1429,1
862,1465,1
6692,506,3
855,13523,1
40,1162,1
281,1533,1
2251,46,3
416,5,2
355,1028,1
244,2580,1
14171,6579,1
2814,417,1
380,332,1
189,458,1
1011,80,1
1041,124,1
33,365,1
3948,1387,1
40,234,1
458,416,3
839,1390,1
989,931,2
1020,11,2
4284,281,1
1159,368,1
82,1037,1
5689,862,1
52,42,2
416,162,2
260,18,1
1158,855,1
82,3,3
366,472,2
281,1020,2
1025,862,2
150,1108,1
4515,8970,1
1237,984,3
79,130,1
5587,800,3
1098,1003,2
433,60,1
366,2687,3
1027,1035,1
2448,940,2
4000,16795,1
294,79,1
995,330,1
10,52,1
19,46196,1
1071,2720,1
418,1049,1
79,6,1
39,16,3
46157,130,1
72,79,1
79,121,1
800,410,5
65,16,1
991,29,1
162,31,1
103,42,1
18208,290,1
3558,415,1
347,89,1
416,410,3
430,281,2
985,1194,1
1074,3008,1
46,131,2
1038,1210,5
826,940,1
31,352,1
333,1025,1
3368,134,1
993,410,1
506,244,1
410,749,1
355,631,2
4114,130,5
3,17,1
1390,32138,1
350,405,3
2448,142,1
252,41804,1
2580,40,1
1080,1041,2
1159,26091,1
630,1049,1
6195,2288,1
4333,12,5
46,2919,1
10643,410,1
22,281,3
1020,1034,1
58,543,1
5,583,1
27,44,2
10820,1095,1
2239,1386,2
330,276,1
210,24,1
12,19,3
1385,398,1
370,164,1
2457,1387,1
839,12,4
157,1162,1
11596,16795,1
1390,1429,2
8850,417,1
583,273,3
1108,447,1
26789,506,5
2251,1307,1
1408,1038,4
36,583,1
1210,458,2
244,4291,1
1132,289,2
44,180,1
399,678,1
1416,1154,1
749,506,4
6195,1103,1
2655,416,3
12964,3,1
1386,195,1
130,1387,5
41,3,3
19,1010,1
1881,506,1
22294,12,1
11749,458,1
41,15,3
86,82,1
16,11,1
