source,target,weight
3302,418,1
989,1032,2
1071,984,3
984,157,1
26722,130,8
273,4673,1
720,276,1
417,1158,1
281,36,1
1095,3342,1
134,897,1
19,416,2
1085,533,1
16,41,2
7042,1159,1
317,595,1
873,281,2
5,2655,1
2929,131,1
350,29,1
347,162,2
86,35,2
1268,16,1
984,350,1
1103,6195,1
9353,130,3
1035,1020,2
458,4554,1
2805,405,2
3302,366,1
1010,410,7
1110,289,1
749,252,2
367,2867,1
1162,618,2
641,281,3
1150,148,6
79,336,1
12,130,3
1103,46,1
8813,873,1
6692,430,1
18,92,1
918,16795,1
148,512,1
862,18952,1
164,1194,1
306,1421,1
1421,595,1
336,252,2
24,72,1
257,1423,1
3368,9636,1
855,618,1
631,338,1
29831,1038,1
543,1027,1
306,31,1
1032,1010,1
472,367,1
4061,130,2
714,648,2
3772,410,1
1164,3161,1
641,512,2
150,2497,1
1307,749,1
1302,1032,1
862,208,1
932,29,1
1005,1070,1
1159,1158,1
1191,2288,1
1387,458,2
430,252,1
1158,244,4
430,27568,1
1302,1123,1
11,29,1
1241,19,2
749,1047,1
839,1038,1
8970,2921,1
252,618,1
399,931,1
1081,273,1
750,290,1
2282,368,1
631,18,1
1050,1108,1
13562,1390,1
614,681,1
79,52,1
2063,1390,1
5,800,3
252,408,1
18,24,4
698,337,1
355,1078,1
3522,800,2
750,1041,2
931,7972,1
861,12,1
1084,2698,1
408,506,5
2700,42,1
559,24,1
24,1465,1
667,1420,2
1020,1031,1
1035,985,3
2995,985,1
46,6600,1
36745,800,1
583,148,1
18,8,2
39,44,2
1035,180,2
1084,1010,3
266,42,1
1147,162,1
458,506,4
1219,641,1
232,368,1
172,1082,2
679,410,1
331,1050,1
1104,252,3
142,512,1
398,11648,1
1420,2067,1
2921,6195,2
2239,46,3
2687,150,1
46,614,1
4083,252,6
399,148,3
862,12,2
39,33,4
410,506,3
289,5,1
41,938,1
10920,995,1
2239,1038,3
1010,985,4
1044,410,1
379,1060,2
714,7971,1
2067,2580,1
416,13,1
252,1387,2
410,265,1
35,42,1
3368,8384,1
252,5,12
720,368,1
416,5,3
31,984,1
697,762,1
347,1039,1
931,8054,1
27,234,1
800,33734,1
11596,993,1
4061,252,2
472,583,1
1415,5,2
2784,60,1
1147,40,1
13240,621,1
1020,358,1
1302,2288,1
130,458,3
999,1108,1
2867,26007,1
350,430,1
156,1531,1
31,583,1
30,167,1
124,1423,2
1020,148,3
12,3522,1
130,11107,1
667,1158,5
1038,1627,2
42,855,1
28,130,1
18,80,1
290,826,2
1041,405,1
367,3176,1
1775,607,1
506,46,1
5817,86,2
41,294,1
349,512,1
610,12,1
379,18075,2
415,2580,1
273,415,2
22403,276,1
114,931,1
1164,417,2
380,1385,1
3368,472,1
1237,543,1
408,1386,1
630,1084,2
800,704,1
2,329,1
1081,618,2
648,1533,1
410,291,1
3524,273,3
162,1175,1
234,11,2
44,35,1
2793,180,1
2251,46,2
152,595,1
3654,410,1
339,1082,1
16795,585,1
399,11,3
1038,22302,1
458,416,3
24,16,1
61,82,1
8,27,1
2919,5,3
1071,631,1
416,159,1
252,398,4
79,68,1
379,273,1
504,252,1
12853,1071,1
2725,16795,1
1386,1005,1
6195,4104,1
237,897,3
237,41,1
738,1159,1
9961,13,2
368,3176,1
41,2698,1
281,714,1
3368,366,3
1025,1390,2
5514,862,2
288,150,1
22403,6195,1
1038,6574,1
2331,46,2
33,6418,1
180,86,1
337,985,2
1038,1210,2
4083,130,9
350,1148,1
19,428,1
1385,130,1
458,4254,1
6195,506,4
984,11,3
25659,11,1
237,7971,1
171,368,2
8675,430,2
1084,244,2
6767,3709,3
2067,347,1
2288,349,2
583,23826,1
206,855,1
19164,12,2
142,2407,1
148,22,1
610,15,1
984,405,1
10561,1387,1
24,6195,1
1062,38,1
714,44,1
1251,2288,1
989,1020,2
38,8023,1
4561,171,1
9439,458,2
86,7097,1
244,265,1
6692,458,2
2796,931,1
252,13562,4
1147,1080,1
1386,1415,1
714,2448,2
2722,800,2
31,533,1
22,472,1
10561,1627,1
39,78,1
399,281,3
995,2967,1
171,1429,1
458,1082,1
583,506,1
681,367,1
180,148,3
6195,180,1
164,985,2
294,13,4
2524,714,1
533,16,1
415,30650,1
1286,12,1
903,29,1
1210,4333,1
367,10693,1
499,631,5
5,276,1
3,86,3
4321,969,1
679,273,1
989,12,1
31,131,2
1008,15,1
699,82,1
124,1237,1
1234,985,1
1049,162,1
862,35586,1
506,12535,1
347,1421,1
60,48,1
1253,862,1
603,2578,1
2448,12,1
1429,458,1
607,416,2
873,985,3
20519,5,1
9251,379,1
3270,1387,1
10643,1429,3
14171,15172,1
3536,1003,1
1091,410,1
2462,1158,1
347,1257,1
244,1035,1
995,683,1
989,1237,1
985,1050,2
4078,1025,2
5621,506,2
800,368,1
993,367,1
621,506,1
1387,380,1
416,410,3
543,1028,1
4565,897,2
2921,189,1
583,1444,1
762,603,1
826,31,1
6368,150,1
2462,11,1
972,989,2
336,985,3
1080,855,1
306,281,1
38,167,3
1080,273,2
1103,1429,1
65,41,2
347,1237,1
472,13,1
855,40,2
273,3008,1
19,506,2
199,583,1
533,20,1
855,42,1
368,398,2
458,209,1
5587,416,4
2805,631,1
995,1423,1
1237,11,2
931,31,1
1387,416,3
2581,416,1
762,189,1
2580,1210,1
150,8023,1
940,1049,3
79,39,1
618,895,1
276,762,1
449,940,1
3368,1533,2
110,52,1
1386,2655,2
1388,13501,1
19,4271,1
506,458,4
862,332,1
105,533,2
366,3709,3
371,281,4
1386,5,4
162,2410,1
9826,1390,2
660,281,1
2793,358,1
276,410,2
5,430,2
405,1034,1
2440,750,1
410,17584,1
244,121,1
7030,130,1
449,347,1
415,895,1
331,681,2
1385,410,6
4171,416,1
289,2795,1
366,7077,1
4114,130,2
964,79,1
398,862,2
1049,621,1
10390,416,1
12,4255,1
2250,800,1
3523,940,1
38479,6574,1
4750,800,1
148,180,1
512,1132,3
2655,398,1
1386,1387,2
1089,164,1
681,142,2
293,273,1
2580,290,1
1162,244,1
862,252,5
714,6450,1
1159,618,2
5,40,1
417,30200,1
1037,15,1
506,631,2
749,4172,1
609,1041,1
4103,410,1
398,7185,1
18642,2921,2
336,1003,1
29,990,1
23826,1017,1
2919,800,1
232,40,1
1387,506,4
931,148,2
16,3,1
458,19,3
232,244,1
603,667,1
46,1210,1
1050,150,4
3558,40,2
31,798,1
281,1003,3
42,504,1
367,826,1
2655,276,1
1003,355,2
4361,1038,2
380,862,3
1416,6105,1
873,3523,1
3368,663,1
1108,1532,2
12321,714,1
190,10,1
504,39,1
273,290,1
931,82,1
1110,355,2
11,379,2
4085,1025,1
16,131,1
2454,11,1
44,18,3
430,332,1
27568,749,2
22045,4083,2
39,3,4
855,347,1
2407,1050,1
1165,667,1
472,897,4
677,667,1
698,543,4
150,1030,1
2921,46,3
29228,1082,5
281,5,2
8023,42,1
170,618,1
416,1005,3
417,1080,1
380,398,8
331,2750,1
