source,target,weight
2805,355,1
3697,31,1
931,3008,1
987,29,1
239,44,1
703,86,1
244,417,1
833,79,1
170,2,1
5543,506,1
40,21957,1
3239,142,1
4147,130,1
583,1082,2
1519,347,1
1132,1071,1
1005,12,1
1020,2778,1
1005,1387,1
6692,458,3
512,355,1
42,41,1
1049,3239,1
681,114,1
1390,4103,1
1025,54316,1
4074,931,2
506,4718,1
1164,995,1
1423,995,1
2067,347,1
13414,931,1
148,714,1
362,1032,1
1049,533,1
368,6195,1
11,714,1
189,13,1
603,3008,2
3489,289,1
1050,583,1
2454,1071,2
2972,244,1
86,533,1
2517,42,1
367,7077,1
368,366,1
985,1386,1
932,276,1
15,26,1
27520,749,2
621,631,1
1049,1082,1
4554,1387,1
1307,252,1
371,430,1
2805,931,1
1041,13,1
839,130,1
11843,410,1
1164,347,1
2331,416,1
681,1020,1
33,114,1
41,33,1
1423,1161,1
331,11422,1
180,417,1
24898,130,2
4102,5,1
1132,124,1
6692,13484,1
8579,46,1
984,289,1
826,31,1
2581,252,3
16,2,1
347,1165,1
5358,331,2
10492,12,2
416,4331,1
410,1104,1
19,506,1
4554,5,1
4718,6195,1
1306,416,2
1390,9826,2
273,1073,1
9690,46,2
265,347,1
2867,1049,1
704,12,1
3721,337,1
419,631,1
4111,458,1
1388,1038,1
631,2414,1
9816,1104,1
605,2296,1
1038,12,2
572,164,1
12,8652,1
621,12321,1
41,86,1
2814,1123,1
366,13,1
252,130,1
533,409,1
750,30200,1
148,2797,1
897,237,1
1047,5,1
1108,667,1
1132,72,1
21331,800,1
2251,398,2
2448,3709,1
698,990,1
533,158,1
862,9690,2
444,164,1
2655,607,1
1302,358,1
1386,19,1
2921,18642,1
80,86,1
150,897,2
1181,873,1
3037,1210,1
995,1423,1
8178,1082,1
410,276,1
252,862,1
1027,405,1
714,150,1
1387,4114,1
13484,800,1
1244,7468,2
1388,506,1
1304,39,1
543,29,1
398,1627,1
1003,931,1
681,5358,1
41,50,1
1049,1237,1
171,3368,1
683,714,1
45,86,1
1386,862,1
1123,405,2
18,50,1
1003,11,1
129,533,1
995,1147,1
11596,3368,1
1023,12,1
265,1020,1
987,164,1
2867,2441,1
142,13,2
862,3522,1
1071,512,1
162,5,1
415,290,1
1089,641,2
22,289,1
630,527,1
4172,1038,1
8178,1159,2
1010,29,1
940,3709,1
10773,1084,1
127,15,1
1301,855,1
164,370,1
355,4274,1
38,33,1
15,829,1
39711,1025,1
62,148,1
79,85,1
989,148,1
1047,800,1
738,415,3
2288,543,1
148,349,1
3558,1095,1
368,367,1
458,416,1
1005,1025,2
1390,607,1
681,16576,1
