source,target,weight
331,368,1
180,405,1
1533,1084,1
189,6195,1
6699,1032,1
150,3368,2
12908,5,2
2448,131,1
4114,5,1
855,1158,3
2288,29,1
862,4102,2
102,72,1
28546,1627,1
350,1194,1
1397,750,3
3037,46,5
11,379,2
39,15,2
162,2425,1
164,124,1
609,862,1
89,80,1
6195,416,2
2722,130,2
1775,618,1
1060,164,1
903,252,2
127,8,1
368,940,1
410,105,1
1162,750,1
2433,1050,1
1084,1050,1
331,472,1
14171,995,1
290,252,1
1078,1123,2
244,720,2
4097,1005,1
3,16,1
1158,6678,1
2331,862,2
585,897,1
6574,252,2
738,11300,1
148,1020,3
583,720,2
410,648,1
738,273,2
3368,415,1
1005,5,4
1423,583,1
4553,252,1
683,873,1
1050,1064,1
4541,276,3
2721,252,1
142,533,1
2919,5,4
6711,24,1
355,352,1
265,252,1
1274,4,1
2251,1038,1
828,15,1
2035,15,1
6195,141,1
2867,3368,2
7042,1158,1
448,368,1
8728,995,1
1071,3008,2
839,506,3
430,4171,1
142,1536,1
40,31,1
1415,458,1
972,164,1
3650,410,1
762,3015,1
82,24,1
416,5223,1
2296,331,1
410,1025,1
11300,1159,1
447,29,1
631,82,1
415,2944,1
290,1080,2
1041,12,2
987,762,1
1071,2805,1
221,1084,1
2921,506,7
1049,3709,2
6182,5358,1
41,3183,1
79,164,1
4,1110,1
367,940,2
2619,40,1
22203,862,1
1045,281,1
1533,681,8
4333,46,1
252,9265,1
19109,332,1
1390,861,1
4031,19,1
23826,167,2
130,22203,1
677,281,1
989,20955,1
1627,41906,1
1047,1385,2
4171,506,1
800,4271,1
1269,506,2
44,294,1
2251,749,1
3,8,1
985,641,2
380,1038,2
281,589,1
1160,826,1
31,1158,1
940,418,4
449,5,1
4361,5,1
603,281,1
15,150,1
1408,252,3
408,704,1
1085,631,1
4,434,2
1038,1108,1
195,618,1
60,30,1
1082,244,3
276,252,5
506,4171,1
22330,430,1
499,29,1
1147,3898,1
5,371,1
677,931,1
12405,681,2
408,749,1
5,39637,1
234,39,1
1088,164,1
289,1095,1
1386,862,3
294,631,3
2275,281,1
1005,458,2
10,82,3
1049,1533,1
714,294,1
749,14888,1
13,1075,2
52,41,2
897,199,1
150,134,1
666,367,1
30,434,1
162,200,1
3558,1041,2
7971,410,3
2067,162,1
1025,3558,1
2969,367,1
4171,8970,1
2969,855,1
80,24,1
1123,22,1
1038,5,4
610,368,1
1164,583,1
990,31,2
289,1074,1
4515,5,1
2972,1041,1
800,46,1
337,631,1
332,398,3
2455,512,2
206,10,1
33,978,1
618,583,3
418,281,1
337,1090,1
1210,12,2
720,13,5
1302,1003,2
583,2410,1
512,985,1
405,965,1
1237,350,1
12,430,3
1159,1421,1
148,2288,2
839,430,4
349,512,4
862,2581,2
749,130,7
1408,1386,1
2655,862,7
416,164,1
417,11913,1
512,45604,1
3368,416,1
276,42814,1
79,533,3
14,39,1
347,1081,2
839,130,3
367,16795,2
18,41,2
54359,130,1
22045,1025,1
46,3183,1
1049,294,2
408,4111,1
895,583,1
60,33,2
16795,34148,2
4146,5,1
2,503,1
19,12,5
678,86,1
164,3688,1
4541,416,1
383,237,1
405,714,1
366,1108,2
1420,1095,1
2722,506,3
180,31,3
631,33,1
506,3522,1
1074,289,2
543,1060,1
26789,800,4
826,417,2
2722,6195,3
897,119,1
6195,607,1
583,210,1
1071,405,2
1390,144,1
29,11177,1
142,618,1
4097,4083,3
1032,379,1
410,2655,3
430,6195,5
1387,309,1
80,533,3
5587,130,1
4103,862,9
1020,631,2
1039,762,1
336,762,2
855,1041,1
3302,367,1
19109,1429,1
2454,29,3
180,124,1
2969,762,1
4103,19,1
41,6297,1
1253,749,2
26789,506,5
13240,1533,1
281,618,1
3508,506,2
1095,1082,1
244,26,1
1039,1032,1
40,33,1
46,4255,1
1081,1147,1
1032,631,3
27,82,3
931,984,2
2331,1038,1
989,379,1
2921,1038,5
58,631,2
968,631,2
2969,290,1
11596,714,2
5,20,1
862,368,1
1210,410,1
607,1429,1
